𠻺	aː⁶
床褥	tsʰɔːŋ⁴jʊk²
床鋪	tsʰɔːŋ⁴pʰou³
庋	kei²
庋	kwɐi²
庌	ŋaː⁵
序	tsɵy⁶
序言	tsɵy⁶jiːn⁴
庑	mou⁴
庑	mou⁵
底	tɐi²
底下	tɐi²haː⁶
底薪	tɐi²sɐn¹
底衫	tɐi²saːm¹
底裙	tɐi²kʰwɐn⁴
底褲	tɐi²fuː³
庖	pʰaːu⁴
店	tiːm³
店舖	tiːm³pʰou³
店鋪	tiːm³pʰou³
庚	kɐŋ¹
庛	tsʰiː³
府	fuː²
庠	tsʰœːŋ⁴
庢	tsɐt⁹
庣	tʰiːu¹
庤	tsiː⁶
庥	jɐu¹
度	tou⁶
度	tɔːk⁹
度叔	tɔːk⁹sʊk⁷
度度	tou⁶tou⁶
度德量力	tɔːk⁹tɐk⁷lœːŋ⁶lɪk⁹
度橋	tɔːk⁹kʰiːu²
度水	tɔːk⁹sɵy²
度竅	tɔːk⁹kʰiːu²
度蹺	tɔːk⁹kʰiːu²
度身	tɔːk⁹sɐn¹
度身訂造	tɔːk⁹sɐn¹tɛːŋ⁶tsou⁶
度錯	tɔːk⁹tsʰɔː³
座	tsɔː⁶
座位	tsɔː⁶wɐi⁶
座右銘	tsɔː⁶jɐu⁶mɪŋ⁴
庪	kei²
庪	kwɐi²
庫	fuː³
庬	mɔːŋ⁴
庬	pʰɔːŋ⁴
庭	tʰɪŋ⁴
庭院	tʰɪŋ⁴jyːn⁶
庮	jɐu⁴
庮	jɐu⁵
庳	pei¹
庳	pʰei⁵
庵	ɐm¹
庶	syː³
庶人	syː³jɐn⁴
庶民	syː³mɐn⁴
康	hɔːŋ¹
康乃馨	hɔːŋ¹laːi⁵hɪŋ¹
康乃馨	hɔːŋ¹naːi⁵hɪŋ¹
康復	hɔːŋ¹fʊk⁹
庸	jʊŋ⁴
庸俗	jʊŋ⁴tsʊk⁹
庸庸碌碌	jʊŋ⁴jʊŋ⁴lʊk⁷lʊk⁷
庸碌	jʊŋ⁴lʊk⁷
庹	tʰɔːk⁸
庾	jyː⁵
廁	tsʰɐk⁷
廁	tsʰiː³
廁所	tsʰiː³sɔː²
廁紙	tsʰiː³tsiː²
廂	sœːŋ¹
廃	fɐi³
廄	kɐu³
廆	kwɐi¹
廆	wɐi²
廇	lɐu⁶
廈	haː⁶
廉	liːm⁴
廉價	liːm⁴kaː³
廉記	liːm⁴kei³
廊	lɔːŋ⁴
廋	sɐu¹
廌	tsaːi⁶
廌	tsɐi⁶
廌	tsiː⁶
廎	kʰɪŋ²
廑	kɐn²
廑	kɐn⁶
廑	kʰɐn⁴
廒	ŋou⁴
廓	kʰwɔːk⁸
廓	kwɔːk⁸
廔	lɐu⁴
廕	jɐm³
廖	liːu⁶
廙	jiː⁶
廚	tsʰɵy⁴
廚	tsʰyː⁴
廚師	tsʰyː⁴siː¹
廚房	tsʰyː⁴fɔːŋ²
廛	tsʰiːn⁴
廜	tʰou⁴
廝	siː¹
廝守	siː¹sɐu²
廝殺	siː¹saːt⁸
廞	jɐm¹
廟	miːu⁶
廟宇	miːu⁶jyː⁵
廟祝公	miːu⁶tsʊk⁷kʊŋ¹
廠	tsʰɔːŋ²
廠商	tsʰɔːŋ²sœːŋ¹
廡	mou⁴
廡	mou⁵
廢	fɐi³
廢墟	fɐi³hɵy¹
廢柴	fɐi³tsʰaːi⁴
廢棄物	fɐi³hei³mɐt⁹
廢物	fɐi³mɐt⁹
廢話少講	fɐi³waː²siːu²kɔːŋ²
廢鐵	fɐi³tʰiːt⁸
廣	kwɔːŋ²
廣告	kwɔːŋ²kou³
廣告牌	kwɔːŋ²kou³pʰaːi⁴
廣場	kwɔːŋ²tsʰœːŋ⁴
廣大	kwɔːŋ²taːi⁶
廣州話	kwɔːŋ²tsɐu¹waː²
廣播	kwɔːŋ²pɔː³
廣播劇	kwɔːŋ²pɔː³kʰɛːk⁹
廣播台	kwɔːŋ²pɔː³tʰɔːi⁴
廣播臺	kwɔːŋ²pɔː³tʰɔːi⁴
廣東話	kwɔːŋ²tʊŋ¹waː²
廣泛	kwɔːŋ²faːn³
廣袤	kwɔːŋ²maːu⁶
廣闊	kwɔːŋ²fuːt⁸
廥	kʰuːi²
廧	tsʰœːŋ⁴
廨	haːi⁶
廨	kaːi³
廩	lɐm⁵
廪	lɐm⁵
廬	lou⁴
廯	siːn²
廱	jʊŋ¹
廳	tʰɛːŋ¹
廳長	tʰɛːŋ¹tsœːŋ²
廴	jɐn²
廵	tsʰɵn⁴
延	jiːn⁴
延宕	jiːn⁴tɔːŋ⁶
延續	jiːn⁴tsʊk⁹
廷	tʰɪŋ⁴
廹	paːk⁸
廹	pɪk⁷
建	kiːn³
建立	kiːn³laːp⁹
建築	kiːn³tsʊk⁷
建築師	kiːn³tsʊk⁷siː¹
建築物	kiːn³tsʊk⁷mɐt⁹
建設	kiːn³tsʰiːt⁸
建設性	kiːn³tsʰiːt⁸sɪŋ³
建議	kiːn³jiː⁵
廻	wuːi⁴
廻	wuːi⁶
廾	kʊŋ²
廿	jaː⁶
廿	jɛː⁶
廿	niːm⁶
廿一	jaː⁶jɐt⁷
廿七	jaː⁶tsʰɐt⁷
廿三	jaː⁶saːm¹
廿九	jaː⁶kɐu²
廿二	jaː⁶jiː⁶
廿五	jaː⁶ŋ⁵
廿八	jaː⁶paːt⁸
廿八歲	jaː⁶paːt⁸sɵy³
廿六	jaː⁶lʊk⁹
廿四	jaː⁶sei³
廿幾歲	jaː⁶kei²sɵy³
廿蚊	jaː⁶mɐn¹
弁	pʰuːn⁴
弁	piːn⁶
弄	lʊŋ⁶
弄	nʊŋ⁶
弄璋	lʊŋ⁶tsœːŋ¹
弄瓦	lʊŋ⁶aː⁵
弄瓦	lʊŋ⁶ŋaː⁵
弄皺	lʊŋ⁶tsɐu³
弄錯	lʊŋ⁶tsʰɔː³
弇	jiːm²
弈	jɪk⁹
弊	pɐi⁶
弊傢伙	pɐi⁶kaː¹fɔː²
弊啦	pɐi⁶laː³
弊喇	pɐi⁶laː³
弊嘞	pɐi⁶laː³
弊就弊在	pɐi⁶tsɐu⁶pɐi⁶tsɔːi⁶
弊弊冇咁弊	pɐi⁶pɐi⁶mou⁵kɐm³pɐi⁶
弊案	pɐi⁶ŋɔːn³
弊案	pɐi⁶ɔːn³
弊處	pɐi⁶syː³
弋	jɪk⁹
弌	jɐt⁷
弍	jiː⁶
式	sɪk⁷
弒	siː³
弓	kʊŋ¹
弓弦	kʊŋ¹jiːn⁴
弓箭	kʊŋ¹tsiːn³
弓箭手	kʊŋ¹tsiːn³sɐu²
弔	tiːu³
弔唁	tiːu³jiːn⁶
弔胃口	tiːu³wɐi⁶hɐu²
引	jɐn⁵
引咎辭職	jɐn⁵kɐu³tsʰiː⁴tsɪk⁷
引爆	jɐn⁵paːu³
引用	jɐn⁵jʊŋ⁶
引用文	jɐn⁵jʊŋ⁶mɐn⁴
引發	jɐn⁵faːt⁸
引言	jɐn⁵jiːn⁴
引誘	jɐn⁵jɐu⁵
弗	fɐt⁷
弗	fiːt⁷
弗到漏油	fiːt⁷tou³lɐu⁶jɐu⁴
弘	wɐŋ⁴
弘揚	wɐŋ⁴jœːŋ⁴
弛	tsʰiː²
弛	tsʰiː⁴
弝	paː³
弟	tɐi⁶
弟	tʰɐi⁵
弟	tiː²
弟婦	tɐi⁶fuː⁵
弟弟	tɐi⁶tɐi²
弢	tʰou¹
弣	fuː²
弤	tɐi²
弦	jiːn⁴
弦	jyːn⁴
弧	wuː⁴
弧綫	wuː⁴siːn³
弧線	wuː⁴siːn³
弨	tsʰiːu¹
弩	nou⁵
弭	mɐi⁵
弭	mei⁵
弮	hyːn¹
弰	saːu¹
弱	jœːk⁹
弱不禁風	jœːk⁹pɐt⁷kɐm¹fʊŋ¹
弱光	jœːk⁹kwɔːŋ¹
弱勢	jœːk⁹sɐi³
弱國	jœːk⁹kwɔːk⁸
弱小	jœːk⁹siːu²
弱肉強食	jœːk⁹jʊk⁹kʰœːŋ⁴sɪk⁹
弱視	jœːk⁹siː⁶
弱點	jœːk⁹tiːm²
弳	kɪŋ³
張	tsœːŋ¹
張	tsœːŋ³
張三李四	tsœːŋ¹saːm¹lei⁵sei³
張貼	tsœːŋ¹tʰiːp⁸
張開	tsœːŋ¹hɔːi¹
弶	kʰœːŋ⁵
弶	kʰœːŋ⁶
強	kʰœːŋ⁴
強	kʰœːŋ⁵
強	kœːŋ⁶
強佔	kʰœːŋ⁴tsiːm³
強力攻佔	kʰœːŋ⁴lɪk⁹kʊŋ¹tsiːm³
強力膠	kʰœːŋ⁴lɪk⁹kaːu¹
強加	kʰœːŋ⁴kaː¹
強加於人	kʰœːŋ⁴kaː¹jyː¹jɐn⁴
強國	kʰœːŋ⁴kwɔːk⁸
強壯	kʰœːŋ⁴tsœːŋ³
強大	kʰœːŋ⁴taːi⁶
強姦	kʰœːŋ⁴kaːn¹
強姦案	kʰœːŋ⁴kaːn¹ŋɔːn³
強姦案	kʰœːŋ⁴kaːn¹ɔːn³
強烈	kʰœːŋ⁴liːt⁹
強詞奪理	kʰœːŋ⁵tsʰiː⁴tyːt⁹lei⁵
強調	kʰœːŋ⁴tiːu⁶
強逼	kʰœːŋ⁴pɪk⁷
弸	pɐŋ¹
弸	pʰɐŋ⁴
弼	pɐt⁹
彀	kɐu³
彃	pɐt⁷
彄	kʰɐu¹
彆	piːt⁸
彆扭	piːt⁸lɐu²
彆扭	piːt⁸nɐu²
彈	taːn⁶
彈	tʰaːn⁴
彈丸	taːn⁶jyːn⁴
彈劾	tʰaːn⁴hɐt⁹
彈劾權	tʰaːn⁴hɐt⁹kʰyːn⁴
彈匣	taːn⁶haːp⁹
彈夾	taːn⁶kaːp⁸
彈奏	tʰaːn⁴tsɐu³
彈孔	taːn⁶hʊŋ²
彈射	taːn⁶sɛː⁶
彈帶	taːn⁶taːi³
彈床	taːn⁶tsʰɔːŋ⁴
彈弓	taːn⁶kʊŋ¹
彈性	taːn⁶sɪŋ³
彈無虛發	taːn⁶mou⁴hɵy¹faːt⁸
彈牙	taːn⁶aː⁴
彈牙	taːn⁶ŋaː⁴
彈珠	taːn⁶tsyː¹
彈琴	tʰaːn⁴kʰɐm⁴
彈痕	taːn⁶hɐn⁴
彈簧	taːn⁶wɔːŋ⁴
彈簧床	taːn⁶wɔːŋ⁴tsʰɔːŋ⁴
彈簧椅	taːn⁶wɔːŋ⁴jiː²
彈簧鎖	taːn⁶wɔːŋ⁴sɔː²
彈結他	tʰaːn⁴kiːt⁸tʰaː¹
彈膛	taːn⁶tʰɔːŋ⁴
彈葯	taːn⁶jœːk⁹
彈藥	taːn⁶jœːk⁹
彈藥庫	taːn⁶jœːk⁹fuː³
彈藥箱	taːn⁶jœːk⁹sœːŋ¹
彈跳	taːn⁶tʰiːu³
彈道	taːn⁶tou⁶
彈道學	taːn⁶tou⁶hɔːk⁹
彈道飛彈	taːn⁶tou⁶fei¹taːn⁶
彈頭	taːn⁶tʰɐu⁴
彉	kʰwɔːk⁸
彊	kʰœːŋ⁴
彊	kʰœːŋ⁵
彊	kœːŋ¹
彊	kœːŋ⁶
彋	wɐŋ⁴
彌	mei⁴
彌	nei⁴
彌合	lei⁴hɐp⁹
彌合	nei⁴hɐp⁹
彌補	lei⁴pou²
彌補	nei⁴pou²
彎	waːn¹
彎度	waːn¹tou⁶
彎弓	waːn¹kʊŋ¹
彎彎	waːn¹waːn¹
彎彎曲曲	waːn¹waːn¹kʰʊk⁷kʰʊk⁷
彎折	waːn¹tsiːt⁸
彎曲	waːn¹kʰʊk⁷
彎腰	waːn¹jiːu¹
彏	fɔːk⁸
彐	kɐi³
彔	lʊk⁹
彖	tʰɵn³
彖	tʰɵn⁵
彖辭	tʰɵn³tsʰiː⁴
彗	sɵy⁶
彗	wɐi⁶
彗星	wɐi⁶sɪŋ¹
彘	tsiː⁶
彙	wɐi⁶
彙	wuːi⁶
彞族	jiː⁴tsʊk⁹
彡	saːm¹
形	jɪŋ⁴
形單影隻	jɪŋ⁴taːn¹jɪŋ²tsɛːk⁸
形容	jɪŋ⁴jʊŋ⁴
形容詞	jɪŋ⁴jʊŋ⁴tsʰiː⁴
形式	jɪŋ⁴sɪk⁷
形式主義	jɪŋ⁴sɪk⁷tsyː²jiː⁶
形式化	jɪŋ⁴sɪk⁷faː³
形式邏輯	jɪŋ⁴sɪk⁷lɔː⁴tsʰɐp⁷
形形色色	jɪŋ⁴jɪŋ⁴sɪk⁷sɪk⁷
形影不離	jɪŋ⁴jɪŋ²pɐt⁷lei⁴
形意	jɪŋ⁴jiː³
形意拳	jɪŋ⁴jiː³kʰyːn⁴
形態	jɪŋ⁴tʰaːi³
形成	jɪŋ⁴sɪŋ⁴
形狀	jɪŋ⁴tsɔːŋ⁶
形而上	jɪŋ⁴jiː⁴sœːŋ⁶
形而上學	jɪŋ⁴jiː⁴sœːŋ⁶hɔːk⁹
形聲	jɪŋ⁴sɪŋ¹
形聲字	jɪŋ⁴sɪŋ¹tsiː⁶
形色	jɪŋ⁴sɪk⁷
形象	jɪŋ⁴tsœːŋ⁶
形象化	jɪŋ⁴tsœːŋ⁶faː³
彤	tʰʊŋ⁴
彥	jiːn⁶
彧	jʊk⁷
彩	tsʰɔːi²
彩券	tsʰɔːi²hyːn³
彩数	tsʰɔːi²sou³
彩數	tsʰɔːi²sou³
彩色	tsʰɔːi²sɪk⁷
彩虹	tsʰɔːi²hʊŋ⁴
彪	piːu¹
彪形大漢	piːu¹jɪŋ⁴taːi⁶hɔːn³
彫	tiːu¹
彬	pɐn¹
彬彬有禮	pɐn¹pɐn¹jɐu⁵lɐi⁵
彭	pʰaːŋ⁴
彭	pʰɐŋ⁴
彯	pʰiːu¹
彰	tsœːŋ¹
影	jɛːŋ²
影	jɪŋ²
影低	jɪŋ²tɐi¹
影印	jɪŋ²jɐn³
影印機	jɪŋ²jɐn³kei¹
影唔到	jɪŋ²m̩⁴tou²
影壇	jɪŋ²tʰaːn⁴
影帶	jɪŋ²taːi³
影張相	jɪŋ²tsœːŋ¹sœːŋ²
影樓	jɪŋ²lɐu⁴
影相	jɪŋ²sœːŋ²
影相佬	jɪŋ²sœːŋ²lou²
影相機	jɪŋ²sœːŋ²kei¹
影相舖	jɪŋ²sœːŋ²pʰou²
影相鋪	jɪŋ²sœːŋ²pʰou²
影響	jɪŋ²hœːŋ²
彳	tsʰɪk⁷
彳亍	tsʰɪk⁷tsʰʊk⁷
彷	fɔːŋ²
彷	pʰɔːŋ⁴
彷徨	pʰɔːŋ⁴wɔːŋ⁴
彸	tsʊŋ¹
役	jɪk⁹
役使	jɪk⁹siː²
彼	pei²
彼岸	pei²ŋɔːn⁶
彼岸	pei²ɔːn⁶
彼此	pei²tsʰiː²
彽	tɐi¹
彿	fɐt⁷
往	wɔːŋ⁵
往事	wɔːŋ⁵siː⁶
往來	wɔːŋ⁵lɔːi⁴
往日	wɔːŋ⁵jɐt⁹
征	tsɪŋ¹
征伐	tsɪŋ¹fɐt⁹
征服	tsɪŋ¹fʊk⁹
徂	tsʰou⁴
徃	wɔːŋ⁵
待	tɔːi⁶
待遇	tɔːi⁶jyː⁶
徇	sɵn¹
徇	sɵn⁶
徇一餐	sɵn¹jɐt⁷tsʰaːn¹
很	hɐn²
徉	jœːŋ⁴
徊	wuːi⁴
律	lɵt⁹
律令	lɵt⁹lɪŋ⁶
律己	lɵt⁹kei²
律師	lɵt⁹siː¹
律師事務所	lɵt⁹siː¹siː⁶mou⁶sɔː²
律師樓	lɵt⁹siː¹lɐu⁴
律師紙	lɵt⁹siː¹tsiː²
律師行	lɵt⁹siː¹hɔːŋ⁴
律詩	lɵt⁹siː¹
後	hɐu⁶
後世	hɐu⁶sɐi³
後事之師	hɐu⁶siː⁶tsiː¹siː¹
後人	hɐu⁶jɐn⁴
後人乘涼	hɐu⁶jɐn⁴sɪŋ⁴lœːŋ⁴
後代	hɐu⁶tɔːi⁶
後來	hɐu⁶lɔːi⁴
後來居上	hɐu⁶lɔːi⁴kɵy¹sœːŋ⁶
後便	hɐu⁶piːn⁶
後力不繼	hɐu⁶lɪk⁹pɐt⁷kɐi³
後勁	hɐu⁶kɪŋ³
後勤	hɐu⁶kʰɐn⁴
後勤人員	hɐu⁶kʰɐn⁴jɐn⁴jyːn⁴
後勤區	hɐu⁶kʰɐn⁴kʰɵy¹
後勤部	hɐu⁶kʰɐn⁴pou⁶
後半	hɐu⁶puːn³
後半場	hɐu⁶puːn³tsʰœːŋ⁴
後半部	hɐu⁶puːn³pou⁶
後台	hɐu⁶tʰɔːi⁴
後嗣	hɐu⁶tsiː⁶
後嚟	hɐu⁶lei⁴
後園	hɐu⁶jyːn⁴
後天	hɐu⁶tʰiːn¹
後天免疫	hɐu⁶tʰiːn¹miːn⁵jɪk⁹
後天性	hɐu⁶tʰiːn¹sɪŋ³
後宮	hɐu⁶kʊŋ¹
後尾	hɐu⁶mei⁵
後尾枕	hɐu⁶mei⁵tsɐm²
後座	hɐu⁶tsɔː⁶
後座力	hɐu⁶tsɔː⁶lɪk⁹
後悔	hɐu⁶fuːi³
後悔莫及	hɐu⁶fuːi³mɔːk⁹kʰɐp⁹
後患	hɐu⁶waːn⁶
後患無窮	hɐu⁶waːn⁶mou⁴kʰʊŋ⁴
後排	hɐu⁶pʰaːi⁴
後援	hɐu⁶wuːn⁴
後援軍	hɐu⁶wuːn⁴kwɐn¹
後撤	hɐu⁶tsʰiːt⁸
後文	hɐu⁶mɐn⁴
後方	hɐu⁶fɔːŋ¹
後會有期	hɐu⁶wuːi⁶jɐu⁵kʰei⁴
後望鏡	hɐu⁶mɔːŋ⁶kɛːŋ³
後期	hɐu⁶kʰei⁴
後枕	hɐu⁶tsɐm²
後果	hɐu⁶kwɔː²
後果不堪設想	hɐu⁶kwɔː²pɐt⁷hɐm¹tsʰiːt⁸sœːŋ²
後母	hɐu⁶mou⁵
後浪推前浪	hɐu⁶lɔːŋ⁶tʰɵy¹tsʰiːn⁴lɔːŋ⁶
後漢	hɐu⁶hɔːn³
後生	hɐu⁶saːŋ¹
後生	hɐu⁶sɐŋ¹
後生仔	hɐu⁶saːŋ¹tsɐi²
後生仔女	hɐu⁶saːŋ¹tsɐi²lɵy²
後生仔女	hɐu⁶saːŋ¹tsɐi²nɵy²
後生可畏	hɐu⁶sɐŋ¹hɔː²wɐi³
後生女	hɐu⁶saːŋ¹lɵy²
後生女	hɐu⁶saːŋ¹nɵy²
後生細仔	hɐu⁶saːŋ¹sɐi³tsɐi²
後盾	hɐu⁶tʰɵn⁵
後者	hɐu⁶tsɛː²
後肢	hɐu⁶tsiː¹
後腦勺	hɐu⁶lou⁵tsʰœːk⁸
後腦勺	hɐu⁶lou⁵tsœːk⁸
後腦勺	hɐu⁶nou⁵tsœːk⁸
後腳	hɐu⁶kœːk⁸
後花園	hɐu⁶faː¹jyːn⁴
後葉	hɐu⁶jiːp⁹
後裔	hɐu⁶jɵy⁶
後輩	hɐu⁶puːi³
後退	hɐu⁶tʰɵy³
後遺症	hɐu⁶wɐi⁴tsɪŋ³
後門	hɐu⁶muːn⁴
後防	hɐu⁶fɔːŋ⁴
後院	hɐu⁶jyːn⁶
後面	hɐu⁶miːn⁶
後顧之憂	hɐu⁶kuː³tsiː¹jɐu¹
徐	tsʰɵy⁴
徐徐	tsʰɵy⁴tsʰɵy⁴
徐步	tsʰɵy⁴pou⁶
徐緩	tsʰɵy⁴wuːn⁴
徑	kɪŋ³
徒	tʰou⁴
徒勞無功	tʰou⁴lou⁴mou⁴kʊŋ¹
徒弟	tʰou⁴tɐi⁶
徒手	tʰou⁴sɐu²
徒有	tʰou⁴jɐu⁵
徒有其名	tʰou⁴jɐu⁵kʰei⁴mɪŋ⁴
徒有虛名	tʰou⁴jɐu⁵hɵy¹mɪŋ⁴
徒步	tʰou⁴pou⁶
徒然	tʰou⁴jiːn⁴
徒費	tʰou⁴fɐi³
得	tɐk⁷
得一想二	tɐk⁷jɐt⁷sœːŋ²jiː⁶
得不償失	tɐk⁷pɐt⁷sœːŋ⁴sɐt⁷
得主	tɐk⁷tsyː²
得人怕	tɐk⁷jɐn⁴pʰaː³
得人憎	tɐk⁷jɐn⁴tsɐŋ¹
得人驚	tɐk⁷jɐn⁴kɛːŋ¹
得以	tɐk⁷jiː⁵
得來不易	tɐk⁷lɔːi⁴pɐt⁷jiː⁶
得來全不費功夫	tɐk⁷lɔːi⁴tsʰyːn⁴pɐt⁷fɐi³kʊŋ¹fuː¹
得個吉	tɐk⁷kɔː³kɐt⁷
得個講字	tɐk⁷kɔː³kɔːŋ²tsiː⁶
得其所哉	tɐk⁷kʰei⁴sɔː²tsɔːi¹
得出	tɐk⁷tsʰɵt⁷
得分	tɐk⁷fɐn¹
得到	tɐk⁷tou³
得力	tɐk⁷lɪk⁹
得力助手	tɐk⁷lɪk⁹tsɔː⁶sɐu²
得勝	tɐk⁷sɪŋ³
得勢	tɐk⁷sɐi³
得唔得	tɐk⁷m̩⁴tɐk⁷
得啖笑	tɐk⁷taːm⁶siːu³
得啖笑啫	tɐk⁷taːm⁶siːu³tsɛː¹
得㗎啦	tɐk⁷kaː³laː³
得喇	tɐk⁷laː³
得天獨厚	tɐk⁷tʰiːn¹tʊk⁹hɐu⁵
得失	tɐk⁷sɐt⁷
得失參半	tɐk⁷sɐt⁷tsʰaːm¹puːn³
得寵	tɐk⁷tsʰʊŋ²
得寸進尺	tɐk⁷tsʰyːn³tsɵn³tsʰɛːk⁸
得就得，唔得就番順德	tɐk⁷tsɐu⁶tɐk⁷m̩⁴tɐk⁷tsɐu⁶faːn¹sɵn⁶tɐk⁷
得就得，唔得就翻順德	tɐk⁷tsɐu⁶tɐk⁷m̩⁴tɐk⁷tsɐu⁶faːn¹sɵn⁶tɐk⁷
得就得，唔得就返順德	tɐk⁷tsɐu⁶tɐk⁷m̩⁴tɐk⁷tsɐu⁶faːn¹sɵn⁶tɐk⁷
得心應手	tɐk⁷sɐm¹jɪŋ³sɐu²
得志	tɐk⁷tsiː³
得悉	tɐk⁷sɪk⁷
得意	tɐk⁷jiː³
得意忘形	tɐk⁷jiː³mɔːŋ⁴jɪŋ⁴
得意揚揚	tɐk⁷jiː³jœːŋ⁴jœːŋ⁴
得意洋洋	tɐk⁷jiː³jœːŋ⁴jœːŋ⁴
得意趣緻	tɐk⁷jiː³tsʰɵy³tsiː³
得意趣致	tɐk⁷jiː³tsʰɵy³tsiː³
得意門生	tɐk⁷jiː³muːn⁴sɐŋ¹
得戚	tɐk⁷tsʰɪk⁷
得戚喇你	tɐk⁷tsʰɪk⁷laː³lei⁵
得戚喇你	tɐk⁷tsʰɪk⁷laː³nei⁵
得把口	tɐk⁷paː²hɐu²
得把聲	tɐk⁷paː²sɛːŋ¹
得救	tɐk⁷kɐu³
得敕	tɐk⁷tsʰɪk⁷
得敕喇你	tɐk⁷tsʰɪk⁷laː³lei⁵
得敕喇你	tɐk⁷tsʰɪk⁷laː³nei⁵
得數	tɐk⁷sou³
得標	tɐk⁷piːu¹
得滯	tɐk⁷tsɐi⁶
得獎	tɐk⁷tsœːŋ²
得獎人	tɐk⁷tsœːŋ²jɐn⁴
得獎者	tɐk⁷tsœːŋ²tsɛː²
得番	tɐk⁷faːn¹
得病	tɐk⁷pɪŋ⁶
得益	tɐk⁷jɪk⁷
得知	tɐk⁷tsiː¹
得票	tɐk⁷pʰiːu³
得米	tɐk⁷mɐi⁵
得罪	tɐk⁷tsɵy⁶
得罪晒	tɐk⁷tsɵy⁶saːi³
得翻	tɐk⁷faːn¹
得而復失	tɐk⁷jiː⁴fʊk⁹sɐt⁷
得返	tɐk⁷faːn¹
得逞	tɐk⁷tsʰɪŋ²
得閑	tɐk⁷haːn⁴
得閒	tɐk⁷haːn⁴
得隴望蜀	tɐk⁷lʊŋ⁵mɔːŋ⁶sʊk⁹
得體	tɐk⁷tʰɐi²
得魚忘筌	tɐk⁷jyː⁴mɔːŋ⁴tsʰyːn⁴
徘	pʰuːi⁴
徘徊	pʰuːi⁴wuːi⁴
徘徊不前	pʰuːi⁴wuːi⁴pɐt⁷tsʰiːn⁴
徙	saːi²
徛	kei³
徜	sœːŋ⁴
徜徉	sœːŋ⁴jœːŋ⁴
從	tsʰʊŋ⁴
從一而終	tsʰʊŋ⁴jɐt⁷jiː⁴tsʊŋ¹
從中取利	tsʰʊŋ⁴tsʊŋ¹tsʰɵy²lei⁶
從事	tsʰʊŋ⁴siː⁶
從俗	tsʰʊŋ⁴tsʊk⁹
從商	tsʰʊŋ⁴sœːŋ¹
從善如流	tsʰʊŋ⁴siːn⁶jyː⁴lɐu⁴
從嚴	tsʰʊŋ⁴jiːm⁴
從嚴處理	tsʰʊŋ⁴jiːm⁴tsʰyː⁵lei⁵
從嚴辦理	tsʰʊŋ⁴jiːm⁴paːn⁶lei⁵
從天而降	tsʰʊŋ⁴tʰiːn¹jiː⁴kɔːŋ³
從容	sʊŋ¹jʊŋ⁴
從容不迫	sʊŋ¹jʊŋ⁴pɐt⁷paːk⁷
從容對敵	sʊŋ¹jʊŋ⁴tɵy³tɪk⁹
從容就義	sʊŋ¹jʊŋ⁴tsɐu⁶jiː⁶
從容應付	sʊŋ¹jʊŋ⁴jɪŋ³fuː⁶
從容自在	sʊŋ¹jʊŋ⁴tsiː⁶tsɔːi⁶
從容自如	sʊŋ¹jʊŋ⁴tsiː⁶jyː⁴
從容自若	sʊŋ¹jʊŋ⁴tsiː⁶jœːk⁹
從寬	tsʰʊŋ⁴fuːn¹
從寬處理	tsʰʊŋ⁴fuːn¹tsʰyː⁵lei⁵
從寬辦理	tsʰʊŋ⁴fuːn¹paːn⁶lei⁵
從小到大	tsʰʊŋ⁴siːu²tou³taːi⁶
從屬	tsʰʊŋ⁴sʊk⁹
從心所欲	tsʰʊŋ⁴sɐm¹sɔː²jʊk⁹
從戎	tsʰʊŋ⁴jʊŋ⁴
從政	tsʰʊŋ⁴tsɪŋ³
從有到無	tsʰʊŋ⁴jɐu⁵tou³mou⁴
從未	tsʰʊŋ⁴mei⁶
從業	tsʰʊŋ⁴jiːp⁹
從此	tsʰʊŋ⁴tsʰiː²
從此以後	tsʰʊŋ⁴tsʰiː²jiː⁵hɐu⁶
從無到有	tsʰʊŋ⁴mou⁴tou³jɐu⁵
從犯	tsʰʊŋ⁴faːn²
從良	tsʰʊŋ⁴lœːŋ⁴
從諫如流	tsʰʊŋ⁴kaːn³jyː⁴lɐu⁴
從軍	tsʰʊŋ⁴kwɐn¹
從輕	tsʰʊŋ⁴hɪŋ¹
從輕發落	tsʰʊŋ⁴hɪŋ¹faːt⁸lɔːk⁹
從速	tsʰʊŋ⁴tsʰʊk⁷
從長計議	tsʰʊŋ⁴tsʰœːŋ⁴kɐi³jiː⁵
從難從嚴	tsʰʊŋ⁴laːn⁴tsʰʊŋ⁴jiːm⁴
從難從嚴	tsʰʊŋ⁴naːn⁴tsʰʊŋ⁴jiːm⁴
從頭	tsʰʊŋ⁴tʰɐu⁴
從頭做起	tsʰʊŋ⁴tʰɐu⁴tsou⁶hei²
從頭到尾	tsʰʊŋ⁴tʰɐu⁴tou³mei⁵
從頭開始	tsʰʊŋ⁴tʰɐu⁴hɔːi¹tsʰiː⁵
徠	lɔːi⁴
御	jyː⁶
御	ŋaː⁶
御旨	jyː⁶tsiː²
御書	jyː⁶syː¹
御用	jyː⁶jʊŋ⁶
御醫	jyː⁶jiː¹
御駕	jyː⁶kaː³
徧	pʰiːn³
徨	wɔːŋ⁴
復	fɐu⁶
復	fʊk⁹
復仇	fʊk⁹sɐu⁴
復出	fʊk⁹tsʰɵt⁷
復古	fʊk⁹kuː²
復古風	fʊk⁹kuː²fʊŋ¹
復活	fʊk⁹wuːt⁹
