#name Islandic
#lang lsl
abbadísin	apatiːsɪn
neita	neiːta
neitað	neiːtað
neitaði	neiːtaðɪ
neitandi	neiːtantɪ
neitar	neiːtar
neiti	neiːtɪ
neitt	neiht
neituðu	neiːtʏðʏ
neitun	neiːtʏn
neitunarvald	neiːtʏnarvalt
neitunarvaldi	neiːtʏnarvaltɪ
nekt	nɛxt
nektardansmær	nɛxtartansmair
nema	nɛːma
nemanda	nɛːmanta
nemandans	nɛːmantans
nemandi	nɛːmantɪ
nemandinn	nɛːmantɪn
nemar	nɛːmar
nemenda	nɛːmɛnta
nemendanna	nɛːmɛntana
nemendum	nɛːmɛntʏm
nemendunum	nɛːmɛntɔnʏm
nemendur	nɛːmɛntʏr
nemendurna	nɛmɛntʏtna
nemendurnir	nɛmɛntʏtnɪr
nemi	nɛːmɪ
nemum	nɛːmʏm
nemur	nɛːmʏr
nenna	nɛna
nenni	nɛnɪ
nennir	nɛnɪr
nennt	nɛn̥t
nennti	nɛn̥tɪ
nenntu	nɛn̥tʏ
Nepal	nɛːpal
nepju	nɛːpjʏ
nepjunni	nɛːpjʏnɪ
neri	njɛːrɪ
Nes	nɛːs
Nesapótek	nɛːsapoutɛːk
Nesi	nɛːsɪ
Nesið	nɛːsɪð
Nesinu	nɛːsɪnʏ
Nesjavöllum	nɛːsjavœtlʏm
Neskaupstað	nɛːskœypstað
Neskaupstaðar	nɛːskœypstaðar
Neskirkja	nɛːscɪr̥ca
Neskirkju	nɛːscɪr̥cʏ
Ness	nɛs
Nesstofu	nɛːstɔvʏ
Nesstofusafn	nɛːstɔvʏsapn̥
Nesti	nɛstɪ
Nestið	nɛstɪð
Neströð	nɛːstrœð
Nesvegi	nɛːsveijɪ
net	nɛːt
netdoktor	nɛːtɔxtɔr
netfang	nɛːtfauŋk
netfangaskrá	nɛːtfauŋkaskrauː
netfangið	nɛːtfauɲcɪð
netfyrirtæki	nɛːtfɪrɪrtaiːcɪ
neti	nɛːtɪ
netið	nɛːtɪð
netin	nɛːtɪn
netinu	nɛːtɪnʏ
netnotkun	nɛːtnɔtkʏn
nets	nɛːts
Netscape	nɛhtskeip
netsins	nɛːtsɪns
Nett	nɛht
nettengingu	nɛːteiɲciŋkʏ
Nettó	nɛhtou
netum	nɛːtʏm
netútgáfu	nɛːtutkauvʏ
netverk	nɛːtvɛr̥k
netverslun	nɛːtvɛstlʏn
netþjónusta	nɛtθjounʏsta
netþjónustu	nɛtθjounʏstʏ
neydd	neit
neyddir	neitɪr
neyddist	neitɪst
neyddu	neitʏ
neyddumst	neitʏmst
neyddur	neitʏr
neyddust	neitʏst
neyð	neiːð
neyða	neiːða
neyðaraðstoð	neiːðaraðstɔð
neyðarathvarf	neiːðaraːtkvarv
neyðarathvarf	neiːðaraːtxvarv
neyðarástand	neiːðarauːstant
neyðarástandi	neiːðarauːstantɪ
neyðarkall	neiːðarkatl̥
neyðarlínuna	neiːðarliːnʏna
neyðarmóttaka	neiːðarmouːtaka
neyðarnúmer	neiːðarnuːmɛr
neyðaróp	neiːðarouːp
neyðarsími	neiːðarsiːmɪ
neyðarútgangurinn	neiðarutkauŋkʏrɪn
neyðarvakt	neiːðarvaxt
neyðarþjónusta	neiːðarθjouːnʏsta
neyðast	neiːðast
neyðist	neiːðɪst
neyðst	neiðst
neyðumst	neiːðʏmst
neysla	neistla
neyslan	neistlan
neyslu	neistlʏ
neyslunni	neistlʏnɪ
neysluverðs	neistlʏvɛrðS
neyta	neiːta
neytandans	neiːtantans
neytandans	neitantans
neytandi	neiːtantɪ
neytandinn	neiːtantɪn
neytenda	neiːtɛnta
Neytendasamtakanna	neiːtɛntasamtakana
Neytendasamtökin	neiːtɛntasamtœcɪn
Neytendasamtökunum	neiːtɛntasamtœkɔnʏm
neytendum	neiːtɛntʏm
neytendur	neiːtɛntʏr
neyti	neiːtɪ
neytt	neiht
neytti	neihtɪ
neyttu	neihtʏ
né	njɛː
NFLÍ	ɛn ɛf ɛtl̥ iː
nið	nɪːð
niðamyrkur	nɪːðamɪr̥kʏr
Niðarósi	nɪːðarouːsɪ
niðdimm	nɪðtim
niðinn	nɪːðɪn
niðja	nɪðja
niðjum	nɪðjʏm
niðrað	nɪðrað
niðrandi	nɪðrantɪ
niðrivið	nɪðrɪvɪːð
niðrí	nɪðri
niður	nɪːðʏr
niðurbrotin	nɪːðʏrprɔːtɪn
niðurbrotinn	nɪːðʏrprɔːtɪn
niðurdregna	nɪːðʏrtrɛkna
niðurdrepandi	nɪːðʏrtrɛːpantɪ
niðurfallið	nɪːðʏrfatlɪð
niðurfellingu	nɪːðʏrfɛtliŋkʏ
niðurgang	nɪːðʏrkauŋk
niðurgangi	nɪːðʏrkauɲcɪ
niðurgreiða	nɪːðʏrkreiðstla
niðurgreiðslu	nɪːðʏrkreiðstlʏ
niðurgreiðslur	nɪːðʏrkreiðstlʏr
niðurinn	nɪːðʏrɪn
niðurlag	nɪːðʏrlaɣ
niðurlagi	nɪːðʏrlaijɪ
niðurleið	nɪːðʏrleiːð
niðurlotum	nɪːðʏrlɔːtʏm
niðurlútir	nɪːðʏrluːtɪr
niðurlægð	nɪːðʏrlaiɣð
niðurlægður	nɪːðʏrlaiɣðʏr
niðurlæging	nɪːðʏrlaijiŋk
niðurlægingar	nɪːðʏrlaijiŋkar
niðurlægingin	nɪːðʏrlaijiɲcɪn
niðurlægingu	nɪːðʏrlaijiŋkʏ
niðurlægja	nɪːðʏrlaija
niðurlægjandi	nɪːðʏrlaijantɪ
niðurlægt	nɪːðʏrlaixt
niðurlögum	nɪːðʏrlœːɣʏm
niðurmuldum	nɪːðʏrmʏltʏm
niðurníðslu	nɪːðʏrnistlʏ
niðurrif	nɪːðʏrɪːv
niðurskurð	nɪːðʏrskʏrð
niðurskurðar	nɪːðʏrskʏrðar
niðurskurði	nɪːðʏrskʏrðɪ
niðurskurður	nɪːðʏrskʏrðʏr
niðursokkinn	nɪːðʏrsɔhcɪn
niðursokknir	nɪːðʏrsɔhknɪr
niðurstaða	nɪːðʏrstaːða
niðurstaðan	nɪːðʏrstaːðan
niðurstaðna	nɪːðʏrstaðna
niðurstöðu	nɪːðʏrstœːðʏ
niðurstöðu	nɪːðʏrstœːðʏ
niðurstöðum	nɪːðʏrstœːðʏm
niðurstöðuna	nɪːðʏrstœːðʏna
niðurstöðunni	nɪːðʏrstœːðʏnɪ
niðurstöðunum	nɪːðʏrstœːðɔnʏm
niðurstöður	nɪːðʏrstœːðʏr
niðurstöðurnar	nɪːðʏrstœːðʏtnar
niðursuðudósir	nɪːðʏrsʏðʏtouːsɪr
niðursveifla	nɪːðʏrsveipla
niðursveiflu	nɪːðʏrsveiplʏ
nikkaði	nɪhkaðɪ
nikkuna	nɪhkʏna
Nikulás	nɪːkʏlaus
Nikulásar	nɪːkʏlausar
Nikulásson	nɪːkʏlausɔːn
Nikulásson	nɪkʏlauːsɔn
Nils	nils
Nilsson	nɪlsɔn
ninja	nɪnja
Nissan	nɪsan
nix	nɪks
nix	nɪxs
níðast	niːðast
Níels	niːjɛls
Níelsdóttir	niːjɛlstouhtɪr
Níelsdóttir	niɛlstouhtɪr
Níelsson	niːjɛlsɔːn
Níelsson	niːjɛlsɔn
Níelsson	niɛlsɔn
Nígería	niːkɛrija
Nígeríu	niːkɛrijʏ
Níkíta	niciːta
Nína	niːna
Nínu	niːnʏ
níræð	niːraið
níræðisaldri	niːraiðɪsaltrɪ
níræður	niːraiðʏr
nísk	nisk
nískur	niskʏr
nísta	nista
nístandi	nistantɪ
nístir	nistɪr
nítján	niːtjaun
nítjánda	niːtjaunta
nítjándi	niːtjauntɪ
nítjándu	niːtjauntʏ
nítugasta	niːtʏɣasta
nítugasti	niːtʏɣastɪ
nítugustu	niːtʏɣʏstʏ
níu	niːjʏ
níu	niːʏ
níunda	niːjʏnta
níunda	niːʏnta
níundi	niːjʏntɪ
níundi	niːʏntɪ
níundu	niːjʏntʏ
níundu	niːʏntʏ
níutíu	niːtijʏ
Njarðargötu	njarðarkœːtʏ
Njarðvík	njarðvik
Njarðvíkinga	njarðviciŋka
Njarðvíkingar	njarðviciŋkar
Njarðvíkur	njarðvikʏr
Njarðvíkurkirkja	njarðvikʏrcɪr̥ca
Njarðvíkurkirkju	njarðvikʏrcɪr̥cʏ
Njáll	njautl̥
Njáls	njauls
Njálsgötu	njaulskœːtʏ
Njálsgötu	njaulskœtʏ
Njálsgötu	njaulskaːta
Njálsson	njaulsɔːn
Njálsson	njaulsɔn
Njálu	njauːlʏ
Njáluslóðir	njauːlʏstlouːðɪr
njóli	njouːlɪ
njósna	njoustna
njósnaði	njoustnaðɪ
njósnara	njoustnara
njósnarar	njoustnarar
njósnarar	njousnarɪ
njósnarinn	njoustnarɪn
njósnir	njoustnɪr
njóta	njouːta
njótast	njouːtast
njóti	njouːtɪ
njótum	njouːtʏm
Njörður	njœrðʏr
Nobel	nouːpɛl
Nokia	nouːcija
nokk	nɔhk
nokkra	nɔhkra
nokkrar	nɔhkrar
nokkrir	nɔhkrɪr
nokkru	nɔhkrʏ
nokkrum	nɔhkrʏm
nokkuð	nɔhkʏð
nokkur	nɔhkʏr
nokkurn	nɔhkʏtn
nokkurn	nɔhkʏtn̥
nokkurn	nɔhkʏrtn̥
nokkurra	nɔhkʏra
nokkurrar	nɔhkʏrar
nokkurri	nɔhkʏrɪ
nokkurs	nɔhkʏr̥s
nokkurskonar	nɔhkʏr̥skɔːnar
nokkurt	nɔhkʏr̥t
Nonna	nɔna
Nonnahús	nɔnahuːs
Nonni	nɔnɪ
Nordal	nɔrtal
norðan	nɔrðan
norðanátt	nɔrðanauht
norðanlands	nɔrðanlants
norðanverðu	nɔrðanvɛrðʏ
norðanverðum	nɔrðanvɛrðʏm
norðanvert	nɔrðanvɛr̥t
norðanvindurinn	nɔrðanvɪntʏrɪn
norðar	nɔrðar
norðaustan	nɔrðœystan
norðaustur	nɔrðœystʏr
norðausturhluta	nɔrðœystʏrl̥ʏːta
Norðdahl	nɔrtal
Norðfirði	nɔrðfɪrðɪ
Norðfirði	nɔrθfɪrðɪ
Norðfjarðar	nɔrðfjarðar
Norðfjarðar	nɔrθfjarðar
Norðfjörð	nɔrðfjœrð
Norðfjörð	nɔrfjœrð
Norðfjörð	nɔrθfjœrð
norðlendinga	nɔrðlɛntiŋka
norðlenska	nɔrðlɛnska
Norðlingaholti	nɔrðliŋkahɔl̥tɪ
Norðlingaholti	nɔrlɪɲkahɔl̥tɪ
Norðlingaholti	nɔrlɪŋkahɔl̥tɪ
Norðlingaöldu	nɔrðliŋkaœltʏ
Norðlingaöldulón	nɔrðliŋkaœltʏlouːn
Norðlingaölduveitu	nɔrðliŋkaœltʏveiːtʏ
norðlægum	nɔrðlaiɣʏm
Norðmaður	nɔrðmaðʏr
Norðmaðurinn	nɔrðmaðʏrɪn
Norðmanna	nɔrðmana
Norðmenn	nɔrðmɛn
Norðmennirnir	nɔrðmɛnɪtnɪr
Norðmönnum	nɔrðmœnʏm
norðri	nɔrðrɪ
norður	nɔrðʏr
Norðurá	nɔrðʏrauː
Norðurál	nɔrðʏrauːl
Norðurál	nɔrðʏraul
Norðuráli	nɔrðʏrauːlɪ
Norðuráls	nɔrðʏrauːls
Norðurárdal	nɔrðʏraurtaːl
norðurátt	nɔrðʏrauht
norðurbandalagið	nɔrðʏrpantalaijɪð
norðurbandalagsins	nɔrðʏrpantalaxsɪns
Norðurbraut	nɔrðʏrprœyːt
Norðurbrún	nɔrðʏrpruːn
norðurbæjar	nɔrðʏrpaijar
norðurdyrnar	nɔrðʏrtɪrtnar
norðurdyrunum	nɔrðʏrtɪːrɔnʏm
Norðurfirði	nɔrðʏrfɪrðɪ
norðurhluta	nɔrðʏrl̥ʏːta
norðurhveli	nɔrðʏrkvɛːlɪ
norðurhveli	nɔrðʏrxvɛːlɪ
Norðurland	nɔrðʏrlant
Norðurlanda	nɔrðʏrlanta
Norðurlandabúa	nɔrðʏrlantapuːa
Norðurlandabúar	nɔrðʏrlantapuːar
Norðurlandamet	nɔrðʏrlantamɛːt
Norðurlandamóti	nɔrðʏrlantamouːtɪ
Norðurlandamótinu	nɔrðʏrlantamouːtɪnʏ
Norðurlandanna	nɔrðʏrlantana
Norðurlandaráðs	nɔrðʏrlantarauðs
Norðurlandaþjóðirnar	nɔrðʏrlantaθjouːðɪtnar
Norðurlandi	nɔrðʏrlantɪ
Norðurlands	nɔrðʏrlants
Norðurljós	nɔrðʏrljouːs
norðurljósa	nɔrðʏrljouːsa
norðurljósin	nɔrðʏrljouːsɪn
Norðurljósum	nɔrðʏrljouːsʏm
norðurloftið	nɔrðʏrlɔftɪð
Norðurlönd	nɔrðʏrlœnt
Norðurlöndin	nɔrðʏrlœntɪn
Norðurlöndum	nɔrðʏrlœntʏm
Norðurlöndunum	nɔrðʏrlœntɔnʏm
norðurorku	nɔrðʏrɔr̥kʏ
norðurpólinn	nɔrðʏrpouːlɪn
norðurs	nɔrðʏr̥s
norðursins	nɔrðʏr̥sɪns
Norðursjó	nɔrðʏrsjouː
norðurslóðum	nɔrðʏrstlouːðʏm
norðvestan	nɔrðvɛstan
norðvestur	nɔrðvɛstʏr
Noreg	nɔːrɛɣ
Noregi	nɔːreijɪ
Noregs	nɔːrɛɣs
Noregur	nɔːrɛɣʏr
norm	nɔrm
Norma	nɔrma
normal	nɔrmal
Normandí	nɔrmanti
norminu	nɔrmɪnʏ
norn	nɔrtn̥
nornir	nɔrtnɪr
nornirnar	nɔrtnɪtnar
norpaði	nɔhrpaðɪ
norpaði	nɔr̥paðɪ
Norrlandsgötu	nɔrlantskœːtʏ
norræn	nɔrain
norræna	nɔraina
norrænar	nɔrainar
norrænir	nɔrainɪr
norrænna	nɔraitna
norrænnar	nɔraitnar
norrænni	nɔraitnɪ
norrænt	nɔrain̥t
norrænu	nɔrainʏ
norrænum	nɔrainʏm
norsk	nɔr̥sk
norska	nɔr̥ska
norskan	nɔr̥skan
norskar	nɔr̥skar
norski	nɔr̥scɪ
norskir	nɔr̥scɪr
norskra	nɔr̥skra
norskri	nɔr̥skrɪ
norskt	nɔr̥st
norsku	nɔr̥skʏ
norskum	nɔr̥skʏm
norskur	nɔr̥skʏr
not	nɔːt
nota	nɔːta
notað	nɔːtað
notaða	nɔːtaða
notaðar	nɔːtaðar
notaði	nɔːtaðɪ
notaðir	nɔːtaðɪr
notaðra	nɔːtaðra
notaðri	nɔːtaðrɪ
notaðu	nɔːtaðʏ
notaður	nɔːtaðʏr
notagildi	nɔːtacɪltɪ
notaleg	nɔːtalɛɣ
notalega	nɔːtalɛɣa
notalegt	nɔːtalɛxt
notalegu	nɔːtalɛɣʏ
notalegum	nɔːtalɛɣʏm
notanda	nɔːtanta
notandi	nɔːtantɪ
notandinn	nɔːtantɪn
notar	nɔːtar
notarðu	nɔːtarʏ
notast	nɔːtast
notenda	nɔːtɛnta
notendaviðmótið	nɔːtɛntavɪðmoutɪð
notendum	nɔːtɛntʏm
notendur	nɔːtɛntʏr
notfæra	nɔːtfaira
notfærði	nɔːtfairðɪ
notfært	nɔːtfair̥t
noti	nɔːtɪ
notið	nɔːtɪð
notir	nɔːtɪr
notkun	nɔːtkʏn
notkunar	nɔːtkʏnar
notkunin	nɔːtkʏnɪn
Nottingham	nɔhtiŋhaːm
Notts	nɔhts
notuð	nɔːtʏð
notuðu	nɔːtʏðʏ
notuðum	nɔːtʏðʏm
notum	nɔːtʏm
Nóa	nouːa
Nóatún	nouːatuːn
Nóatúni	nouːatuːnɪ
Nóatúns	nouːatuns
Nóbelsverðlaunin	nouːpɛlsvɛrðlœynɪn
nóg	nouː
nóga	nouːa
nógan	nouːan
nógu	nouːʏ
nógur	nouːʏr
Nói	nouːɪ
Nóra	nouːra
nóta	nouːta
nótt	nouht
nóttin	nouhtɪn
nóttina	nouhtɪːna
nóttina	nouhtɪna
nóttinni	nouhtɪnɪ
nóttu	nouhtʏ
nóttum	nouhtʏm
nóttunni	nouhtʏnɪ
nótu	nouːtʏ
nótum	nouːtʏm
nótuna	nouːtʏna
nótunum	nouːtɔnʏm
nótur	nouːtʏr
nóturnar	nouːtʏtnar
nóvember	nouːvɛmpɛr
nudd	nʏt
nudda	nʏta
nuddað	nʏtað
nuddaði	nʏtaðɪ
nuddar	nʏtar
nuddast	nʏtast
nudduðu	nʏtʏðʏ
nuggaði	nʏkaðɪ
numið	nʏːmɪð
numin	nʏːmɪn
numinn	nʏːmɪn
nunna	nʏna
nunnan	nʏnan
nunnunum	nʏnɔnʏm
nunnur	nʏnʏr
nunnurnar	nʏnʏtnar
nutu	nʏːtʏ
nutum	nʏːtʏm
nú	nuː
núa	nuːa
núgildandi	nuːcɪltantɪ
núið	nuːɪð
nújá	nuːjau
núlifandi	nuːlɪvantɪ
núll	nul
núlli	nulɪ
númer	nuːmɛr
númerabirti	nuːmɛrapɪr̥tɪ
númeri	nuːmɛrɪ
númerið	nuːmɛrɪð
númerin	nuːmɛrɪn
númerinu	nuːmɛrɪnʏ
númerum	nuːmɛrʏm
Númi	nuːmɪ
núna	nuːna
núnú	nuːnu
núorðið	nuːɔrðɪð
Núpi	nuːpɪ
nútildags	nuːtɪltaxs
nútíð	nuːtið
nútíma	nuːtima
nútímaleg	nuːtimalɛɣ
nútímalega	nuːtimalɛɣa
nútímalegra	nuːtimalɛɣra
nútímalegri	nuːtimalɛɣrɪ
nútímalegt	nuːtimalɛxt
nútímalist	nuːtimalɪst
nútímalíf	nuːtimaliːv
nútímamaður	nuːtimamaːðʏr
nútímamannsins	nuːtimamansɪns
nútímann	nuːtiman
nútímans	nuːtimans
nútímanum	nuːtimanʏm
nútímasamfélagi	nuːtimasamfjɛlaijɪ
nútímatónlist	nuːtimatounlɪst
nútímatækni	nuːtimataihknɪ
nútímaþjóðfélagi	nuːtimaθjouðfjɛlaijɪ
nútíminn	nuːtimɪn
núverandi	nuːvɛrantɪ
núvirði	nuːvɪrðɪ
nyrðra	nɪrðra
nyrðri	nɪrðrɪ
nyrst	nɪr̥st
nyt	nɪːt
nyti	nɪːtɪ
nytjastofna	nɪːtjastɔpna
nytu	nɪːtʏ
ný	niː
nýafstöðnu	niːjafstœðnʏ
nýárs	niːjaur̥s
nýársdag	niːjaur̥staːɣ
nýársdagur	niːjaur̥staːɣʏr
nýársnótt	niːjaur̥stnouht
nýbakaðar	niːpakaðar
nýbreytni	niːpreihtnɪ
nýbúa	niːpua
nýbúið	niːpuɪð
nýbúin	niːpuɪn
nýbúinn	niːpuɪn
nýbygging	niːpɪciŋk
nýbygginga	niːpɪciŋka
nýbyggingar	niːpɪciŋkar
nýbyggingu	niːpɪciŋkʏ
nýbyggingum	niːpɪciŋkʏm
nýbyrjaður	niːpɪrjaðʏr
Nýbýlaveg	niːpiːlavɛɣ
Nýbýlaveg	niːpilavɛːɣ
Nýbýlavegi	niːpiːlaveijɪ
Nýbýlavegi	niːpilaveiːjɪ
nýfallinn	niːfatlɪn
nýfarinn	niːfarɪn
nýflutt	niːflʏht
Nýfundnaland	niːfʏntnalant
Nýfundnalandi	niːfʏntnalantɪ
Nýfundnalands	niːfʏntnalants
Nýfundnalandshundurinn	niːfʏntnalantshʏntʏrɪn
nýfædd	niːfait
nýfæddu	niːfaitʏ
nýfæddum	niːfaitʏm
nýfætt	niːfaiht
nýgengi	niːceiɲcɪ
nýgift	niːcɪft
nýherja	niːhɛrja
Nýherji	niːhɛrjɪ
nýi	niːjɪ
nýir	niːjɪr
nýja	niːja
Nýjabæ	niːjapai
nýjaleik	niːjaleiːk
nýjan	niːjan
nýjar	niːjar
nýjasta	niːjasta
nýjasti	niːjastɪ
nýju	niːjʏ
nýjum	niːjʏm
nýjung	niːjuŋk
nýjunga	niːjuŋka
nýjungar	niːjuŋkar
nýjungum	niːjuŋkʏm
nýjustu	niːjʏstʏ
Nýkaup	niːkœyp
Nýkaupi	niːkœypɪ
Nýkaups	niːkœyps
nýkjörnum	niːcœtnʏm
nýkjörnum	niːcœrtnʏm
nýkomið	niːkɔmɪð
nýkomin	niːkɔmɪn
nýkominn	niːkɔmɪn
nýkomna	niːkɔmna
nýkomnir	niːkɔmnɪr
nýkomnu	niːkɔmnʏ
nýleg	niːlɛɣ
nýlega	niːlɛɣa
nýlegar	niːlɛɣar
nýlegri	niːlɛɣrɪ
nýlegt	niːlɛxt
nýlegu	niːlɛɣʏ
nýlegum	niːlɛɣʏm
nýlenda	niːlɛnta
nýlenduvöruverslun	niːlɛntʏvœrʏvɛr̥stlʏn
nýliða	niːlɪːða
nýliða	niːlɪða
nýliðanum	niːlɪːðanʏm
nýliðanum	niːlɪðanʏm
nýliðar	niːlɪðar
nýliðarnir	niːlɪːðatnɪr
nýliðarnir	niːlɪðatnɪr
nýliði	niːlɪðɪ
nýliðinn	niːlɪðɪn
nýliðinnar	niːlɪðɪnar
nýliðinni	niːlɪðɪnɪ
nýliðnu	niːlɪðnʏ
nýliðnum	niːlɪðnʏm
nýliðum	niːlɪðʏm
nýliðun	niːlɪðʏn
nýliðunum	niːlɪðɔnʏm
nýliðunum	niːlɪðʏnʏm
Nýlistasafnið	niːlɪstasapnɪð
Nýlistasafninu	niːlɪstasapnɪnʏ
Nýlistasafnsins	niːlɪstasapsɪns
nýlokið	niːlɔcɪð
nýlunda	niːlʏnta
nýmálað	niːmaulað
nýmæli	niːmailɪ
nýorðin	niːjɔrðɪn
nýorðinn	niːjɔrðɪn
nýr	niːr
nýráðinn	niːrauðɪn
nýrnasjúkra	nirtnasjuːkra
nýrnastein	nirtnasteiːn
nýrra	nira
nýrrar	nirar
nýrri	nirɪ
nýrun	niːrʏn
nýs	niːs
nýsköpun	niːskœpʏn
nýsköpunar	niːskœpʏnar
Nýsköpunarsjóði	niːskœpʏnarsjouːðɪ
Nýsköpunarsjóðs	niːskœpʏnarsjouːðs
Nýsköpunarsjóður	niːskœpʏnarsjouːðʏr
nýsloppinn	niːstlɔhpɪn
nýsmíði	niːsmiðɪ
nýst	nist
nýstárleg	niːstaurlɛɣ
nýstárlega	niːstaurlɛɣa
nýstárlegt	niːstaurlɛxt
nýstofnaða	niːstɔpnaða
nýta	niːta
nýtan	niːtan
nýtast	niːtast
nýting	niːtiŋk
nýtingar	niːtiŋkar
nýtingin	niːtiɲcɪn
nýtingu	niːtiŋkʏ
nýtir	nitɪr
nýtist	niːtɪst
nýtt	niːht
nýtt	niːht
nýtt	niht
nýttar	nihtar
nýtti	nihtɪ
nýttir	nihtɪr
nýttist	nihtɪst
nýttu	nihtʏ
nýttum	nihtʏm
nýttur	nihtʏr
nýttust	nihtʏst
nýtum	niːtʏm
nýtur	niːtʏr
nýútkominni	niːjutkɔːmɪnɪ
nýútkomna	niːjutkɔmna
nývaknaður	niːvahknaðʏr
nývaknaður	niːvaxnaðʏr
nýverið	niːvɛrɪð
nýyrði	niːjɪrðɪ
næ	naiː
næddi	naitɪ
næði	naiːðɪ
næðis	naiːðɪs
næðist	naiːðɪst
næðu	naiːðʏ
næðum	naiːðʏm
næðust	naiːðʏst
næg	naiːɣ
næga	naiːɣa
nægan	naiːɣan
nægar	naiːɣar
nægði	naiɣðɪ
nægðu	naiɣðʏ
nægi	naijɪ
nægileg	naijɪlɛɣ
nægilega	naijɪlɛɣa
nægilegan	naijɪlɛɣan
nægilegar	naijɪlɛɣar
nægilegt	naiːjɪlɛxt
nægilegt	naijɪlɛxt
nægir	naiːjɪr
nægir	naijɪr
nægja	naija
nægju	naijʏ
nægjusemi	naijʏsɛːmɪ
nægt	naixt
nægum	naiːɣʏm
nægur	naiːɣʏr
næla	naiːla
nælt	nail̥t
nælu	naiːlʏ
næluna	naiːlʏna
næm	naiːm
næma	naiːma
næmi	naiːmɪ
næmt	naim̥t
næmt	naimt
næmur	naiːmʏr
næpur	naiːpʏr
nær	naiːr
næra	naiːra
nærast	naiːrast
nærbuxum	nairpʏksʏm
nærbuxum	nairpʏxsʏm
nærbuxunum	nairpʏksɔnʏm
nærbuxunum	nairpʏxsɔnʏm
nærbuxur	nairpʏksʏr
nærbuxur	nairpʏxsʏr
nærð	nairð
nærðist	nairðɪst
nærðu	nairðʏ
nærðust	nairðʏst
nærfellt	nair̥fɛl̥t
nærföt	nair̥fœt
nærfötin	nair̥fœtɪn
nærfötum	nair̥fœtʏm
nærfötunum	nair̥fœtɔnʏm
nærgætni	naircaihtnɪ
næringarfræði	naiːriŋkarfraiːðɪ
næringarfræðingur	naiːriŋkarfraiːðiŋkʏr
næringu	naiːrɪnkʏ
nærir	naiːrɪr
nærist	naiːrɪst
nærklæðunum	nairklaiðʏm
nærliggjandi	nairlɪcantɪ
nærmynd	nairmɪnt
nærri	nairɪ
nærstaddir	nair̥statɪr
nærstaddur	nair̥statʏr
nært	nair̥t
nærtækast	nairtaikast
nærtækt	nairtaixt
nærvera	nairvɛra
nærveru	nairvɛrʏ
næs	naiːs
næst	naist
næsta	naista
næstefstu	naistɛfstʏ
næsti	naistɪ
næstir	naistɪr
næstkomandi	naistkɔmantɪ
næstneðsta	naistnɛðsta
næstsíðasta	naistsiðasta
næstsíðustu	naistsiðʏstʏ
næststærsta	naistaista
næststærsti	naistaistɪ
næstu	naistʏ
næstum	naistʏm
næstunni	naistʏnɪ
næstur	naistʏr
nætur	naiːtʏr
næturdagskrá	naiːtʏrtaskrauː
næturgesti	naitʏrcɛstɪ
næturhimininn	naiːtʏrhɪmɪnɪn
næturinnar	naiːtʏrɪnar
næturklúbb	naiːtʏrklup
næturklúbbi	naiːtʏrklupɪ
næturklúbbnum	naiːtʏrklupnʏm
næturlagi	naiːtʏrlaijɪ
næturlangt	naiːtʏrlaŋ̊t
næturlangt	naiːtʏrlauŋ̊t
næturlangt	naiːtʏrlauŋt
næturloftið	naiːtʏrlɔftɪð
næturmyrkrið	naiːtʏrmɪr̥krɪð
næturnar	naiːtʏtnar
nætursjónvarp	naiːtʏrsjounvar̥p
næturtónar	naiːtʏrtouːnar
næturvakt	naiːtʏrvaxt
næturvaktar	naiːtʏrvaxtar
næturvaktin	naiːtʏrvaxtɪn
næturvörður	naiːtʏrvœrðʏr
næturvörðurinn	naiːtʏrvœrðʏrɪn
næturþeli	naiːtʏrθɛːlɪ
nöf	nœːv
nöfn	nœpn̥
nöfnin	nœpnɪn
nöfnu	nœpnʏ
nöfnum	nœpnʏm
nöfnunum	n̥pnɔnʏm
nögl	nœkl̥
nöglinni	nœklɪnɪ
nöglum	nœklʏm
nöguðu	nœːɣʏðʏ
Nökkvavogi	nœhkvavɔiːjɪ
nökkvi	nœhkvɪ
nöktu	nœxtʏ
nöldra	nœltra
nöldraði	nœltraðɪ
nöldur	nœltʏr
Nönnu	nœnʏ
nöpru	nœːprʏ
nöpur	nœːpʏr
nösina	nœːsɪna
nösinni	nœːsɪnɪ
nösum	nœːsʏm
nösunum	nœːsɔnʏm
nötra	nœːtra
nötraði	nœːtraðɪ
nötrandi	nœːtrantɪ
nötruðu	nœːtrʏðʏ
O	ɔː
obbann	ɔpan
obbinn	ɔpɪn
Odd	ɔt
Odda	ɔta
Oddeyri	ɔteirɪ
Oddgeir	ɔtceir
Oddgeirsbæ	ɔtceir̥spaiː
oddhvössu	ɔtkvœsʏ
Oddi	ɔtɪ
oddinn	ɔtɪn
Oddný	ɔtni
Oddnýju	ɔtnijʏ
Odds	ɔts
Oddsdóttir	ɔtstouhtɪr
Oddsskarði	ɔtskarðɪ
Oddsson	ɔtsɔn
Oddssonar	ɔtsɔnar
Oddssyni	ɔtsɪnɪ
Oddur	ɔtʏr
oddvita	ɔtvɪta
oddviti	ɔtvɪtɪ
of	ɔːv
ofan	ɔːvan
ofanaf	ɔːvanaːv
ofaná	ɔːvanauː
ofanálag	ɔːvanaulaːɣ
ofangreind	ɔːvankreint
ofangreinda	ɔːvankreinta
