abá	aˈba
está	esˈt̪a
estafá	est̪aˈfa
estafás	est̪aˈfas
estafés	est̪aˈfes
estallá	est̪aˈʝa
estallás	est̪aˈʝas
estallés	est̪aˈʝes
estambrá	est̪amˈbɾa
estambrás	est̪amˈbɾas
estambrés	est̪amˈbɾes
estampá	est̪amˈpa
estampás	est̪amˈpas
estampés	est̪amˈpes
estampillá	est̪ampiˈʝa
estampillás	est̪ampiˈʝas
estampillés	est̪ampiˈʝes
estañá	est̪aˈɲa
estañás	est̪aˈɲas
estancá	est̪anˈka
estancás	est̪anˈkas
estandardicés	est̪and̪aɾd̪iˈses
estandardizá	est̪and̪aɾd̪iˈsa
estandardizás	est̪and̪aɾd̪iˈsas
estandaricés	est̪and̪aɾiˈses
estandarizá	est̪and̪aɾiˈsa
estandarizás	est̪and̪aɾiˈsas
estañés	est̪aˈɲes
estanqués	est̪anˈkes
estaqués	est̪aˈkes
estaquillá	est̪akiˈʝa
estaquillás	est̪akiˈʝas
estaquillés	est̪akiˈʝes
estarcí	est̪aɾˈsi
estarcís	est̪aɾˈsis
estarzás	est̪aɾˈsas
estás	esˈt̪as
estás	esˈt̪as
estatuí	est̪aˈt̪wi
estatuís	est̪aˈt̪wis
estatuyás	est̪at̪uˈʝas
estecés	est̪eˈses
estenografiá	est̪enogɾafiˈa
estenografiás	est̪enogɾafiˈas
estenografiés	est̪enogɾaˈfjes
esterá	est̪eˈɾa
esterás	est̪eˈɾas
estercolá	est̪eɾkoˈla
estercolás	est̪eɾkoˈlas
estercolés	est̪eɾkoˈles
estereotipá	est̪eɾeot̪iˈpa
estereotipás	est̪eɾeot̪iˈpas
estereotipés	est̪eɾeot̪iˈpes
esterés	est̪eˈɾes
esterificá	est̪eɾifiˈka
esterificás	est̪eɾifiˈkas
esterifiqués	est̪eɾifiˈkes
esterilicés	est̪eɾiliˈses
esterilizá	est̪eɾiliˈsa
esterilizás	est̪eɾiliˈsas
estés	esˈt̪es
estés	esˈt̪es
estezá	est̪eˈsa
estezás	est̪eˈsas
estibá	est̪iˈba
estibás	est̪iˈbas
estibés	est̪iˈbes
estigmaticés	est̪igmat̪iˈses
estigmatizá	est̪igmat̪iˈsa
estigmatizás	est̪igmat̪iˈsas
estilá	est̪iˈla
estilás	est̪iˈlas
estilés	est̪iˈles
estilicés	est̪iliˈses
estilizá	est̪iliˈsa
estilizás	est̪iliˈsas
estimá	est̪iˈma
estimás	est̪iˈmas
estimés	est̪iˈmes
estimulá	est̪imuˈla
estimulás	est̪imuˈlas
estimulés	est̪imuˈles
estipendiá	est̪ipend̪iˈa
estipendiás	est̪ipend̪iˈas
estipendiés	est̪ipenˈd̪jes
estipulá	est̪ipuˈla
estipulás	est̪ipuˈlas
estipulés	est̪ipuˈles
estirá	est̪iˈɾa
estirás	est̪iˈɾas
estirés	est̪iˈɾes
estofá	est̪oˈfa
estofás	est̪oˈfas
estofés	est̪oˈfes
estomagá	est̪omaˈga
estomagás	est̪omaˈgas
estomagués	est̪omaˈges
estoqueá	est̪okeˈa
estoqueás	est̪okeˈas
estoqueés	est̪okeˈes
estorbá	est̪oɾˈba
estorbás	est̪oɾˈbas
estorbés	est̪oɾˈbes
estornudá	est̪oɾnuˈd̪a
estornudás	est̪oɾnuˈd̪as
estornudés	est̪oɾnuˈd̪es
estová	est̪oˈba
estovás	est̪oˈbas
estovés	est̪oˈbes
estragá	est̪ɾaˈga
estragás	est̪ɾaˈgas
estragués	est̪ɾaˈges
estrangulá	est̪ɾanguˈla
estrangulás	est̪ɾanguˈlas
estrangulés	est̪ɾanguˈles
estraperleá	est̪ɾapeɾleˈa
estraperleás	est̪ɾapeɾleˈas
estraperleés	est̪ɾapeɾleˈes
estratificá	est̪ɾat̪ifiˈka
estratificás	est̪ɾat̪ifiˈkas
estratifiqués	est̪ɾat̪ifiˈkes
estrechá	est̪ɾeˈʧa
estrechás	est̪ɾeˈʧas
estrechés	est̪ɾeˈʧes
estregá	est̪ɾeˈga
estregás	est̪ɾeˈgas
estregués	est̪ɾeˈges
estrellá	est̪ɾeˈʝa
estrellás	est̪ɾeˈʝas
estrellés	est̪ɾeˈʝes
estremecé	est̪ɾemeˈse
estremecés	est̪ɾemeˈses
estremezcás	est̪ɾemesˈkas
estrená	est̪ɾeˈna
estrenás	est̪ɾeˈnas
estrenés	est̪ɾeˈnes
estreñí	est̪ɾeˈɲi
estreñís	est̪ɾeˈɲis
estriá	est̪ɾiˈa
estriás	est̪ɾiˈas
estribá	est̪ɾiˈba
estribás	est̪ɾiˈbas
estribés	est̪ɾiˈbes
estridulá	est̪ɾid̪uˈla
estridulás	est̪ɾid̪uˈlas
estridulés	est̪ɾid̪uˈles
estriés	esˈt̪ɾjes
estriñás	est̪ɾiˈɲas
estropeá	est̪ɾopeˈa
estropeás	est̪ɾopeˈas
estropeés	est̪ɾopeˈes
estructurá	est̪ɾukt̪uˈɾa
estructurás	est̪ɾukt̪uˈɾas
estructurés	est̪ɾukt̪uˈɾes
estrujá	est̪ɾuˈxa
estrujás	est̪ɾuˈxas
estrujés	est̪ɾuˈxes
estucá	est̪uˈka
estucás	est̪uˈkas
estuchá	est̪uˈʧa
estuchás	est̪uˈʧas
estuchés	est̪uˈʧes
estudiá	est̪ud̪iˈa
estudiás	est̪ud̪iˈas
estudiés	est̪uˈd̪jes
estufá	est̪uˈfa
estufás	est̪uˈfas
estufés	est̪uˈfes
estuprá	est̪uˈpɾa
estuprás	est̪uˈpɾas
estuprés	est̪uˈpɾes
estuqués	est̪uˈkes
etericés	et̪eɾiˈses
eterificá	et̪eɾifiˈka
eterificás	et̪eɾifiˈkas
eterifiqués	et̪eɾifiˈkes
eterizá	et̪eɾiˈsa
eterizás	et̪eɾiˈsas
eternicés	et̪eɾniˈses
eternizá	et̪eɾniˈsa
eternizás	et̪eɾniˈsas
etimologicés	et̪imoloxiˈses
etimologizá	et̪imoloxiˈsa
etimologizás	et̪imoloxiˈsas
etiquetá	et̪ikeˈt̪a
etiquetás	et̪ikeˈt̪as
etiquetés	et̪ikeˈt̪es
europeicés	ewɾopejˈses
europeizá	ewɾopejˈsa
europeizás	ewɾopejˈsas
eutroficés	ewt̪ɾofiˈses
eutrofizá	ewt̪ɾofiˈsa
eutrofizás	ewt̪ɾofiˈsas
evacuá	ebaˈkwa
evacuás	ebaˈkwas
evacués	ebaˈkwes
evadás	ebaˈd̪as
evadí	ebaˈd̪i
evadís	ebaˈd̪is
evaluá	ebaˈlwa
evaluás	ebaˈlwas
evalués	ebaˈlwes
evangelicés	ebanxeliˈses
evangelizá	ebanxeliˈsa
evangelizás	ebanxeliˈsas
evaporá	ebapoˈɾa
evaporás	ebapoˈɾas
evaporés	ebapoˈɾes
evaporicés	ebapoɾiˈses
evaporizá	ebapoɾiˈsa
evaporizás	ebapoɾiˈsas
evidenciá	ebid̪ensiˈa
evidenciás	ebid̪ensiˈas
evidenciés	ebid̪enˈsjes
evitá	ebiˈt̪a
evitás	ebiˈt̪as
evités	ebiˈt̪es
evocá	eboˈka
evocás	eboˈkas
evolucioná	ebolusjoˈna
evolucionás	ebolusjoˈnas
evolucionés	ebolusjoˈnes
evoqués	eboˈkes
exacerbá	eksaseɾˈba
exacerbás	eksaseɾˈbas
exacerbés	eksaseɾˈbes
exagerá	eksaxeˈɾa
exagerás	eksaxeˈɾas
exagerés	eksaxeˈɾes
exaltá	eksalˈt̪a
exaltás	eksalˈt̪as
exaltés	eksalˈt̪es
examiná	eksamiˈna
examinás	eksamiˈnas
examinés	eksamiˈnes
exasperá	eksaspeˈɾa
exasperás	eksaspeˈɾas
exasperés	eksaspeˈɾes
excandecé	ekskand̪eˈse
excandecés	ekskand̪eˈses
excandezcás	ekskand̪esˈkas
excarcelá	ekskaɾseˈla
excarcelás	ekskaɾseˈlas
excarcelés	ekskaɾseˈles
excavá	ekskaˈba
excavás	ekskaˈbas
excavés	ekskaˈbes
excedás	ekseˈd̪as
excedé	ekseˈd̪e
excedés	ekseˈd̪es
excepcioná	eksepsjoˈna
excepcionás	eksepsjoˈnas
excepcionés	eksepsjoˈnes
exceptuá	eksepˈt̪wa
exceptuás	eksepˈt̪was
exceptués	eksepˈt̪wes
excitá	eksiˈt̪a
excitás	eksiˈt̪as
excités	eksiˈt̪es
exclamá	eksklaˈma
exclamás	eksklaˈmas
exclamés	eksklaˈmes
exclaustrá	eksklawsˈt̪ɾa
exclaustrás	eksklawsˈt̪ɾas
exclaustrés	eksklawsˈt̪ɾes
excluí	eksklˈwi
excluís	eksklˈwis
excluyás	ekskluˈʝas
excomulgá	ekskomulˈga
excomulgás	ekskomulˈgas
excomulgués	ekskomulˈges
excoriá	ekskoɾiˈa
excoriás	ekskoɾiˈas
excoriés	ekskoˈɾjes
excrementá	ekskɾemenˈt̪a
excrementás	ekskɾemenˈt̪as
excrementés	ekskɾemenˈt̪es
excretá	ekskɾeˈt̪a
excretás	ekskɾeˈt̪as
excretés	ekskɾeˈt̪es
exculpá	ekskulˈpa
exculpás	ekskulˈpas
exculpés	ekskulˈpes
excusá	ekskuˈsa
excusás	ekskuˈsas
excusés	ekskuˈses
execrá	ekseˈkɾa
execrás	ekseˈkɾas
execrés	ekseˈkɾes
exentá	eksenˈt̪a
exentás	eksenˈt̪as
exentés	eksenˈt̪es
exfoliá	eksfoliˈa
exfoliás	eksfoliˈas
exfoliés	eksfoˈljes
exhalá	eksaˈla
exhalás	eksaˈlas
exhalés	eksaˈles
exheredá	ekseɾeˈd̪a
exheredás	ekseɾeˈd̪as
exheredés	ekseɾeˈd̪es
exhibás	eksiˈbas
exhibí	eksiˈbi
exhibís	eksiˈbis
exhortá	eksoɾˈt̪a
exhortás	eksoɾˈt̪as
exhortés	eksoɾˈt̪es
exhumá	eksuˈma
exhumás	eksuˈmas
exhumés	eksuˈmes
exigí	eksiˈxi
exigís	eksiˈxis
exijás	eksiˈxas
exilá	eksiˈla
exilás	eksiˈlas
exilés	eksiˈles
exiliá	eksiliˈa
exiliás	eksiliˈas
exiliés	eksiˈljes
eximás	eksiˈmas
eximí	eksiˈmi
eximís	eksiˈmis
existás	eksisˈt̪as
existí	eksisˈt̪i
existís	eksisˈt̪is
exonerá	eksoneˈɾa
exonerás	eksoneˈɾas
exonerés	eksoneˈɾes
exorcicés	eksoɾsiˈses
exorcizá	eksoɾsiˈsa
exorcizás	eksoɾsiˈsas
exorná	eksoɾˈna
exornás	eksoɾˈnas
exornés	eksoɾˈnes
expandás	ekspanˈd̪as
expandí	ekspanˈd̪i
expandís	ekspanˈd̪is
expansioná	ekspansjoˈna
expansionás	ekspansjoˈnas
expansionés	ekspansjoˈnes
expatriá	ekspat̪ɾiˈa
expatriás	ekspat̪ɾiˈas
expatriés	ekspaˈt̪ɾjes
expectorá	ekspekt̪oˈɾa
expectorás	ekspekt̪oˈɾas
expectorés	ekspekt̪oˈɾes
expedientá	eksped̪jenˈt̪a
expedientás	eksped̪jenˈt̪as
expedientés	eksped̪jenˈt̪es
expedí	ekspeˈd̪i
expedís	ekspeˈd̪is
expelás	ekspeˈlas
expelé	ekspeˈle
expelés	ekspeˈles
expendás	ekspenˈd̪as
expendé	ekspenˈd̪e
expendés	ekspenˈd̪es
expensá	ekspenˈsa
expensás	ekspenˈsas
expensés	ekspenˈses
experimentá	ekspeɾimenˈt̪a
experimentás	ekspeɾimenˈt̪as
experimentés	ekspeɾimenˈt̪es
expiá	ekspiˈa
expiás	ekspiˈas
expidás	ekspiˈd̪as
expiés	eksˈpjes
expilá	ekspiˈla
expilás	ekspiˈlas
expilés	ekspiˈles
expirá	ekspiˈɾa
expirás	ekspiˈɾas
expirés	ekspiˈɾes
explaná	eksplaˈna
explanás	eksplaˈnas
explanés	eksplaˈnes
explayá	eksplaˈʝa
explayás	eksplaˈʝas
explayés	eksplaˈʝes
explicá	ekspliˈka
explicás	ekspliˈkas
explicitá	eksplisiˈt̪a
explicitás	eksplisiˈt̪as
explicités	eksplisiˈt̪es
explicoteá	eksplikot̪eˈa
explicoteás	eksplikot̪eˈas
explicoteés	eksplikot̪eˈes
expliqués	ekspliˈkes
explorá	eksploˈɾa
explorás	eksploˈɾas
explorés	eksploˈɾes
explosioná	eksplosjoˈna
explosionás	eksplosjoˈnas
explosionés	eksplosjoˈnes
explotá	eksploˈt̪a
explotás	eksploˈt̪as
explotés	eksploˈt̪es
expoliá	ekspoliˈa
expoliás	ekspoliˈas
expoliés	ekspoˈljes
exponé	ekspoˈne
exponés	ekspoˈnes
expongás	eksponˈgas
exportá	ekspoɾˈt̪a
exportás	ekspoɾˈt̪as
exportés	ekspoɾˈt̪es
expresá	ekspɾeˈsa
expresás	ekspɾeˈsas
expresés	ekspɾeˈses
exprimás	ekspɾiˈmas
exprimí	ekspɾiˈmi
exprimís	ekspɾiˈmis
expropiá	ekspɾopiˈa
expropiás	ekspɾopiˈas
expropiés	ekspɾoˈpjes
expugná	ekspugˈna
expugnás	ekspugˈnas
expugnés	ekspugˈnes
expulsá	ekspulˈsa
expulsás	ekspulˈsas
expulsés	ekspulˈses
expurgá	ekspuɾˈga
expurgás	ekspuɾˈgas
expurgués	ekspuɾˈges
extasiá	ekst̪asiˈa
extasiás	ekst̪asiˈas
extasiés	ekst̪aˈsjes
extendás	ekst̪enˈd̪as
extendé	ekst̪enˈd̪e
extendés	ekst̪enˈd̪es
extenuá	ekst̪eˈnwa
extenuás	ekst̪eˈnwas
extenués	ekst̪eˈnwes
exterioricés	ekst̪eɾjoɾiˈses
exteriorizá	ekst̪eɾjoɾiˈsa
exteriorizás	ekst̪eɾjoɾiˈsas
exterminá	ekst̪eɾmiˈna
exterminás	ekst̪eɾmiˈnas
exterminés	ekst̪eɾmiˈnes
extingás	ekst̪inˈgas
extinguí	ekst̪inˈgi
extinguís	ekst̪inˈgis
extirpá	ekst̪iɾˈpa
extirpás	ekst̪iɾˈpas
extirpés	ekst̪iɾˈpes
extorsioná	ekst̪oɾsjoˈna
extorsionás	ekst̪oɾsjoˈnas
extorsionés	ekst̪oɾsjoˈnes
extractá	ekst̪ɾakˈt̪a
extractás	ekst̪ɾakˈt̪as
extractés	ekst̪ɾakˈt̪es
extraditá	ekst̪ɾad̪iˈt̪a
extraditás	ekst̪ɾad̪iˈt̪as
extradités	ekst̪ɾad̪iˈt̪es
extraé	ekst̪ɾaˈe
extraés	ekst̪ɾaˈes
extraigás	ekst̪ɾajˈgas
extralimitá	ekst̪ɾalimiˈt̪a
extralimitás	ekst̪ɾalimiˈt̪as
extralimités	ekst̪ɾalimiˈt̪es
extrañá	ekst̪ɾaˈɲa
extrañás	ekst̪ɾaˈɲas
extrañés	ekst̪ɾaˈɲes
extranjericés	ekst̪ɾanxeɾiˈses
extranjerizá	ekst̪ɾanxeɾiˈsa
extranjerizás	ekst̪ɾanxeɾiˈsas
extrapolá	ekst̪ɾapoˈla
extrapolás	ekst̪ɾapoˈlas
extrapolés	ekst̪ɾapoˈles
extravasá	ekst̪ɾabaˈsa
extravasás	ekst̪ɾabaˈsas
extravasés	ekst̪ɾabaˈses
extravená	ekst̪ɾabeˈna
extravenás	ekst̪ɾabeˈnas
extravenés	ekst̪ɾabeˈnes
extraviá	ekst̪ɾabiˈa
extraviás	ekst̪ɾabiˈas
extraviés	ekst̪ɾaˈbjes
extremá	ekst̪ɾeˈma
extremás	ekst̪ɾeˈmas
extremés	ekst̪ɾeˈmes
extrudás	ekst̪ɾuˈd̪as
extrudí	ekst̪ɾuˈd̪i
extrudís	ekst̪ɾuˈd̪is
exudá	eksuˈd̪a
exudás	eksuˈd̪as
exudés	eksuˈd̪es
exulcerá	eksulseˈɾa
exulcerás	eksulseˈɾas
exulcerés	eksulseˈɾes
exultá	eksulˈt̪a
exultás	eksulˈt̪as
exultés	eksulˈt̪es
eyaculá	eʝakuˈla
eyaculás	eʝakuˈlas
eyaculés	eʝakuˈles
fabricá	fabɾiˈka
fabricás	fabɾiˈkas
fabriqués	fabɾiˈkes
facheá	faʧeˈa
facheás	faʧeˈas
facheés	faʧeˈes
fachendeá	faʧend̪eˈa
fachendeás	faʧend̪eˈas
fachendeés	faʧend̪eˈes
facilitá	fasiliˈt̪a
facilitás	fasiliˈt̪as
facilités	fasiliˈt̪es
facturá	fakt̪uˈɾa
facturás	fakt̪uˈɾas
facturés	fakt̪uˈɾes
facultá	fakulˈt̪a
facultás	fakulˈt̪as
facultés	fakulˈt̪es
faená	faeˈna
faenás	faeˈnas
faenés	faeˈnes
fajá	faˈxa
fajás	faˈxas
fajés	faˈxes
faldeá	fald̪eˈa
faldeás	fald̪eˈas
faldeés	fald̪eˈes
fallá	faˈʝa
fallás	faˈʝas
fallás	faˈʝas
fallecé	faʝeˈse
fallecés	faʝeˈses
fallés	faˈʝes
fallezcás	faʝesˈkas
fallí	faˈʝi
fallís	faˈʝis
falseá	falseˈa
falseás	falseˈas
falseés	falseˈes
falsificá	falsifiˈka
falsificás	falsifiˈkas
falsifiqués	falsifiˈkes
faltá	falˈt̪a
faltás	falˈt̪as
faltés	falˈt̪es
familiaricés	familjaɾiˈses
familiarizá	familjaɾiˈsa
familiarizás	familjaɾiˈsas
fanaticés	fanat̪iˈses
fanatizá	fanat̪iˈsa
fanatizás	fanat̪iˈsas
fanfarreá	fanfareˈa
fanfarreás	fanfareˈas
fanfarreés	fanfareˈes
fanfarroneá	fanfaroneˈa
fanfarroneás	fanfaroneˈas
fanfarroneés	fanfaroneˈes
fantaseá	fant̪aseˈa
fantaseás	fant̪aseˈas
fantaseés	fant̪aseˈes
faramalleá	faɾamaʝeˈa
faramalleás	faɾamaʝeˈas
faramalleés	faɾamaʝeˈes
faranduleá	faɾand̪uleˈa
faranduleás	faɾand̪uleˈas
faranduleés	faɾand̪uleˈes
fardá	faɾˈd̪a
fardás	faɾˈd̪as
fardés	faɾˈd̪es
farfullá	faɾfuˈʝa
farfullás	faɾfuˈʝas
farfullés	faɾfuˈʝes
faroleá	faɾoleˈa
faroleás	faɾoleˈas
faroleés	faɾoleˈes
farreá	fareˈa
farreás	fareˈas
farreés	fareˈes
fasciná	fasiˈna
fascinás	fasiˈnas
fascinés	fasiˈnes
fastidiá	fast̪id̪iˈa
fastidiás	fast̪id̪iˈas
fastidiés	fast̪iˈd̪jes
fatigá	fat̪iˈga
fatigás	fat̪iˈgas
fatigués	fat̪iˈges
favorecé	faboɾeˈse
favorecés	faboɾeˈses
favorezcás	faboɾesˈkas
fechá	feˈʧa
fechás	feˈʧas
fechés	feˈʧes
fecundá	fekunˈd̪a
fecundás	fekunˈd̪as
fecundés	fekunˈd̪es
fecundicés	fekund̪iˈses
fecundizá	fekund̪iˈsa
fecundizás	fekund̪iˈsas
federá	fed̪eˈɾa
federás	fed̪eˈɾas
federés	fed̪eˈɾes
felicitá	felisiˈt̪a
felicitás	felisiˈt̪as
felicités	felisiˈt̪es
felpá	felˈpa
felpás	felˈpas
felpés	felˈpes
fenecé	feneˈse
fenecés	feneˈses
fenezcás	fenesˈkas
feriá	feɾiˈa
feriás	feɾiˈas
feriés	feˈɾjes
fermentá	feɾmenˈt̪a
fermentás	feɾmenˈt̪as
fermentés	feɾmenˈt̪es
ferrá	feˈra
ferrás	feˈras
ferrés	feˈres
fertilicés	feɾt̪iliˈses
fertilizá	feɾt̪iliˈsa
fertilizás	feɾt̪iliˈsas
fervoricés	feɾboɾiˈses
fervorizá	feɾboɾiˈsa
fervorizás	feɾboɾiˈsas
festejá	fest̪eˈxa
festejás	fest̪eˈxas
festejés	fest̪eˈxes
festoneá	fest̪oneˈa
festoneás	fest̪oneˈas
festoneés	fest̪oneˈes
fiá	fiˈa
fiás	fiˈas
fichá	fiˈʧa
fichás	fiˈʧas
fichés	fiˈʧes
fiés	fjes
figurá	figuˈɾa
figurás	figuˈɾas
figurés	figuˈɾes
fijá	fiˈxa
fijás	fiˈxas
fijés	fiˈxes
fileteá	filet̪eˈa
fileteás	filet̪eˈas
fileteés	filet̪eˈes
filiá	filiˈa
filiás	filiˈas
filiés	fiˈljes
filmá	filˈma
filmás	filˈmas
filmés	filˈmes
filosofá	filosoˈfa
filosofás	filosoˈfas
filosofés	filosoˈfes
filtrá	filˈt̪ɾa
filtrás	filˈt̪ɾas
filtrés	filˈt̪ɾes
finá	fiˈna
finalicés	finaliˈses
finalizá	finaliˈsa
finalizás	finaliˈsas
financiá	finansiˈa
financiás	finansiˈas
financiés	finanˈsjes
finás	fiˈnas
finés	fiˈnes
fingí	finˈxi
fingís	finˈxis
finiquitá	finikiˈt̪a
finiquitás	finikiˈt̪as
finiquités	finikiˈt̪es
finjás	finˈxas
fintá	finˈt̪a
fintás	finˈt̪as
finteá	fint̪eˈa
finteás	fint̪eˈas
finteés	fint̪eˈes
fintés	finˈt̪es
firmá	fiɾˈma
firmás	fiɾˈmas
firmés	fiɾˈmes
fiscalicés	fiskaliˈses
fiscalizá	fiskaliˈsa
fiscalizás	fiskaliˈsas
fisgá	fisˈga
fisgás	fisˈgas
fisgoneá	fisgoneˈa
fisgoneás	fisgoneˈas
fisgoneés	fisgoneˈes
fisgués	fisˈges
fisioná	fisjoˈna
fisionás	fisjoˈnas
fisionés	fisjoˈnes
flagelá	flaxeˈla
flagelás	flaxeˈlas
flagelés	flaxeˈles
flameá	flameˈa
flameás	flameˈas
flameés	flameˈes
flanqueá	flankeˈa
flanqueás	flankeˈas
flanqueés	flankeˈes
flaqueá	flakeˈa
flaqueás	flakeˈas
flaqueés	flakeˈes
flechá	fleˈʧa
flechás	fleˈʧas
flechés	fleˈʧes
fletá	fleˈt̪a
fletás	fleˈt̪as
fletés	fleˈt̪es
flexibilicés	fleksibiliˈses
flexibilizá	fleksibiliˈsa
flexibilizás	fleksibiliˈsas
flexioná	fleksjoˈna
flexionás	fleksjoˈnas
flexionés	fleksjoˈnes
flipá	fliˈpa
flipás	fliˈpas
flipés	fliˈpes
flirteá	fliɾt̪eˈa
flirteás	fliɾt̪eˈas
flirteés	fliɾt̪eˈes
floculá	flokuˈla
floculás	flokuˈlas
floculés	flokuˈles
flojeá	floxeˈa
flojeás	floxeˈas
flojeés	floxeˈes
flordelisá	floɾd̪eliˈsa
flordelisás	floɾd̪eliˈsas
flordelisés	floɾd̪eliˈses
floreá	floɾeˈa
floreás	floɾeˈas
florecé	floɾeˈse
florecés	floɾeˈses
floreés	floɾeˈes
floreteá	floɾet̪eˈa
floreteás	floɾet̪eˈas
floreteés	floɾet̪eˈes
florezcás	floɾesˈkas
flotá	floˈt̪a
flotás	floˈt̪as
flotés	floˈt̪es
fluctuá	flukˈt̪wa
fluctuás	flukˈt̪was
fluctués	flukˈt̪wes
fluidificá	flwid̪ifiˈka
fluidificás	flwid̪ifiˈkas
fluidifiqués	flwid̪ifiˈkes
fluí	flwi
fluís	flwis
fluyás	fluˈʝas
focalicés	fokaliˈses
focalizá	fokaliˈsa
focalizás	fokaliˈsas
fogueá	fogeˈa
fogueás	fogeˈas
fogueés	fogeˈes
foliá	foliˈa
foliás	foliˈas
foliés	foˈljes
follá	foˈʝa
follás	foˈʝas
follés	foˈʝes
fomentá	fomenˈt̪a
fomentás	fomenˈt̪as
fomentés	fomenˈt̪es
fondeá	fond̪eˈa
fondeás	fond̪eˈas
fondeés	fond̪eˈes
forcejá	foɾseˈxa
forcejás	foɾseˈxas
forcejeá	foɾsexeˈa
forcejeás	foɾsexeˈas
forcejeés	foɾsexeˈes
forcejés	foɾseˈxes
forcés	foɾˈses
forestá	foɾesˈt̪a
forestás	foɾesˈt̪as
forestés	foɾesˈt̪es
forjá	foɾˈxa
forjás	foɾˈxas
forjés	foɾˈxes
formá	foɾˈma
formalicés	foɾmaliˈses
formalizá	foɾmaliˈsa
formalizás	foɾmaliˈsas
formás	foɾˈmas
formateá	foɾmat̪eˈa
formateás	foɾmat̪eˈas
formateés	foɾmat̪eˈes
formés	foɾˈmes
formulá	foɾmuˈla
formulás	foɾmuˈlas
formulés	foɾmuˈles
fornicá	foɾniˈka
fornicás	foɾniˈkas
forniqués	foɾniˈkes
forrá	foˈra
forrajeá	foraxeˈa
forrajeás	foraxeˈas
forrajeés	foraxeˈes
forrás	foˈras
forrés	foˈres
fortalecé	foɾt̪aleˈse
fortalecés	foɾt̪aleˈses
fortalezcás	foɾt̪alesˈkas
fortificá	foɾt̪ifiˈka
fortificás	foɾt̪ifiˈkas
fortifiqués	foɾt̪ifiˈkes
forzá	foɾˈsa
forzás	foɾˈsas
fosá	foˈsa
fosás	foˈsas
fosés	foˈses
fosfatá	fosfaˈt̪a
fosfatás	fosfaˈt̪as
fosfatés	fosfaˈt̪es
fosforecé	fosfoɾeˈse
fosforecés	fosfoɾeˈses
fosforescé	fosfoɾeˈse
fosforescés	fosfoɾeˈses
fosforezcás	fosfoɾesˈkas
fosforezcás	fosfoɾesˈkas
fosilicés	fosiliˈses
fosilizá	fosiliˈsa
fosilizás	fosiliˈsas
fotocopiá	fot̪okopiˈa
fotocopiás	fot̪okopiˈas
fotocopiés	fot̪okoˈpjes
fotograbá	fot̪ogɾaˈba
fotograbás	fot̪ogɾaˈbas
fotograbés	fot̪ogɾaˈbes
fotografiá	fot̪ogɾafiˈa
fotografiás	fot̪ogɾafiˈas
fotografiés	fot̪ogɾaˈfjes
fotolitografiá	fot̪olit̪ogɾafiˈa
fotolitografiás	fot̪olit̪ogɾafiˈas
fotolitografiés	fot̪olit̪ogɾaˈfjes
fracasá	fɾakaˈsa
fracasás	fɾakaˈsas
fracasés	fɾakaˈses
fraccioná	fɾaksjoˈna
fraccionás	fɾaksjoˈnas
fraccionés	fɾaksjoˈnes
fracturá	fɾakt̪uˈɾa
fracturás	fɾakt̪uˈɾas
fracturés	fɾakt̪uˈɾes
fragmentá	fɾagmenˈt̪a
fragmentás	fɾagmenˈt̪as
fragmentés	fɾagmenˈt̪es
fraguá	fɾaˈgwa
fraguás	fɾaˈgwas
fragüés	fɾaˈgwes
frangollá	fɾangoˈʝa
frangollás	fɾangoˈʝas
frangollés	fɾangoˈʝes
franjeá	fɾanxeˈa
franjeás	fɾanxeˈas
franjeés	fɾanxeˈes
franqueá	fɾankeˈa
franqueás	fɾankeˈas
franqueés	fɾankeˈes
fraseá	fɾaseˈa
fraseás	fɾaseˈas
fraseés	fɾaseˈes
fraternicés	fɾat̪eɾniˈses
fraternizá	fɾat̪eɾniˈsa
fraternizás	fɾat̪eɾniˈsas
frecés	fɾeˈses
frecuentá	fɾekwenˈt̪a
frecuentás	fɾekwenˈt̪as
frecuentés	fɾekwenˈt̪es
fregá	fɾeˈga
fregás	fɾeˈgas
fregoteá	fɾegot̪eˈa
fregoteás	fɾegot̪eˈas
fregoteés	fɾegot̪eˈes
fregués	fɾeˈges
frená	fɾeˈna
frenás	fɾeˈnas
frenés	fɾeˈnes
fresá	fɾeˈsa
fresás	fɾeˈsas
fresés	fɾeˈses
frezá	fɾeˈsa
frezás	fɾeˈsas
fricá	fɾiˈka
fricás	fɾiˈkas
friccioná	fɾiksjoˈna
friccionás	fɾiksjoˈnas
friccionés	fɾiksjoˈnes
friqués	fɾiˈkes
frisá	fɾiˈsa
frisás	fɾiˈsas
frisés	fɾiˈses
frivolicés	fɾiboliˈses
frivolizá	fɾiboliˈsa
frivolizás	fɾiboliˈsas
frotá	fɾoˈt̪a
frotás	fɾoˈt̪as
frotés	fɾoˈt̪es
fructificá	fɾukt̪ifiˈka
fructificás	fɾukt̪ifiˈkas
fructifiqués	fɾukt̪ifiˈkes
fruí	fɾwi
fruís	fɾwis
fruncí	fɾunˈsi
fruncís	fɾunˈsis
frunzás	fɾunˈsas
frustrá	fɾusˈt̪ɾa
frustrás	fɾusˈt̪ɾas
frustrés	fɾusˈt̪ɾes
fruyás	fɾuˈʝas
fucilá	fusiˈla
fucilás	fusiˈlas
fucilés	fusiˈles
fugá	fuˈga
