àbac	ˈaβək
dionisio	djoˈnisjo
dion	ˈdjon
dióscoro	ˈdjoskoɾo
dioses	ˈdjoses
di	ˈdi
diplan	diˈplan
diplodocus	dipluˈðɔkus
dipòsit	diˈpɔzit
diprom	diˈpɾom
diputació	diputəsiˈo
dir_campus	ˈdirˈkampus
dir_castillejos	ˈdirkastiˈʎexos
dir_claris	ˈdirˈklaɾis
dir_club_hispà	ˈdirˈklupisˈpa
dir_diagonal	ˈdirðiəɣuˈnal
direct_insite_corporation	diˈɾekinˈsajtkorpoˈɾejʃon
dire_dawa	ˈdirˈðaβə
dir_gràcia	ˈdirˈɣɾasiə
dir_maragall	ˈdirməɾəˈɣaʎ
dir_passatge_domingo	ˈdirpəˈsadʒəðuˈmiŋgu
dir_tarragona	ˈdirtərəˈɣonə
dir_tres_torres	ˈdirˈtɾɛsˈtorəs
diruve	diˈɾuβe
discabe	disˈkaβe
disc_incorporated	ˈdiskiŋkorpoˈɾejtət
disco_corporation	ˈdiskokorpoˈɾejʃon
discoteca_àfrica_monumental	diskuˈtɛkəˈafɾikəmunumənˈtal
discoteca_almodo_bar	diskuˈtɛkəlmuˈðɔβər
discoteca_antilla	diskuˈtɛkənˈtiʎə
discoteca_arena	diskuˈtɛkəˈɾɛnə
discoteca_àtic	diskuˈtɛkəˈatik
discoteca_barcelona_palace	diskuˈtɛkəβərsəˈlonəˈpaləs
discoteca_beep_beep	diskuˈtɛkəˈβibˈbip
discoteca_bella_bestia	diskuˈtɛkəˈβeʎəˈβɛstiə
discoteca_b-free	diskuˈtɛkəˈβiˈfɾi
discoteca_bikini	diskuˈtɛkəβiˈkini
discoteca_bio	diskuˈtɛkəˈβiu
discoteca_bóveda	diskuˈtɛkəˈβoβeða
discoteca_circus_maremàgnum	diskuˈtɛkəˈsirkuzməɾəˈmagnum
discoteca_club_danzatoria_marina_village	diskuˈtɛkəˈklubdənsəˈtɔɾiəməˈɾinəˈβiləʃ
discoteca_cocodrilo_club	diskuˈtɛkəkokoˈðɾiloˈklup
discoteca_costa_breve	diskuˈtɛkəˈkɔstəˈβɾeβe
discoteca_coyote_ugly	diskuˈtɛkəkoˈjoteˈaɣli
discoteca_feeling	diskuˈtɛkəˈfiliŋ
discoteca_fiesta_maremàgnum	diskuˈtɛkəˈfjestaməɾəˈmagnum
discoteca_fish_heron_city	diskuˈtɛkəˈfiʃeˈɾonˈsiti
discoteca_freak	diskuˈtɛkəˈfɾik
discoteca_freestyle	diskuˈtɛkəfɾisˈtajl
discoteca_get_back	diskuˈtɛkəˈɣɛdˈbak
discoteca_glamour	diskuˈtɛkəɣləˈmur
discoteca_guacara_taina	diskuˈtɛkəɣwaˈkaɾaˈtajnə
discoteca_guantanamera	diskuˈtɛkəɣwəntənəˈmeɾə
discoteca_karma	diskuˈtɛkəˈkarmə
discoteca_krym	diskuˈtɛkəˈkɾim
discoteca_la_lechuza	diskuˈtɛkələleˈʧuθa
discoteca_la_lluna	diskuˈtɛkələˈʎunə
discoteca_la_terraza	diskuˈtɛkələteˈraθa
discoteca_martin's	diskuˈtɛkəˈmartins
discoteca_max_fiesta_heron_city	diskuˈtɛkəˈmaksˈfjestaˈɾonˈsiti
discoteca_mephisto	diskuˈtɛkəmeˈfisto
discoteca_metro	diskuˈtɛkəˈmɛtɾu
discoteca_moviedisco	diskuˈtɛkəmoβiˈðisko
discoteca_music_box	diskuˈtɛkəˈmuzigˈbɔks
discoteca_nairobi	diskuˈtɛkənəjˈɾɔβi
discoteca_new_york	diskuˈtɛkəˈniuwˈjork
discoteca_nick	diskuˈtɛkəˈnik
discoteca_otto_zutz	diskuˈtɛkəˈotoˈzuʣ
discoteca_panini_port_olímpic	diskuˈtɛkəpəˈniniˈpɔrtuˈlimpik
discoteca_papachicco	diskuˈtɛkəpapaˈʧiko
discoteca_peach	diskuˈtɛkəˈpiʧ
discoteca_petit_club	diskuˈtɛkəpəˈtitˈklup
discoteca_quartier	diskuˈtɛkəkwərtiˈe
discoteca_republica	diskuˈtɛkərəˈpublikə
discoteca_saint_germaine	diskuˈtɛkəˈsanʒerˈmen
discoteca_salsa_nova	diskuˈtɛkəˈsalsəˈnɔβə
discoteca_salvation	diskuˈtɛkəsəlˈβɛʃon
discoteca_santa_locura	diskuˈtɛkəˈsantaloˈkuɾa
discoteca_savannah_music_club	diskuˈtɛkəsəˈβanəˈmiuwzikˈklup
discoteca_señor_lobo	diskuˈtɛkəseˈɲorˈloβo
discoteca_starwinds_maremàgnum	diskuˈtɛkəstərˈwinzməɾəˈmagnum
discoteca_step_by_step	diskuˈtɛkəsˈtɛbˈbajsˈtɛp
discoteca_syldavia	diskuˈtɛkəsilˈðaβiə
discoteca_trauma	diskuˈtɛkəˈtɾauwmə
discoteca_tunel	diskuˈtɛkəˈtunɛl
discoteca_up_&_down	diskuˈtɛkəˈapanˈdauwn
discoteca_virtual	diskuˈtɛkəβirtuˈal
discothèque_poble_espanyol	diskoˈtɛkˈpɔpləspəˈɲɔl
discovery_laboratories	disˈkɔβeɾiˈlaβoɾətɔɾis
disgo	ˈdizɣo
disipio	diˈsipjo
disney	ˈdiznej
distell_group	ˈdistelˈɣɾup
distema	disˈtemə
distribarna	distɾiˈβarnə
distribuciones_aparatos_electrodomésticos	distɾiβuˈθjonesapaˈɾatoselektɾoðoˈmestikos
distribuciones_médicas	distɾiβuˈθjonezˈmeðikas
distribuciones_pasteleras	distɾiβuˈθjonespasteˈleɾas
distribución_herramientas	distɾiβuˈθjoneraˈmjentas
distribucions_antoni_elies	distɾiβusiˈonzənˈtɔniəˈliəs
distribucions_esmar	distɾiβusiˈonzəzˈmar
distribuidora_maderera	distɾiβujˈðoɾamaðeˈɾeɾa
distribuidora_pino	distɾiβujˈðoɾaˈpino
distribuïdora_recanvis_accessoris_climatitzacions	distɾiβuiˈðoɾərəˈkambizəksəˈsɔɾisklimətidzəsiˈons
distribuidora_vallmar	distɾiβujˈðoɾaβəʎˈmar
districenter	distɾiˈsɛntər
ditech_communications_corporation	diˈtekomuniˈkejʃonskorpoˈɾejʃon
diumaro	djuˈmaɾo
diume	ˈdjume
diva	ˈdiβə
diverio	diˈβeɾjo
diversa_corporation	diˈβɛrsəkorpoˈɾejʃon
divers	diˈβɛrs
diversitat	diβərsiˈtat
divina	diˈβinə
divine	diˈβajn
divinidad	diβiniˈðað
divino	diˈβino
divi	ˈdiβi
división	diβiˈsjon
dixie_group	ˈdiksiˈɣɾup
dixons_group	ˈdiksonzˈɣɾup
djakarta	ʒəˈkartə
djibouti	ʤiˈβuti
dkv	ˈdeˈkaˈβe
dkv_joventut	ˈdeˈkaˈβeʒuβənˈtut
dmbb	ˈdeˈeməˈβeˈβe
dmr_consulting	ˈdeˈeməˈerəkonˈsultiŋ
dobalo	doˈβalo
doba	ˈdoβə
doble	ˈdobblə
docen	ˈduθen
docobo	doˈkoβo
doctor_aiguader	dukˈtoəjɣwəˈðe
doctor_andreu	dukˈtoənˈdɾeuw
doctor_august_pi_i_sunyer	dukˈtoəuwˈɣusˈpisuˈɲe
doctor_balari_i_jovany	dukˈtoβəˈlaɾiʒuˈβaɲ
doctor_bassols	dukˈtoβəˈsɔls
doctor_bové	dukˈtoβuˈβe
doctor_cadevall	dukˈtokəðəˈβaʎ
doctor_cararach_mauri	dukˈtokəɾəˈɾagˈmauwɾi
doctor_carulla	dukˈtokəˈɾuʎə
doctor_castelló	dukˈtokəstəˈʎo
doctor_coll	dukˈtoˈkɔʎ
doctor_comas_y_llaberia	dukˈtoˈkoməziʎəβəˈɾiə
doctor_daudi	dukˈtoˈðauwði
doctor_dou	dukˈtoˈðɔuw
doctor_farreras_i_valentí	dukˈtofəˈreɾəziβələnˈti
doctor_ferran	dukˈtofəˈran
doctor_ferrer_i_cajigal	dukˈtofəˈrejkəʒiˈɣal
doctor_fleming	dukˈtoˈflɛmiŋ
doctor_font_i_quer	dukˈtoˈfɔniˈkɛr
doctor_francesc_darder	dukˈtofɾənˈsɛzgdərˈðe
doctor_giné_i_partagàs	dukˈtoʒiˈnejpərtəˈɣas
doctor_gregorio_marañón	dukˈtoɣɾeˈɣoɾjomaɾaˈɲon
doctor_gregorio_marañó	dukˈtoɣɾeˈɣoɾjoməɾəˈɲo
doctor_ibáñez	dukˈtojˈβaɲeθ
doctor_ignasi_barraquer	dukˈtojgˈnaziβərəˈke
doctor_jaume_ferran	dukˈtoˈʒauwməfəˈran
doctor_joaquim_pou	dukˈtoʒuəˈkimˈpouw
doctor_joaquín_albarrán	dukˈtoxuaˈkinalβaˈran
doctor_letamendi	dukˈtoletaˈmendi
doctor_marañón	dukˈtomaɾaˈɲon
doctor_martí_i_julià	dukˈtomərˈtiʒuliˈa
doctor_modrego	dukˈtomuˈðɾɛɣu
doctor_niubo	dukˈtoˈniuwβu
doctor_nubiola_i_espinós	dukˈtonuβiˈɔləjəspiˈnos
doctor_pere_franquesa	dukˈtoˈpeɾəfɾəŋˈkɛzə
doctor_pi_i_molist	dukˈtoˈpimuˈlist
doctor_ramon_solanich	dukˈtorəˈmonsuləˈnik
doctor_ribas_i_perdigó	dukˈtoˈriβəzipərðiˈɣo
doctor_rizal	dukˈtoriˈzal
doctor_robert	dukˈtoruˈβɛrt
doctor_roig_i_raventós	dukˈtoˈrɔʤirəβənˈtos
doctor_roux	dukˈtoˈro
doctor_salvador_cardenal	dukˈtosəlβəˈðokərðəˈnal
doctor_samuel_hahnemann	dukˈtoˈsamuelˈxanemən
doctor_santponç	dukˈtosəmˈpons
doctors_dolsa	dukˈtozˈðolsə
doctor_serrat	dukˈtosəˈrat
doctors_trias_i_pujol	dukˈtosˈtɾiəzipuˈʒɔl
doctor_torent	dukˈtotuˈɾen
doctor_torres	dukˈtoˈtorəs
doctor_trueta	dukˈtotɾuˈɛtə
doctor_valls	dukˈtoˈβaʎs
doctor_zamenhof	dukˈtozəməˈnɔf
documentació_patrimoni_etnològic	dukuməntəsiˈopətɾiˈmɔniədnuˈlɔʒik
dodani	doˈðani
dodas	ˈdoðəs
dodo	ˈdoðo
dodot	doˈðot
doelia	doˈeljə
doga	ˈdoɣə
do_garrigues	ˈdeˈɔɣəˈriɣəs
dogc	ˈdɔk
dogi_international_fabrics	ˈdɔˈʒinterˈnaʃonəlˈfaβɾiks
dogon	ˈdoɣon
doha	ˈdoxa
dolanea	doləˈneə
dolara	duˈlaɾə
dolça_de_provença	ˈdolsəðəpɾuˈβɛnsə
dolca	ˈdolkə
doldi	ˈdolði
dole_food_corporation	ˈdolˈfutkorpoˈɾejʃon
dolid	doˈlið
dollar_general_corporation	ˈdɔlərˈʒeneɾəlkorpoˈɾejʃon
dollar_tree_stores	ˈdɔlərˈtɾiəsˈtoɾs
dollet	duˈʎɛt
dolmau	dulˈmaw
dolmen_de_la_cova_d'en_daina	ˈdɔlməndələˈkɔβəðənˈdajnə
dolo	ˈdolo
dolorcitas	dolorˈsitəs
dolorea	duluˈɾɛə
dolores	doˈloɾes
dolorita	doloˈɾitə
doloritas	doloˈɾitəs
dolors_aleu	duˈlozəˈlɛuw
dolors_monserdà	duˈlozmunsərˈða
dolors	duˈlos
doltra	ˈdoltɾə
dombon	ˈdombon
dom_bosco	ˈdomˈbɔsku
domec	doˈmek
domemech	domeˈmeʧ
domenche	doˈmenʧe
domenc	duˈmɛŋ
domènech_i_montaner	duˈmɛnəkimuntəˈne
domènech_roura	duˈmɛnəgˈrouwɾə
domènech	duˈmɛnək
domènec	duˈmɛnək
domeño	doˈmeɲo
domes	ˈdomes
domestos	doˈmestos
domezain	domeˈsajn
domiciano	domiˈsjano
domicio	doˈmisjo
domina	doˈminə
dominga	doˈmiŋgə
domingo_catalan_fondistas_club	doˈmiŋgokataˈlamfonˈdistasklup
domingot	dumiŋˈgɔt
domínguez_i_miralles	doˈmiŋgezimiˈɾaʎes
domínguez	doˈmiŋges
dominguis	doˈmiŋgis
dominica	dumiˈnikə
domínica	doˈminikə
dominici	domiˈniʧi
dominics	dumiˈniks
domininguez	dominiŋˈges
domini	doˈmini
dominique	domiˈnike
dominmolina	dumimmuˈlinə
domino	doˈmino
domitila	domiˈtilə
domo_ingenieros	ˈdomoinxeˈnjeɾos
donadello	donəˈðelo
doñail	doˈɲajl
donaldo	ðoˈnalðo
donaldson_corporation	ˈdonalsoŋkorpoˈɾejʃon
donaldson	ˈdonəlson
donalisa	donəˈlisə
donardo	doˈnarðo
doñas	ˈdoɲəs
dona	ˈdɔnə
donata	doˈnatə
donatela	donəˈtelə
donatelli	donəˈteʎi
donatello	donəˈtelo
donatila	donəˈtilə
donato	doˈnato
don_bosco	ˈdɔmˈbɔsku
don_carles	ˈdɔŋˈkarləs
doncell	dunˈseʎ
doncion	ˈdonsjon
donco	ˈdoŋko
doncos	ˈdoŋkos
donda	ˈdondə
donene	doˈnene
don_gimnàs	ˈdɔɲʒimˈnas
donia	ˈdonjə
donice	doˈnise
donilo	doˈnilo
don_limpio	ˈdonˈlimpjo
doño	ˈdoɲo
donosa	duˈnozə
donosos	doˈnosos
donotea	dunuˈteə
don_pelayo	ˈdompeˈlajo
don_piso	ˈdomˈpiso
don_quixot	ˈdɔŋkiˈʃɔt
don_simón	ˈdonsiˈmon
donut_corporación_española	ˈdonutkorpoɾaˈθjonespaˈɲola
donut_corporation	ˈdɔnutkorpoˈɾejʃon
donuts	ˈdɔnuʦ
doosan_corporation	ˈdusaŋkorpoˈɾejʃon
doosan_heavy_industries_&_construction	ˈduzaŋˈxɛβiinˈdustɾizaŋkonsˈtɾukʃon
do_penedès	ˈdeˈɔpənəˈðɛs
do	ˈdo
dopeso	doˈpeso
dopla	ˈdoplə
doprado	doˈpɾaðo
dorado	doˈɾaðo
doral_financial_corporation	ˈdɔɾəlfiˈnaɲʃəlkorpoˈɾejʃon
dorall	duˈɾaʎ
dora	ˈdoɾə
dorasdo	doˈɾasðo
dorban	ˈdorβən
dorcas	ˈdorkəs
dordad	dorˈðað
dordal	durˈðal
dordas	ˈdorðəs
dord	ˈdoɾð
dorel_industries	ˈdɔɾelinˈdustɾis
dorga	ˈdɔrɣə
dorian	duɾiˈan
doria	duˈɾiə
dorico	doˈɾiko
dorinda	doˈɾində
doris	ˈdoɾis
doritos	doˈɾitos
dormitori_de_sant_francesc	durmiˈtɔɾiðəˈsamfɾənˈsɛsk
dorotea_chopitea	doɾoˈteaʧopiˈtea
dorotea	doɾoˈteə
doroteo	doɾoˈteo
dorsa	ˈdorsə
dortas	ˈdortəs
dorve	ˈdorβe
dosaigües	duˈzajɣwəs
dosa	ˈdosə
dosaula	duˈzauwlə
dosdad	dozˈðað
dosda	ˈdozðə
dos_de_maig	ˈdozðəˈmaʧ
dosi	ˈdosi
dositeo	dosiˈteo
do_siurana	ˈdeˈosiuwˈɾanə
doson	ˈdoson
dosrius	dozˈriuws
dos	ˈdos
dosta	ˈdɔstə
dotest	ˈdotest
dotrem	doˈtɾem
dotres	ˈdotɾes
dotriu	duˈtɾiw
double_eagle_petroleum_company	ˈdaβəˈliɣəlpeˈtɾɔljumˈkompəni
doudi	ˈdowði
doudouh	ˈdowðow
douglas_holding	ˈdaɣləsˈxɔlðiŋ
douglas	ˈdaɣləs
dourado	dowˈɾaðo
douri	ˈdowɾi
douton	ˈdowton
doutres	ˈdowtɾes
dover	ˈdoβer
dover_corporation	ˈdoβerkorpoˈɾejʃon
dovili	doˈβili
dovi	ˈdɔβi
dow_chemical_corporation	ˈdauwˈkɛmikəlkorpoˈɾejʃon
dow_corning_corporation	ˈdauwˈkɔrniŋkorpoˈɾejʃon
dow_jones_&_corporation	ˈdauwˈʒonzaŋkorpoˈɾejʃon
doxa_consulting	ˈdoksakonˈsultiŋ
doya	ˈdojə
doyel	doˈjel
dozo	ˈdoso
dpac_technologies_corporation	ˈdeˈpaktegˈnoloʒiskorpoˈɾejʃon
dpl_incorporated	ˈdeˈpeˈeləiŋkorpoˈɾejtət
dqe_incorporated	ˈdeˈkuˈɛiŋkorpoˈɾejtət
dracma	ˈdɾagmə
drac	ˈdɾak
dragados	dɾaˈɣaðos
dragoco	dɾaˈɣɔko
dragones	dɾəˈɣones
dragó	dɾəˈɣo
draguita	dɾəˈɣitə
drambuie	ˈdɾambuj
drassana	dɾəˈsanə
drassanes	dɾəˈsanəs
draxis_health	ˈdɾaksisˈxɛlt
dream_gym	ˈdɾimˈʒim
dream_slot	ˈdɾiməzˈlɔt
dreon	ˈdɾeon
dresaire	dɾeˈsajɾe
drescher	dɾesˈʧeɾ
dresden	ˈdɾezðen
dress_barn	ˈdɾɛzˈβarn
drevet	dɾəˈβɛt
dreyer's_grand_ice_cream	ˈdɾɛjərzˈɣɾaˈnajsˈkɾim
drina	ˈdɾinə
drisi	ˈdɾisi
dris	ˈdɾis
droch	ˈdɾoʧ
droguet	dɾuˈɣɛt
dropez	dɾoˈpes
droste	ˈdɾoste
drot	ˈdɾɔt
drouin	ˈdɾogwin
drudis	ˈdɾuðis
drugstore	dɾəksˈtor
druguet	dɾuˈɣɛt
drunis	ˈdɾunis
drusila	dɾuˈsilə
dsg_international_limited	ˈdeˈesəˈʒeinterˈnaʃonəlˈlimitet
dsp_group_incorporated	ˈdeˈesəˈpeˈgɾupiŋkorpoˈɾejtət
ds_smith	ˈdeˈesəəzˈmit
d	ˈde
dst_systems_incorporated	ˈdeˈesəˈteˈsistəmziŋkorpoˈɾejtət
dsw	ˈdeˈesəˈβeˈðoplə
dte_energy_corporation	ˈdeˈteˈɛˈenerʒikorpoˈɾejʃon
dt_industries_incorporated	ˈdeˈteinˈdustɾiziŋkorpoˈɾejtət
duacastella	dwəkəsˈtellə
duacastilla	dwəkəsˈtiʎə
duaiguez	duəjˈɣes
dualde	ˈdwalðe
dualdo	ˈðwalðo
duana	duˈanə
duard	ˈdwaɾð
duarte	ˈdwarte
duartez	dwərˈtes
duatin	ˈdwatin
dubai	duˈβaj
dubau	duˈβauw
dubbing_films	ˈduβiŋˈfilms
dube	ˈduβe
duble	ˈduβle
dublín	dubˈblin
dubon	ˈduβon
dubra	ˈduβɾə
dubrull	duˈβɾuʎ
dubrul	duˈβɾul
dubte	ˈduptə
ducado	duˈkaðo
ducados	duˈkaðos
ducamp	duˈkam
ducans	duˈkans
ducasa	duˈkasə
ducasi	duˈkasi
ducat	duˈkat
duc_de_la_victòria	ˈdugdələβikˈtɔɾiə
duc_de_medinaceli	ˈdugdəməðinəˈsɛli
duc_de_rivas	ˈdugdəˈriβəs
ducros	ˈdukɾos
dude	ˈduðe
dudón	duˈðon
dudous	ˈduðows
dueca	duˈɛkə
duedra	duˈeðɾə
duendia	ˈdwendjə
duer	duˈe
duesaigües	duəˈzajɣwəs
duesa	ˈdwesə
duesca	ˈdweskə
duet	duˈɛt
dufis	ˈdufis
dugan	duˈɣan
dugen	ˈduxen
dugue	ˈduɣə
duieguez	dujeˈɣes
duilio	ˈdwiljo
duixans	duˈʃans
dujardin	duˈxarðin
duke_energy_corporation	ˈdiuwˈkenerʒikorpoˈɾejʃon
duke_realty_corporation	ˈdiuwkˈriəltikorpoˈɾejʃon
dulado	duˈlaðo
dulas	ˈduləs
dulce	ˈdulse
dulcet	dulˈsɛt
dulcinea	dulsiˈneə
dullos	ˈduʎos
dulon	ˈdulon
dulsat	dulˈzat
dumail	duˈmajl
dume	ˈdume
dumón	duˈmon
duñach	duˈɲaʧ
duncan	ˈduŋkən
dunes	ˈdunes
dunstano	dunsˈtano
dunstan	ˈdunstən
dunton	ˈdunton
duoda	duˈɔðə
dupaso	duˈpaso
dupazo	duˈpaso
du	ˈdu
dupont_canada	duˈpoŋkənəˈða
dupont_performance_coatings	duˈpompərˈfɔrmənsˈkɔuwtiŋs
dupont_photomasks	duˈpomˈfotoˈmasks
duque	ˈduke
duquesa	duˈkesə
duqueso	duˈkeso
duquessa_d'orleans	duˈkɛsəðurleˈans
duracell	duɾaˈθel
durach	duˈɾak
durall	duˈɾaʎ
duram	duˈɾam
duran_i_bas	duˈɾaniˈβas
duran_i_borrell	duˈɾaniβuˈreʎ
durano	duˈɾano
durany	duˈɾaɲ
durar	duˈɾa
durau	duˈɾauw
durban	durˈβan
durbau	durˈβauw
durdal	durˈðal
durendez	duɾenˈdes
durnes	ˈdurnes
durn	ˈduɾn
durón	duˈɾon
durres	ˈdurəs
dursi	ˈdursi
durso	ˈdurso
dusa_pharmaceuticals_incorporated	ˈduzəfarmaˈsɛuwtikəlziŋkorpoˈɾejtət
dusaran	duzəˈɾan
duserm	duˈseɾm
dushanbe	duˈʃambe
dusio	ˈdusjo
dusol	duˈzɔl
dus	ˈdus
dusseldorf	ˈdusəlðorf
dustin	ˈdastin
dutra	ˈdutɾə
dutrem	duˈtɾem
dutren	duˈtɾɛn
dutu	ˈdutu
duverge	duˈβerxe
duvet	duˈβɛt
duvison	duˈβison
duvos	ˈduβos
duward	ˈduβar
duxans	duˈʃans
duyao	duˈjao
duzman	duzˈman
dxp_enterprises_incorporated	ˈdeˈiksˈpeˈenterpɾajzəziŋkorpoˈɾejtət
dyax_corporation	ˈdiakskorpoˈɾejʃon
dycom_industries	ˈdikominˈdustɾis
dylan	ˈdilən
dynamic_materials_corporation	diˈnamigməˈtiɾiəlskorpoˈɾejʃon
dynamic_oil_&_gas	diˈnamiˈkɔjlaŋˈɣas
dynamics_research_corporation	diˈnamigzriˈsɛrʧkorpoˈɾejʃon
dynatronics_corporation	dinəˈtɾɔnikskorpoˈɾejʃon
dyneff_españa	ˈdinefesˈpaɲa
dyonis	ˈdjonis
eadop	eaˈðop
eads	ˈɛəʦ
eae	eˈae
eagle_bancorp	ˈiɣəlˈβaŋkorp
eagle	ˈiɣəl
eagle_supply_group	ˈiɣəlsuˈplajˈɣɾup
eaja	eˈaʒə
eap	eˈap
ear	ˈɛər
earo	eˈaɾo
earthlink	ˈɛrθliŋk
earth_policy_institute	ˈɛrθˈpɔlisiˈinstitiuwt
earthshell_corporation	ˈɛrθˈʃɛʎkorpoˈɾejʃon
easter_elchies_house	ˈistəˈɾɛlʧizˈxauws
easter_island	ˈistəˈɾizlən
eastern_asia_technology	ˈistərˈnaziətegˈnoloʒi
eastern_virginia_bankshares	ˈistərmbirˈʒiniəˈβaŋkʃɛrs
east_japan_railway_corporation	ˈizdʒəˈpanrɛjlˈwɛjkorpoˈɾejʃon
eastman_chemical_corporation	ˈizdməɲˈkɛmikəlkorpoˈɾejʃon
eastman_kodak_corporation	ˈizdməŋˈkɔðəkkorpoˈɾejʃon
east	ˈisð
east_west_bancorp	ˈizdˈwezdˈβaŋkorp
easyjet	ˈiziˈʒɛt
easylink_services_corporation	iziˈliŋkˈsɛrβisəskorpoˈɾejʃon
eateries	ˈitəɾis
eaton_corporation	ˈitoŋkorpoˈɾejʃon
eaton	ˈiton
eaton_vance_corporation	ˈitomˈbanskorpoˈɾejʃon
ebañez	eβəˈɲes
ebaning	ˈɛβəniŋ
ebara_corporation	eˈβaɾakorpoˈɾejʃon
ebay	eˈβaj
ebenx	ˈɛˈβɛŋks
ebe	ˈeβe
eberardo	eβeˈɾarðo
eber	əˈβɛ
eberts	əˈβɛrs
ebeye	əˈβɛj
ebiscom	ˈeβiskom
ebole	eˈβole
éboli	ˈeβoli
ebol	eˈβol
ebona	əˈβonə
ebo	ˈeβo
ebosogo	eβoˈsoɣo
ebre	ˈeβɾə
ebro_puleva	ˈeβɾopuˈleβa
eca	ˈɛkə
eca	ˈeka
eca_manutention	ˈɛkamanuˈtenʃon
ecb_bancorp	ˈɛˈseˈβeˈβaŋkorp
ecequiel	eseˈkjel
ecer	əˈse
eceta	eˈsetə
echabe	eˈʧaβe
echamendi	eʧəˈmendi
echaondo	eʧəˈondo
echapare	eʧəˈpaɾe
echegaray	eʧeɣaˈɾaj
echelon_corporation	ˈeʧeloŋkorpoˈɾejʃon
echepares	eʧeˈpaɾes
echeparez	eʧepəˈɾes
echevaria	eʧeˈβaɾjə
echevere	eʧeˈβeɾe
echo_bay_mines	ˈeʧoˈβajˈmajns
echostar_communications_corporation	ekosˈtarkomuniˈkejʃonskorpoˈɾejʃon
ecio	ˈesjo
eci_telecom_limitated	ˈɛsiˈtelekomlimiˈtejtət
eclipsys_corporation	eˈklipsiskorpoˈɾejʃon
ecliptic_enterprises_corporation	eˈkliptiˈkenterpɾajzəskorpoˈɾejʃon
ecofin	ekoˈfin
ecolab	ekoˈlap
econatur	ˈekonaˈtur
eco	ˈeko
ecs_holdings_limitated	ˈeˈseˈesəˈxɔlðiŋzlimiˈtejtət
ectel_limitated	ˈektellimiˈtejtət
ecua	ˈekwə
ecuentra	eˈkwentɾə
ecuredo	ekuˈɾeðo
eda	ˈeðə
edap_tms	ˈeðapˈteˈeməˈesə
edar	ˈɛðər
edb_business_partner	ˈɛˈðeˈβeˈβiznəsˈparnər
ede	ˈeðe
ed_editors	ˈɛˈðeəðiˈtos
edelberto	eðelˈβerto
edelbrock_corporation	ˈɛðəlˈβɾɔkkorpoˈɾejʃon
edelia	eˈðeljə
edelio	eˈðeljo
edelira	eðeˈliɾə
edelma	eˈðelmə
edelmar	əðəlˈmar
edelmira	eðelˈmiɾə
edelmiro	eðelˈmiɾo
eden_bioscience_corporation	eˈðembioˈsajənskorpoˈɾejʃon
eden_inmuebles	eˈðenimmuˈebles
edenor	eðeˈnor
edén	eˈðen
edesio	eˈðesjo
edesur	eðeˈsur
edgard	ˈeðɣəɾð
edgar_online_incorporated	ˈɛdgəɾonˈlajniŋkorpoˈɾejˈtat
edgar	ˈɛdgər
edgars_consolidated_stores	ˈɛdgərskonsoliˈðejtətəsˈtoɾs
edgewater_technology	ˈɛʧˈwotərtegˈnoloʒi
ediciones_deportivas_catalanas	eðiˈθjonezðeporˈtiβaskataˈlanas
ediciones_diseño	eðiˈθjonezðiseɲo
ediciones_nauta_crédito	eðiˈθjonezˈnauwtaˈkɾeðito
ediciones_testa	eðiˈθjonesˈtesta
ediciones_urano	eðiˈθjonesuˈɾano
edicions_eni	əðisiˈonˈzɛni
edicions_proa	əðisiˈonsˈpɾoə
edicions_upc	əðisiˈonˈzuˈpeˈθe
edificio_corcega	eðiˈfiθjoˈkorseɣa
edificis_sant_jordi	əðiˈfisisˈsaɲˈʒɔrði
edilia	eˈðiljə
edilio	eˈðiljo
edilla	eˈðiʎə
edilma	eˈðilmə
edimburg	əðimˈburk
edipo	eˈðipo
edison_international	ˈeðisoˈninterˈnaʃonəl
edison_schools	ˈeðisonəsˈkuls
edison	ˈeðison
edith_piaf	ˈɛðitpiˈaf
editorial_aranzadi	eðitoˈɾjalaɾaŋˈθaði
editorial_balmes	əðituɾiˈalˈβalmes
editorial_casals	əðituɾiˈalkəˈzals
editorial_ciss	əðituɾiˈalˈsis
editorial_claret	əðituɾiˈalkləˈɾɛt
editorial_crítica	əðituɾiˈalˈkɾitikə
editorial_cruïlla	əðituɾiˈalkɾuˈiʎə
editorial_el_mundo_deportivo	eðitoˈɾjaˈlelˈmundoðeporˈtiβo
editorial_gigamesh	əðituɾiˈalʒiɣəˈmɛʃ
editorial_gustavo_gili	eðitoɾiˈalɣusˈtaβoˈxili
editorial_hispano_europea	eðitoˈɾjalisˈpanoeuwɾoˈpea
editorial_juris	əðituɾiˈalˈʒuɾis
editorial_millà	əðituɾiˈalmiˈʎa
editorial_miquel_salvatella	əðituɾiˈalmiˈkɛlsəlβəˈteʎə
editorial_planeta	əðituɾiˈalpləˈnɛtə
editorial_pòrtic	əðituɾiˈalˈpɔrtik
editorial_recoletos	eðitoˈɾjalrekoˈletos
editorial_savia_editores	eðitoˈɾjalˈsaβjaeðiˈtoɾes
editorial_urano	eðitoˈɾjaluˈɾano
edit	əˈðit
edmonton	edˈmonton
edmundo	eðˈmundo
edmund	ˈeðmun
edna	ˈednə
