#name Spanish
#lang spa
abad	aˈβað
ortográfico	oɾtoˈɣɾafiko
ortográficos	oɾtoˈɣɾafikos
ortopedia	oɾtoˈpeðja
ortopédico	oɾtoˈpeðiko
ortópteros	oɾˈtopteɾos
oruga	oˈɾuɣa
orujo	oˈɾuxo
oryx	ˈoɾiɣs
os	ˈos
osa	ˈosa
osaba	oˈsaβa
osada	oˈsaða
osadía	osaˈðia
osado	oˈsaðo
osados	oˈsaðos
osara	oˈsaɾa
osas	ˈosas
osasunista	osasuˈnista
osasunistas	osasuˈnistas
oscarizada	oskaɾiˈθaða
oscarizado	oskaɾiˈθaðo
oscarizados	oskaɾiˈθaðos
oscense	osˈθense
oscila	osˈθila
oscilación	osθilaˈθjon
oscilaciones	osθilaˈθjones
oscilado	osθiˈlaðo
oscilan	osˈθilan
oscilar	osθiˈlaɾ
oscilará	osθilaˈɾa
osciló	osθiˈlo
oscura	osˈkuɾa
oscurantismo	oskuɾanˈtizmo
oscurantista	oskuɾanˈtista
oscuras	osˈkuɾas
oscurecen	oskuˈɾeθen
oscurecido	oskuɾeˈθiðo
oscuridad	oskuɾiˈðað
oscuro	osˈkuɾo
oscuros	osˈkuɾos
ose	ˈose
o_sea	oˈsea
ósea	ˈosea
óseos	ˈoseos
oso	ˈoso
osos	ˈosos
osos_hormigueros	ˈososoɾmiˈɣeɾos
ostensible	ostenˈsiβle
ostensiblemente	ostenˈsiβleˈmente
ostenta	osˈtenta
ostentaba	ostenˈtaβa
ostentación	ostentaˈθjon
ostentado	ostenˈtaðo
ostentan	osˈtentan
ostentar	ostenˈtaɾ
ostentó	ostenˈto
osteoartritis	osteoaɾˈtɾitis
osteopatía	osteopaˈtia
osteoporosis	osteopoˈɾosis
ostia	ˈostja
ostias	ˈostjas
ostracismo	ostɾaˈθizmo
ostras	ˈostɾas
osuna	oˈsuna
oteando	oteˈando
otero	oˈteɾo
otitis	oˈtitis
oto	ˈoto
otoñal	otoˈɲal
otoñales	otoˈɲales
otoño	oˈtoɲo
otoño-invierno	otoɲoimˈbjeɾno
otorga	oˈtoɾɣa
otorgaba	otoɾˈɣaβa
otorgaban	otoɾˈɣaβan
otorgada	otoɾˈɣaða
otorgadas	otoɾˈɣaðas
otorgado	otoɾˈɣaðo
otorgados	otoɾˈɣaðos
otorgamiento	otoɾɣaˈmjento
otorgan	oˈtoɾɣan
otorgando	otoɾˈɣando
otorgar	otoɾˈɣaɾ
otorgara	otoɾˈɣaɾa
otorgará	otoɾɣaˈɾa
otorgarle	otoɾˈɣaɾle
otorgaron	otoɾˈɣaɾon
otorgas	oˈtoɾɣas
otorgo	oˈtoɾɣo
otorgó	otoɾˈɣo
otorgue	oˈtoɾɣe
otorguen	oˈtoɾɣen
otoscopio	otosˈkopjo
otra	ˈotɾa
otras	ˈotɾas
otro	ˈotɾo
otrora	oˈtɾoɾa
otros	ˈotɾos
otrosí	otɾoˈsi
out	ˈawð
outsourcing	owðˈsowɾθin
ovación	oβaˈθjon
ovacionada	oβaθjoˈnaða
ovacionado	oβaθjoˈnaðo
ovaciones	oβaˈθjones
ovacionó	oβaθjoˈno
oval	oˈβal
ovalada	oβaˈlaða
óvalo	ˈoβalo
ovario	oˈβaɾjo
ovarios	oˈβaɾjos
oveja	oˈβexa
ovejas	oˈβexas
ovejillas	oβeˈxiʎas
ovejita	oβeˈxita
ovejitas	oβeˈxitas
over	ˈowβeɾ
overbooking	oβeɾβoˈokin
ovetense	oβeˈtense
ovetenses	oβeˈtenses
oviedista	oβjeˈðista
ovillo	oˈβiʎo
ovino	oˈβino
ovni	ˈoβni
ovnis	ˈoβnis
ovulación	oβulaˈθjon
ovulo	oˈβulo
óvulo	ˈoβulo
óvulos	ˈoβulos
oxidado	oɣsiˈðaðo
óxido	ˈoɣsiðo
oxigenada	oɣsixeˈnaða
oxigeno	oɣsiˈxeno
oxígeno	oɣˈsixeno
oye	ˈoʤe
oyen	ˈoʤen
oyendo	oˈʤendo
oyente	oˈʤente
oyentes	oˈʤentes
oyera	oˈʤeɾa
oyeron	oˈʤeɾon
oyes	ˈoʤes
oyó	oˈʤo
ozono	oˈθono
p	ˈpe
pa	panaˈma
pabellón	paβeˈʎon
pabellones	paβeˈʎones
pablo	ˈpaβlo
pábulo	ˈpaβulo
paca	ˈpaka
pacense	paˈθense
paces	ˈpaθes
pachanga	paˈʧaŋɡa
pacharán	paʧaˈɾan
pachón	paˈʧon
paciencia	paˈθjenθja
paciente	paˈθjente
pacientemente	paˈθjenteˈmente
pacientes	paˈθjentes
pacifica	paθiˈfika
pacífica	paˈθifika
pacificación	paθifikaˈθjon
pacificador	paθifikaˈðoɾ
pacificadores	paθifikaˈðoɾes
pacíficamente	paˈθifikaˈmente
pacificar	paθifiˈkaɾ
pacificas	paθiˈfikas
pacíficas	paˈθifikas
pacifico	paθiˈfiko
pacífico	paˈθifiko
pacíficos	paˈθifikos
pacifismo	paθiˈfizmo
pacifista	paθiˈfista
pacifistas	paθiˈfistas
pack	ˈpak
pacta	ˈpakta
pactada	pakˈtaða
pactadas	pakˈtaðas
pactado	pakˈtaðo
pactados	pakˈtaðos
pactan	ˈpaktan
pactando	pakˈtando
pactar	pakˈtaɾ
pactara	pakˈtaɾa
pactará	paktaˈɾa
pactaran	pakˈtaɾan
pactarán	paktaˈɾan
pactaría	paktaˈɾia
pactarían	paktaˈɾian
pactaron	pakˈtaɾon
pacte	ˈpakte
pacten	ˈpakten
pacto	ˈpakto
pactó	pakˈto
pactos	ˈpaktos
paddle	ˈpaðel
paddock	ˈpaðok
padece	paˈðeθe
padecemos	paðeˈθemos
padecen	paˈðeθen
padecer	paðeˈθeɾ
padeces	paˈðeθes
padecía	paðeˈθia
padecían	paðeˈθian
padecido	paðeˈθiðo
padeciendo	paðeˈθjendo
padecieron	paðeˈθjeɾon
padecimientos	paðeθiˈmjentos
padeció	paðeˈθjo
pádel	ˈpaðel
padezca	paˈðeθka
padezco	paˈðeθko
padilla	paˈðiʎa
padrastro	paˈðɾastɾo
padre	ˈpaðɾe
padrecito	paðɾeˈθito
padres	ˈpaðɾes
padrino	paˈðɾino
padrinos	paˈðɾinos
padrón	paˈðɾon
paella	paˈeʎa
paellas	paˈeʎas
pág.	ˈpaxina
paga	ˈpaɣa
pagaba	paˈɣaβa
pagaban	paˈɣaβan
pagabas	paˈɣaβas
pagad	paˈɣað
pagada	paˈɣaða
pagadas	paˈɣaðas
pagado	paˈɣaðo
pagador	paɣaˈðoɾ
pagados	paˈɣaðos
pagáis	paˈɣajs
pagamos	paˈɣamos
pagan	ˈpaɣan
pagana	paˈɣana
pagando	paˈɣando
pagándole	paˈɣandole
pagándoles	paˈɣandoles
pagándolo	paˈɣandolo
pagano	paˈɣano
paganos	paˈɣanos
pagar	paˈɣaɾ
pagara	paˈɣaɾa
pagará	paɣaˈɾa
pagaran	paˈɣaɾan
pagarán	paɣaˈɾan
pagarás	paɣaˈɾas
pagare	paˈɣaɾe
pagaré	paɣaˈɾe
pagaréis	paɣaˈɾejs
pagaremos	paɣaˈɾemos
pagarés	paɣaˈɾes
pagaría	paɣaˈɾia
pagaríamos	paɣaˈɾiamos
pagarían	paɣaˈɾian
pagarla	paˈɣaɾla
pagarlas	paˈɣaɾlas
pagarle	paˈɣaɾle
pagarles	paˈɣaɾles
pagarlo	paˈɣaɾlo
pagarlos	paˈɣaɾlos
pagarme	paˈɣaɾme
pagarnos	paˈɣaɾnos
pagaron	paˈɣaɾon
pagaros	paˈɣaɾos
pagarse	paˈɣaɾse
pagarte	paˈɣaɾte
pagas	ˈpaɣas
pagase	paˈɣase
pagasen	paˈɣasen
pagaste	paˈɣaste
pagina	paˈxina
página	ˈpaxina
paginador	paxinaˈðoɾ
paginar	paxiˈnaɾ
paginarías	paxinaˈɾias
paginas	paˈxinas
páginas	ˈpaxinas
pago	ˈpaɣo
pagó	paˈɣo
pagoda	paˈɣoða
pagodas	paˈɣoðas
pagos	ˈpaɣos
págs.	ˈpaxinas
pague	ˈpaɣe
pagué	paˈɣe
paguemos	paˈɣemos
paguen	ˈpaɣen
pagues	ˈpaɣes
pairo	ˈpajɾo
país	paˈis
paisaje	pajˈsaxe
paisajes	pajˈsaxes
paisajismo	pajsaˈxizmo
paisajista	pajsaˈxista
paisajistas	pajsaˈxistas
paisajística	pajsaˈxistika
paisajístico	pajsaˈxistiko
paisana	pajˈsana
paisanaje	pajsaˈnaxe
paisano	pajˈsano
paisanos	pajˈsanos
países	paˈises
paisito	pajˈsito
paja	ˈpaxa
pájara	ˈpaxaɾa
pajarita	paxaˈɾita
pajarito	paxaˈɾito
pajaritos	paxaˈɾitos
pájaro	ˈpaxaɾo
pájaros	ˈpaxaɾos
pajas	ˈpaxas
paje	ˈpaxe
pajero	paˈxeɾo
pajeros	paˈxeɾos
pajes	ˈpaxes
pajillas	paˈxiʎas
pajillero	paxiˈʎeɾo
pajita	paˈxita
pajitas	paˈxitas
pajo	ˈpaxo
pajolera	paxoˈleɾa
pak	pakisˈtan
pakistaní	pakistaˈni
pakistaníes	pakistaˈnies
pal	ˈpal
pala	ˈpala
palabra	paˈlaβɾa
palabras	paˈlaβɾas
palabrejas	palaˈβɾexas
palabrería	palaβɾeˈɾia
palabrita	palaˈβɾita
palabritas	palaˈβɾitas
palabro	paˈlaβɾo
palabrotas	palaˈβɾotas
palacete	palaˈθete
palacetes	palaˈθetes
palaciega	palaˈθjeɣa
palaciego	palaˈθjeɣo
palacio	paˈlaθjo
palacios	paˈlaθjos
paladar	palaˈðaɾ
paladares	palaˈðaɾes
paladear	palaðeˈaɾ
paladín	palaˈðin
paladines	palaˈðines
paladino	palaˈðino
palanca	paˈlaŋka
palas	ˈpalas
palatal	palaˈtal
palco	ˈpalko
palcos	ˈpalkos
palentina	palenˈtina
paleolítico	paleoˈlitiko
paleontología	paleontoloˈxia
paleontólogo	paleonˈtoloɣo
paleontólogos	paleonˈtoloɣos
palestina	palesˈtina
palestinas	palesˈtinas
palestino	palesˈtino
palestino-israelí	palestinoizraeˈli
palestinos	palesˈtinos
palestra	paˈlestɾa
paleta	paˈleta
paletada	paleˈtaða
paletas	paˈletas
paletillo	paleˈtiʎo
paletillos	paleˈtiʎos
paletito	paleˈtito
paleto	paˈleto
paletos	paˈletos
paliar	paˈljaɾ
paliativos	paljaˈtiβos
pálida	ˈpaliða
palidecer	paliðeˈθeɾ
pálido	ˈpaliðo
pálidos	ˈpaliðos
palillos	paˈliʎos
palíndromo	paˈlindɾomo
palistas	paˈlistas
palito	paˈlito
palitroques	paliˈtɾokes
paliza	paˈliθa
palizas	paˈliθas
palizón	paliˈθon
palm	ˈpalm
palma	ˈpalma
palmadas	palˈmaðas
palmadita	palmaˈðita
palmaditas	palmaˈðitas
palmar	palˈmaɾ
palmarés	palmaˈɾes
palmarla	palˈmaɾla
palmaron	palˈmaɾon
palmas	ˈpalmas
palme	ˈpalme
palmera	palˈmeɾa
palmeral	palmeˈɾal
palmeras	palˈmeɾas
palmero	palˈmeɾo
palmeros	palˈmeɾos
palmesana	palmeˈsana
palmito	palˈmito
palmitos	palˈmitos
palmo	ˈpalmo
palmó	palˈmo
palmos	ˈpalmos
palo	ˈpalo
paloma	paˈloma
palomas	paˈlomas
palomitas	paloˈmitas
palomo	paˈlomo
palop	paˈlop
palos	ˈpalos
palotes	paˈlotes
palpa	ˈpalpa
palpaba	palˈpaβa
palpable	palˈpaβle
palpables	palˈpaβles
palpación	palpaˈθjon
palpar	palˈpaɾ
palpita	palˈpita
palpitaciones	palpitaˈθjones
palpitante	palpiˈtante
pálpito	ˈpalpito
paludismo	paluˈðizmo
palurda	paˈluɾða
palurdo	paˈluɾðo
palurdos	paˈluɾðos
pamelas	paˈmelas
pampa	ˈpampa
pamplina	pamˈplina
pamplinas	pamˈplinas
pamplonés	pamploˈnes
pamplonica	pamploˈnika
pan	panaˈma
pana	ˈpana
panacea	panaˈθea
panadería	panaðeˈɾia
panadero	panaˈðeɾo
pañal	paˈɲal
pañales	paˈɲales
panameña	panaˈmeɲa
panameño	panaˈmeɲo
panameños	panaˈmeɲos
panamericana	panameɾiˈkana
pancarta	paŋˈkaɾta
pancartas	paŋˈkaɾtas
panceta	panˈθeta
pancho	ˈpanʧo
páncreas	ˈpaŋkɾeas
pancreatitis	paŋkɾeaˈtitis
panda	ˈpanda
pandas	ˈpandas
pandemia	panˈdemja
pandereta	pandeˈɾeta
pandilla	panˈdiʎa
pandillas	panˈdiʎas
panel	paˈnel
paneles	paˈneles
panelistas	paneˈlistas
panes	ˈpanes
paneuropea	panewɾoˈpea
paneuropeo	panewɾoˈpeo
panfletaria	pamfleˈtaɾja
panfleto	pamˈfleto
panfletos	pamˈfletos
paniaguados	panjaˈɣwaðos
pánica	ˈpanika
pánico	ˈpaniko
paño	ˈpaɲo
panocha	paˈnoʧa
panoli	paˈnoli
panolis	paˈnolis
panorama	panoˈɾama
panoramas	panoˈɾamas
panorámica	panoˈɾamika
panorámicas	panoˈɾamikas
panorámico	panoˈɾamiko
paños	ˈpaɲos
pañosa	paˈɲosa
pantalla	panˈtaʎa
pantallas	panˈtaʎas
pantalón	pantaˈlon
pantalones	pantaˈlones
pantano	panˈtano
pantanos	panˈtanos
pantanosas	pantaˈnosas
panteón	panteˈon
pantera	panˈteɾa
pantomima	pantoˈmima
pañuelito	paɲweˈlito
pañuelitos	paɲweˈlitos
pañuelo	paˈɲwelo
pañuelos	paˈɲwelos
panza	ˈpanθa
panzas	ˈpanθas
papa	ˈpapa
papá	paˈpa
papagayo	papaˈɣaʤo
papaíto	papaˈito
papal	paˈpal
papanatas	papaˈnatas
papanatismo	papanaˈtizmo
papá_noel	paˈpanoˈel
paparazzi	papaˈɾaðsi
papas	ˈpapas
papás	paˈpas
papaya	paˈpaʤa
papel	paˈpel
papeleo	papeˈleo
papeleos	papeˈleos
papelera	papeˈleɾa
papeleras	papeˈleɾas
papeles	paˈpeles
papeleta	papeˈleta
papeletas	papeˈletas
papel_higiénico	paˈpeliˈxjeniko
papelito	papeˈlito
papelitos	papeˈlitos
papelón	papeˈlon
papeo	paˈpeo
papi	ˈpapi
papilar	papiˈlaɾ
papilla	paˈpiʎa
papiloma	papiˈloma
papiro	paˈpiɾo
papiros	paˈpiɾos
papis	ˈpapis
papistas	paˈpistas
papo	ˈpapo
papuchi	paˈpuʧi
paquete	paˈkete
paquetería	paketeˈɾia
paquetes	paˈketes
paquetito	pakeˈtito
paquistaní	pakistaˈni
paquistaníes	pakistaˈnies
paquito	paˈkito
par	ˈpaɾ
para	ˈpaɾa
paraba	paˈɾaβa
paraban	paˈɾaβan
parabellum	paɾaβeˈʎum
parabienes	paɾaˈβjenes
parábola	paˈɾaβola
parabólicas	paɾaˈβolikas
parábolicas	paˈɾaβolikas
parabrisas	paɾaˈβɾisas
paracaídas	paɾakaˈiðas
paracaidista	paɾakajˈðista
paracaidistas	paɾakajˈðistas
paracas	paˈɾakas
paraclínicas	paɾaˈklinikas
para_colmo	paɾaˈkolmo
parad	paˈɾað
parada	paˈɾaða
paradas	paˈɾaðas
paradero	paɾaˈðeɾo
paradigma	paɾaˈðiɣma
paradigmas	paɾaˈðiɣmas
paradigmática	paɾaðiɣˈmatika
paradigmático	paɾaðiɣˈmatiko
paradisiaca	paɾaðiˈsjaka
paradisíaca	paɾaðiˈsiaka
paradisiacas	paɾaðiˈsjakas
paradisíacas	paɾaðiˈsiakas
paradisiaco	paɾaðiˈsjako
paradisíaco	paɾaðiˈsiako
paradisíacos	paɾaðiˈsiakos
parado	paˈɾaðo
paradoja	paɾaˈðoxa
paradojas	paɾaˈðoxas
paradójica	paɾaˈðoxika
paradójicamente	paɾaˈðoxikaˈmente
paradójico	paɾaˈðoxiko
parador	paɾaˈðoɾ
parados	paˈɾaðos
parafarmacia	paɾafaɾˈmaθja
parafernalia	paɾafeɾˈnalja
parafraseando	paɾafɾaseˈando
paráfrasis	paˈɾafɾasis
paraguas	paˈɾaɣwas
paraguay	paɾaˈɣwaj
paraguaya	paɾaˈɣwaʤa
paraguayo	paɾaˈɣwaʤo
paráis	paˈɾajs
paraíso	paɾaˈiso
paraísos	paɾaˈisos
paraje	paˈɾaxe
parajes	paˈɾaxes
paralela	paɾaˈlela
paralelamente	paɾaˈlelaˈmente
paralelas	paɾaˈlelas
paralelismo	paɾaleˈlizmo
paralelismos	paɾaleˈlizmos
paralelo	paɾaˈlelo
paralelos	paɾaˈlelos
paralice	paɾaˈliθe
paralímpica	paɾaˈlimpika
paralímpico	paɾaˈlimpiko
paralímpicos	paɾaˈlimpikos
parálisis	paˈɾalisis
paraliza	paɾaˈliθa
paralización	paɾaliθaˈθjon
paralizada	paɾaliˈθaða
paralizadas	paɾaliˈθaðas
paralizado	paɾaliˈθaðo
paralizados	paɾaliˈθaðos
paralizan	paɾaˈliθan
paralizando	paɾaliˈθando
paralizantes	paɾaliˈθantes
paralizar	paɾaliˈθaɾ
paralizaron	paɾaliˈθaɾon
paralizó	paɾaliˈθo
para_más_inri	paɾamaˈsinri
parámetro	paˈɾametɾo
parámetros	paˈɾametɾos
paramilitar	paɾamiliˈtaɾ
paramilitares	paɾamiliˈtaɾes
páramo	ˈpaɾamo
paramos	paˈɾamos
paran	ˈpaɾan
parando	paˈɾando
parangón	paɾaŋˈɡon
paraninfo	paɾaˈnimfo
paranoia	paɾaˈnoja
paranoias	paɾaˈnojas
paranoica	paɾaˈnojka
paranoicas	paɾaˈnojkas
paranoico	paɾaˈnojko
paranoicos	paɾaˈnojkos
paranoide	paɾaˈnojðe
paranormal	paɾanoɾˈmal
paranormales	paɾanoɾˈmales
paraos	paˈɾaos
parapente	paɾaˈpente
parapetado	paɾapeˈtaðo
parapeto	paɾaˈpeto
parapetó	paɾapeˈto
parapléjico	paɾaˈplexiko
parapléjicos	paɾaˈplexikos
para_que	ˈpaɾake
parar	paˈɾaɾ
parara	paˈɾaɾa
parará	paɾaˈɾa
pararan	paˈɾaɾan
pararán	paɾaˈɾan
para_rato	paɾaˈrato
pararé	paɾaˈɾe
pararemos	paɾaˈɾemos
pararían	paɾaˈɾian
pararías	paɾaˈɾias
pararla	paˈɾaɾla
pararle	paˈɾaɾle
pararles	paˈɾaɾles
pararlos	paˈɾaɾlos
pararme	paˈɾaɾme
pararnos	paˈɾaɾnos
pararon	paˈɾaɾon
pararse	paˈɾaɾse
pararte	paˈɾaɾte
paras	ˈpaɾas
parasitar	paɾasiˈtaɾ
parasitaria	paɾasiˈtaɾja
parásitas	paˈɾasitas
parasitismo	paɾasiˈtizmo
parásito	paˈɾasito
parasitos	paɾaˈsitos
parásitos	paˈɾasitos
parasol	paɾaˈsol
parca	ˈpaɾka
parce	ˈpaɾθe
parcela	paɾˈθela
parcelas	paɾˈθelas
parche	ˈpaɾʧe
parchear	paɾʧeˈaɾ
parches	ˈpaɾʧes
parchís	paɾˈʧis
parcial	paɾˈθjal
parciales	paɾˈθjales
parcialidad	paɾθjaliˈðað
parcialmente	paɾˈθjalˈmente
parco	ˈpaɾko
parda	ˈpaɾða
pardas	ˈpaɾðas
pardiez	paɾˈðjeθ
pardilla	paɾˈðiʎa
pardillo	paɾˈðiʎo
pardillos	paɾˈðiʎos
pardo	ˈpaɾðo
pardos	ˈpaɾðos
pare	ˈpaɾe
pareado	paɾeˈaðo
parece	paˈɾeθe
parecéis	paɾeˈθejs
parecemos	paɾeˈθemos
parecen	paˈɾeθen
parecer	paɾeˈθeɾ
parecerá	paɾeθeˈɾa
pareceres	paɾeˈθeɾes
parecería	paɾeθeˈɾia
parecerlo	paɾeˈθeɾlo
parecerme	paɾeˈθeɾme
parecernos	paɾeˈθeɾnos
parecerse	paɾeˈθeɾse
pareces	paˈɾeθes
parecía	paɾeˈθia
parecían	paɾeˈθian
parecida	paɾeˈθiða
parecidas	paɾeˈθiðas
parecido	paɾeˈθiðo
parecidos	paɾeˈθiðos
pareciendo	paɾeˈθjendo
pareciéndose	paɾeˈθjendose
pareciera	paɾeˈθjeɾa
parecieron	paɾeˈθjeɾon
pareciese	paɾeˈθjese
pareció	paɾeˈθjo
pared	paˈɾeð
paredes	paˈɾeðes
paredón	paɾeˈðon
pareja	paˈɾexa
parejas	paˈɾexas
parejita	paɾeˈxita
parejo	paˈɾexo
parejos	paˈɾexos
paremos	paˈɾemos
paren	ˈpaɾen
parentela	paɾenˈtela
parenteral	paɾenteˈɾal
parentesco	paɾenˈtesko
parentescos	paɾenˈteskos
paréntesis	paˈɾentesis
pareo	paˈɾeo
pareos	paˈɾeos
pares	ˈpaɾes
parezca	paˈɾeθka
parezcan	paˈɾeθkan
parezcas	paˈɾeθkas
parezco	paˈɾeθko
pargo	ˈpaɾɣo
paria	ˈpaɾja
parias	ˈpaɾjas
parida	paˈɾiða
paridad	paɾiˈðað
paridas	paˈɾiðas
parido	paˈɾiðo
paridos	paˈɾiðos
parienta	paˈɾjenta
pariente	paˈɾjente
parientes	paˈɾjentes
parieron	paˈɾjeɾon
pario	ˈpaɾjo
parió	paˈɾjo
paripé	paɾiˈpe
paripés	paɾiˈpes
parir	paˈɾiɾ
parís	paˈɾis
parisiense	paɾiˈsjense
parisina	paɾiˈsina
parisino	paɾiˈsino
parisinos	paɾiˈsinos
paritaria	paɾiˈtaɾja
parking	ˈpaɾkin
parla	ˈpaɾla
parlamentar	paɾlamenˈtaɾ
parlamentaria	paɾlamenˈtaɾja
parlamentarias	paɾlamenˈtaɾjas
parlamentario	paɾlamenˈtaɾjo
parlamentarios	paɾlamenˈtaɾjos
parlamentarismo	paɾlamentaˈɾizmo
parlamento	paɾlaˈmento
parlamentos	paɾlaˈmentos
parlar	paɾˈlaɾ
parlotean	paɾloˈtean
paro	ˈpaɾo
paró	paˈɾo
parodia	paˈɾoðja
parodian	paˈɾoðjan
paródica	paˈɾoðika
parole	paˈɾole
parón	paˈɾon
parones	paˈɾones
paros	ˈpaɾos
parotiditis	paɾotiˈðitis
paroxismo	paɾoɣˈsizmo
parpadeo	paɾpaˈðeo
párpado	ˈpaɾpaðo
párpados	ˈpaɾpaðos
parque	ˈpaɾke
parqué	paɾˈke
parques	ˈpaɾkes
parqués	paɾˈkes
parquímetros	paɾˈkimetɾos
parra	ˈpara
parrafadas	paraˈfaðas
párrafo	ˈparafo
párrafos	ˈparafos
parricida	pariˈθiða
parrilla	paˈriʎa
parrillas	paˈriʎas
párroco	ˈparoko
parroquia	paˈrokja
parroquial	paroˈkjal
parroquianos	paroˈkjanos
parroquias	paˈrokjas
parsecs	ˈpaɾseɣs
parsimonia	paɾsiˈmonja
parta	ˈpaɾta
partan	ˈpaɾtan
parte	ˈpaɾte
parten	ˈpaɾten
partenaire	paɾteˈneɾ
partes	ˈpaɾtes
partía	paɾˈtia
partían	paɾˈtian
partición	paɾtiˈθjon
participa	paɾtiˈθipa
participaba	paɾtiθiˈpaβa
participaban	paɾtiθiˈpaβan
participación	paɾtiθipaˈθjon
participaciones	paɾtiθipaˈθjones
participada	paɾtiθiˈpaða
participadas	paɾtiθiˈpaðas
participado	paɾtiθiˈpaðo
participamos	paɾtiθiˈpamos
participan	paɾtiˈθipan
participando	paɾtiθiˈpando
participante	paɾtiθiˈpante
participantes	paɾtiθiˈpantes
participar	paɾtiθiˈpaɾ
participara	paɾtiθiˈpaɾa
participará	paɾtiθipaˈɾa
participaran	paɾtiθiˈpaɾan
participarán	paɾtiθipaˈɾan
participaría	paɾtiθipaˈɾia
participarían	paɾtiθipaˈɾian
participaron	paɾtiθiˈpaɾon
participativa	paɾtiθipaˈtiβa
participativas	paɾtiθipaˈtiβas
participativo	paɾtiθipaˈtiβo
participe	paɾtiˈθipe
participé	paɾtiθiˈpe
partícipe	paɾˈtiθipe
participen	paɾtiˈθipen
participes	paɾtiˈθipes
partícipes	paɾˈtiθipes
participo	paɾtiˈθipo
participó	paɾtiθiˈpo
partícula	paɾˈtikula
particular	paɾtikuˈlaɾ
particulares	paɾtikuˈlaɾes
particularidad	paɾtikulaɾiˈðað
particularidades	paɾtikulaɾiˈðaðes
particularmente	paɾtikuˈlaɾˈmente
partículas	paɾˈtikulas
partida	paɾˈtiða
partidaria	paɾtiˈðaɾja
partidarias	paɾtiˈðaɾjas
partidario	paɾtiˈðaɾjo
partidarios	paɾtiˈðaɾjos
partidas	paɾˈtiðas
partidazo	paɾtiˈðaθo
partidillo	paɾtiˈðiʎo
partidismo	paɾtiˈðizmo
partidista	paɾtiˈðista
partidistas	paɾtiˈðistas
partido	paɾˈtiðo
partidocracia	paɾtiðoˈkɾaθja
partidos	paɾˈtiðos
partiendo	paɾˈtjendo
partieron	paɾˈtjeɾon
parties	ˈpaɾtis
partimos	paɾˈtimos
partió	paɾˈtjo
partir	paɾˈtiɾ
partirá	paɾtiˈɾa
partirán	paɾtiˈɾan
partirle	paɾˈtiɾle
partirse	paɾˈtiɾse
partirte	paɾˈtiɾte
partisano	paɾtiˈsano
partisanos	paɾtiˈsanos
partitocracia	paɾtitoˈkɾaθja
partitura	paɾtiˈtuɾa
partituras	paɾtiˈtuɾas
parto	ˈpaɾto
partos	ˈpaɾtos
party	ˈpaɾti
parvulario	paɾβuˈlaɾjo
pasa	ˈpasa
pasaba	paˈsaβa
pasábamos	paˈsaβamos
pasaban	paˈsaβan
pasacalles	pasaˈkaʎes
pasada	paˈsaða
pasadas	paˈsaðas
pasadita	pasaˈðita
pasadizo	pasaˈðiθo
pasadizos	pasaˈðiθos
pasado	paˈsaðo
pasado_mañana	paˈsaðomaˈɲana
pasador	pasaˈðoɾ
pasados	paˈsaðos
pasáis	paˈsajs
pasaje	paˈsaxe
pasajera	pasaˈxeɾa
pasajero	pasaˈxeɾo
pasajeros	pasaˈxeɾos
pasajes	paˈsaxes
pásale	ˈpasale
pásame	ˈpasame
pasamontañas	pasamonˈtaɲas
pasamos	paˈsamos
pasan	ˈpasan
pasando	paˈsando
pasándose	paˈsandose
pasantes	paˈsantes
pasaporte	pasaˈpoɾte
pasaportes	pasaˈpoɾtes
pasar	paˈsaɾ
pasara	paˈsaɾa
pasará	pasaˈɾa
pasaran	paˈsaɾan
pasarán	pasaˈɾan
pasaras	paˈsaɾas
pasarás	pasaˈɾas
pasaré	pasaˈɾe
pasareis	paˈsaɾejs
pasarela	pasaˈɾela
pasarelas	pasaˈɾelas
pasaremos	pasaˈɾemos
pasaría	pasaˈɾia
pasaríamos	pasaˈɾiamos
pasarían	pasaˈɾian
pasarías	pasaˈɾias
pasarlas	paˈsaɾlas
pasarle	paˈsaɾle
pasarles	paˈsaɾles
pasarlo	paˈsaɾlo
pasarlos	paˈsaɾlos
pasarme	paˈsaɾme
pasarnos	paˈsaɾnos
pasaron	paˈsaɾon
pasaros	paˈsaɾos
pasarse	paˈsaɾse
pasárselo	paˈsaɾselo
pasarte	paˈsaɾte
pasas	ˈpasas
pasase	paˈsase
pasasen	paˈsasen
pasases	paˈsases
pasaste	paˈsaste
pasasteis	paˈsastejs
pásate	ˈpasate
pasatiempo	pasaˈtjempo
pasatiempos	pasaˈtjempos
pascal	pasˈkal
pascua	ˈpaskwa
pascuales	pasˈkwales
pascuas	ˈpaskwas
pase	ˈpase
pasé	paˈse
pasea	paˈsea
paseaba	paseˈaβa
paseaban	paseˈaβan
paseado	paseˈaðo
pasean	paˈsean
paseando	paseˈando
paseándose	paseˈandose
paseantes	paseˈantes
pasear	paseˈaɾ
pasearemos	paseaˈɾemos
pasearme	paseˈaɾme
pasearon	paseˈaɾon
pasearse	paseˈaɾse
paseas	paˈseas
pasee	paˈsee
paseen	paˈseen
paseíllo	paseˈiʎo
paseito	paˈsejto
paseíto	paseˈito
pasemos	paˈsemos
pasen	ˈpasen
paseo	paˈseo
paseó	paseˈo
paseos	paˈseos
pases	ˈpases
pasillo	paˈsiʎo
pasillos	paˈsiʎos
