A	ʔaː
einsamster	ʔaɪnzaːmstəʀ
einsamstes	ʔaɪnzaːmstəs
einschicke	ʔaɪnʃɪkə
einschicken	ʔaɪnʃɪkən
einschickend	ʔaɪnʃɪkənt
einschickest	ʔaɪnʃɪkəst
einschicket	ʔaɪnʃɪkət
einschickst	ʔaɪnʃɪkst
einschickt	ʔaɪnʃɪkt
einschickte	ʔaɪnʃɪktə
einschickten	ʔaɪnʃɪktən
einschicktest	ʔaɪnʃɪktəst
einschicktet	ʔaɪnʃɪktət
einschließlich	ʔaɪnʃliːslɪç
einschläfernd	ʔaɪnʃlɛːfəʀnt
einschreibe	ʔaɪnʃʀaɪbə
einschreiben	ʔaɪnʃʀaɪbən
einschreibend	ʔaɪnʃʀaɪbənt
einschreibest	ʔaɪnʃʀaɪbəst
einschreibet	ʔaɪnʃʀaɪbət
einschreibst	ʔaɪnʃʀaɪpst
einschreibt	ʔaɪnʃʀaɪpt
einschätzen	ʔaɪnʃɛʦən
einsehe	ʔaɪnzeːə
einsehen	ʔaɪnzeːən
einsehend	ʔaɪnzeːənt
einsehest	ʔaɪnzeːəst
einsehet	ʔaɪnzeːət
einseht	ʔaɪnzeːt
einsenke	ʔaɪnzɛnkə
einsenken	ʔaɪnzɛnkən
einsenkend	ʔaɪnzɛnkənt
einsenkest	ʔaɪnzɛnkəst
einsenket	ʔaɪnzɛnkət
einsenkst	ʔaɪnzɛnkst
einsenkt	ʔaɪnzɛnkt
einsenkte	ʔaɪnzɛnktə
einsenkten	ʔaɪnzɛnktən
einsenktest	ʔaɪnzɛnktəst
einsenktet	ʔaɪnzɛnktət
einst	ʔaɪnst
einstmals	ʔaɪnstmaːls
einstosst	ʔaɪnʃtɔst
einstoßen	ʔaɪnʃtɔsən
einstrahlig	ʔaɪnʃtʀaːlɪç
einstweilen	ʔaɪnstvaɪlən
einsässigsein	ʔaɪnzɛsɪçˌzaɪn
eintausendste	ʔaɪnˈtaʊzənʦtə
einteige	ʔaɪntaɪgə
einteigen	ʔaɪntaɪgən
einteigend	ʔaɪntaɪgənt
einteigest	ʔaɪntaɪgəst
einteiget	ʔaɪntaɪgət
einteigst	ʔaɪntaɪkst
einteigt	ʔaɪntaɪçt
einteigte	ʔaɪntaɪçtə
einteigten	ʔaɪntaɪçtən
einteigtest	ʔaɪntaɪktəst
einteigtet	ʔaɪntaɪktət
eintrainiere	ʔaɪntʀɛˌniːʀə
eintrainieren	ʔaɪntʀɛˌniːʀən
eintrainierend	ʔaɪntʀɛˌniːʀənt
eintrainierest	ʔaɪntʀɛˌniːʀəst
eintrainieret	ʔaɪntʀɛˌniːʀət
eintrainierst	ʔaɪntʀɛˌniːʀst
eintrainiert	ʔaɪntʀɛˌniːʀt
eintrainierte	ʔaɪntʀɛˌniːʀtə
eintrainierten	ʔaɪntʀɛˌniːʀtən
eintrainiertest	ʔaɪntʀɛˌniːʀtəst
eintrainiertet	ʔaɪntʀɛˌniːʀtət
einträchtiglich	ʔaɪntʀɛçtɪklɪç
eintrüben	ʔaɪntʀyːbən
einundeinhalb	ʔaɪnʔʊntʔaɪnˌhalp
einvernehme	ʔaɪnfɛʀˌneːmə
einvernehmen	ʔaɪnfɛʀˌneːmən
einvernehmend	ʔaɪnfɛʀˌneːmənt
einvernehmest	ʔaɪnfɛʀˌneːməst
einvernehmet	ʔaɪnfɛʀˌneːmət
einvernehmt	ʔaɪnfɛʀˌneːmt
einverstanden	ʔaɪnfɛʀˌʃtandən
einverstandene	ʔaɪnfɛʀˌʃtandənə
einverstandenem	ʔaɪnfɛʀˌʃtandənəm
einverstandenen	ʔaɪnfɛʀˌʃtandənən
einverstandener	ʔaɪnfɛʀˌʃtandənəʀ
einverstandenes	ʔaɪnfɛʀˌʃtandənəs
einverstandensein	ʔaɪnfɛʀˌʃtandənˌzaɪn
einwillige	ʔaɪnvɪlɪgə
einwilligen	ʔaɪnvɪlɪgən
einwilligend	ʔaɪnvɪlɪgənt
einwilligest	ʔaɪnvɪlɪgəst
einwilliget	ʔaɪnvɪlɪgət
einwilligst	ʔaɪnvɪlɪkst
einwilligt	ʔaɪnvɪlɪçt
einwilligte	ʔaɪnvɪlɪçtə
einwilligten	ʔaɪnvɪlɪçtən
einwilligtest	ʔaɪnvɪlɪktəst
einwilligtet	ʔaɪnvɪlɪktət
einwärts	ʔaɪnvɛʀʦ
einwöchig	ʔaɪnvœçɪç
einwöchige	ʔaɪnvœçɪgə
einwöchigen	ʔaɪnvœçɪgən
einzeln	ʔaɪnʦəln
einzelne	ʔaɪnʦəlnə
einzelnem	ʔaɪnʦəlnəm
einzelnen	ʔaɪnʦəlnən
einzelner	ʔaɪnʦəlnəʀ
einzelnes	ʔaɪnʦəlnəs
einzigartig	ʔaɪnʦɪçˌʔaːʀtɪç
einzigartige	ʔaɪnʦɪçˌʔaːʀtɪgə
einzigartigem	ʔaɪnʦɪçˌʔaːʀtɪgəm
einzigartigen	ʔaɪnʦɪçˌʔaːʀtɪgən
einzigartiger	ʔaɪnʦɪçˌʔaːʀtɪgəʀ
einzigartiges	ʔaɪnʦɪçˌʔaːʀtɪgəs
einzugliedern	ʔaɪnʦuːˌgliːdəʀn
einzugreifen	ʔaɪnʦuːˌgʀaɪfən
eisenbereift	ʔaɪzənbəˌʀaɪft
eisenhaltig	ʔaɪzənˌhaltɪç
eisenhaltige	ʔaɪzənˌhaltɪgə
eisenhaltigem	ʔaɪzənˌhaltɪgəm
eisenhaltigen	ʔaɪzənˌhaltɪgən
eisenhaltiger	ʔaɪzənˌhaltɪgəʀ
eisenhaltiges	ʔaɪzənˌhaltɪgəs
eisenhart	ʔaɪzənˌhaʀt
eisenharte	ʔaɪzənˌhaʀtə
eisenhartem	ʔaɪzənˌhaʀtəm
eisenharten	ʔaɪzənˌhaʀtən
eisenharter	ʔaɪzənˌhaʀtəʀ
eisenhartes	ʔaɪzənˌhaʀtəs
eisern	ʔaɪzəʀn
eiserne	ʔaɪzəʀnə
eisernem	ʔaɪzəʀnəm
eisernen	ʔaɪzəʀnən
eiserner	ʔaɪzəʀnəʀ
eisernere	ʔaɪzəʀnəʀə
eisernerem	ʔaɪzəʀnəʀəm
eiserneren	ʔaɪzəʀnəʀən
eisernerer	ʔaɪzəʀnəʀəʀ
eiserneres	ʔaɪzəʀnəʀəs
eisernes	ʔaɪzəʀnəs
eisernst	ʔaɪzəʀnst
eisernste	ʔaɪzəʀnstə
eisernstem	ʔaɪzəʀnstəm
eisernsten	ʔaɪzəʀnstən
eisernster	ʔaɪzəʀnstəʀ
eisernstes	ʔaɪzəʀnstəs
eisgekühlt	ʔaɪsgəˌkyːlt
eiskalt	ˌʔaɪsˈkalt
eiskalte	ˌʔaɪsˈkaltə
eiskaltem	ˌʔaɪsˈkaltəm
eiskalten	ˌʔaɪsˈkaltən
eiskalter	ˌʔaɪsˈkaltəʀ
eiskaltes	ˌʔaɪsˈkaltəs
eiszeitlich	ʔaɪsʦaɪtlɪç
eiszeitliche	ʔaɪsʦaɪtlɪçə
eiszeitlichem	ʔaɪsʦaɪtlɪçəm
eiszeitlichen	ʔaɪsʦaɪtlɪçən
eiszeitlicher	ʔaɪsʦaɪtlɪçəʀ
eiszeitliches	ʔaɪsʦaɪtlɪçəs
eitel	ʔaɪtəl
eitelst	ʔaɪtəlst
eitelste	ʔaɪtəlstə
eitelstem	ʔaɪtəlstəm
eitelsten	ʔaɪtəlstən
eitelster	ʔaɪtəlstəʀ
eitelstes	ʔaɪtəlstəs
eitere	ʔaɪtəʀə
eitern	ʔaɪtəʀn
eiternd	ʔaɪtəʀnt
eiterst	ʔaɪtəʀst
eitert	ʔaɪtəʀt
eiterte	ʔaɪtəʀtə
eiterten	ʔaɪtəʀtən
eitertest	ʔaɪtəʀtəst
eitertet	ʔaɪtəʀtət
eitrig	ʔaɪtʀɪç
eitrige	ʔaɪtʀɪgə
eitrigem	ʔaɪtʀɪgəm
eitrigen	ʔaɪtʀɪgən
eitriger	ʔaɪtʀɪgəʀ
eitriges	ʔaɪtʀɪgəs
ejakuliere	ʔeːjakuˈliːʀə
ejakulieren	ʔeːjakuˈliːʀən
ejakulierend	ʔeːjakuˈliːʀənt
ejakulierest	ʔeːjakuˈliːʀəst
ejakulieret	ʔeːjakuˈliːʀət
ejakulierst	ʔeːjakuˈliːʀst
ejakuliert	ʔeːjakuˈliːʀt
ejakulierte	ʔeːjakuˈliːʀtə
ejakulierten	ʔeːjakuˈliːʀtən
ejakuliertest	ʔeːjakuˈliːʀtəst
ejakuliertet	ʔeːjakuˈliːʀtət
ejiziere	ʔejiˈʦiːʀə
ejizieren	ʔejiˈʦiːʀən
ejizierend	ʔejiˈʦiːʀənt
ejizierest	ʔejiˈʦiːʀəst
ejizieret	ʔejiˈʦiːʀət
ejizierst	ʔejiˈʦiːʀst
ejiziert	ʔejiˈʦiːʀt
ejizierte	ʔejiˈʦiːʀtə
ejizierten	ʔejiˈʦiːʀtən
ejiziertest	ʔejiˈʦiːʀtəst
ejiziertet	ʔejiˈʦiːʀtət
ekel	ʔeːkəl
ekele	ʔeːkələ
ekeln	ʔeːkəln
ekelnd	ʔeːkəlnt
ekelst	ʔeːkəlst
ekelste	ʔeːkəlstə
ekelstem	ʔeːkəlstəm
ekelsten	ʔeːkəlstən
ekelster	ʔeːkəlstəʀ
ekelstes	ʔeːkəlstəs
ekelt	ʔeːkəlt
ekelte	ʔeːkəltə
ekelten	ʔeːkəltən
ekeltest	ʔeːkəltəst
ekeltet	ʔeːkəltət
eklatant	ʔeklaˈtant
eklatante	ʔeklaˈtantə
eklatantem	ʔeklaˈtantəm
eklatanten	ʔeklaˈtantən
eklatanter	ʔeklaˈtantəʀ
eklatantere	ʔeklaˈtantəʀə
eklatanterem	ʔeklaˈtantəʀəm
eklatanteren	ʔeklaˈtantəʀən
eklatanterer	ʔeklaˈtantəʀəʀ
eklatanteres	ʔeklaˈtantəʀəs
eklatantes	ʔeklaˈtantəs
eklatantest	ʔeklaˈtantəst
eklatanteste	ʔeklaˈtantəstə
eklatantestem	ʔeklaˈtantəstəm
eklatantesten	ʔeklaˈtantəstən
eklatantester	ʔeklaˈtantəstəʀ
eklatantestes	ʔeklaˈtantəstəs
eklatantst	ʔeklaˈtanʦt
eklatantste	ʔeklaˈtanʦtə
eklatantstem	ʔeklaˈtanʦtəm
eklatantsten	ʔeklaˈtanʦtən
eklatantster	ʔeklaˈtanʦtəʀ
eklatantstes	ʔeklaˈtanʦtəs
ekle	ʔeːklə
eklektisch	ʔeˈklɛktɪʃ
eklektische	ʔeˈklɛktɪʃə
eklektischem	ʔeˈklɛktɪʃəm
eklektischen	ʔeˈklɛktɪʃən
eklektischer	ʔeˈklɛktɪʃəʀ
eklektisches	ʔeˈklɛktɪʃəs
eklig	ʔeːklɪç
eklige	ʔeːklɪgə
ekligem	ʔeːklɪgəm
ekligen	ʔeːklɪgən
ekliger	ʔeːklɪgəʀ
ekligere	ʔeːklɪgəʀə
ekligerem	ʔeːklɪgəʀəm
ekligeren	ʔeːklɪgəʀən
ekligerer	ʔeːklɪgəʀəʀ
ekligeres	ʔeːklɪgəʀəs
ekliges	ʔeːklɪgəs
ekligst	ʔeːklɪçst
ekligste	ʔeːklɪçstə
ekligstem	ʔeːklɪçstəm
ekligsten	ʔeːklɪçstən
ekligster	ʔeːklɪçstəʀ
ekligstes	ʔeːklɪçstəs
ekliptikal	ʔeklɪptiˈkaːl
ekliptisch	ʔeˈklɪptɪʃ
ekliptische	ʔeˈklɪptɪʃə
ekliptischem	ʔeˈklɪptɪʃəm
ekliptischen	ʔeˈklɪptɪʃən
ekliptischer	ʔeˈklɪptɪʃəʀ
ekliptisches	ʔeˈklɪptɪʃəs
ekrü	ʔeˈkʀyː
ekstatisch	ʔɛkˈstaːtɪʃ
ekstatische	ʔɛkˈstaːtɪʃə
ekstatischem	ʔɛkˈstaːtɪʃəm
ekstatischen	ʔɛkˈstaːtɪʃən
ekstatischer	ʔɛkˈstaːtɪʃəʀ
ekstatischere	ʔɛkˈstaːtɪʃəʀə
ekstatischerem	ʔɛkˈstaːtɪʃəʀəm
ekstatischeren	ʔɛkˈstaːtɪʃəʀən
ekstatischerer	ʔɛkˈstaːtɪʃəʀəʀ
ekstatischeres	ʔɛkˈstaːtɪʃəʀəs
ekstatisches	ʔɛkˈstaːtɪʃəs
ekstatischst	ʔɛkˈstaːtɪʃst
ekstatischste	ʔɛkˈstaːtɪʃstə
ekstatischstem	ʔɛkˈstaːtɪʃstəm
ekstatischsten	ʔɛkˈstaːtɪʃstən
ekstatischster	ʔɛkˈstaːtɪʃstəʀ
ekstatischstes	ʔɛkˈstaːtɪʃstəs
elaboriere	ʔelaboˈʀiːʀə
elaborieren	ʔelaboˈʀiːʀən
elaborierend	ʔelaboˈʀiːʀənt
elaborierest	ʔelaboˈʀiːʀəst
elaborieret	ʔelaboˈʀiːʀət
elaborierst	ʔelaboˈʀiːʀst
elaboriert	ʔelaboˈʀiːʀt
elaborierte	ʔelaboˈʀiːʀtə
elaborierten	ʔelaboˈʀiːʀtən
elaboriertest	ʔelaboˈʀiːʀtəst
elaboriertet	ʔelaboˈʀiːʀtət
elamitisch	ʔelaˈmiːtɪʃ
elastisch	ʔeˈlastɪʃ
elastische	ʔeˈlastɪʃə
elastischem	ʔeˈlastɪʃəm
elastischen	ʔeˈlastɪʃən
elastischer	ʔeˈlastɪʃəʀ
elastischere	ʔeˈlastɪʃəʀə
elastischerem	ʔeˈlastɪʃəʀəm
elastischeren	ʔeˈlastɪʃəʀən
elastischerer	ʔeˈlastɪʃəʀəʀ
elastischeres	ʔeˈlastɪʃəʀəs
elastisches	ʔeˈlastɪʃəs
elastischst	ʔeˈlastɪʃst
elastischste	ʔeˈlastɪʃstə
elastischstem	ʔeˈlastɪʃstəm
elastischsten	ʔeˈlastɪʃstən
elastischster	ʔeˈlastɪʃstəʀ
elastischstes	ʔeˈlastɪʃstəs
elbisch	ʔɛlbɪʃ
elbostfälisch	ˌʔɛlpʔɔstˈfɛːlɪʃ
elegant	ʔeleˈgant
elegante	ʔeleˈgantə
elegantem	ʔeleˈgantəm
eleganten	ʔeleˈgantən
eleganter	ʔeleˈgantəʀ
elegantere	ʔeleˈgantəʀə
eleganterem	ʔeleˈgantəʀəm
eleganteren	ʔeleˈgantəʀən
eleganterer	ʔeleˈgantəʀəʀ
eleganteres	ʔeleˈgantəʀəs
elegantes	ʔeleˈgantəs
elegantest	ʔeleˈgantəst
eleganteste	ʔeleˈgantəstə
elegantestem	ʔeleˈgantəstəm
elegantesten	ʔeleˈgantəstən
elegantester	ʔeleˈgantəstəʀ
elegantestes	ʔeleˈgantəstəs
elegantst	ʔeleˈganʦt
elegantste	ʔeleˈganʦtə
elegantstem	ʔeleˈganʦtəm
elegantsten	ʔeleˈganʦtən
elegantster	ʔeleˈganʦtəʀ
elegantstes	ʔeleˈganʦtəs
elegisch	ʔeˈleːgɪʃ
elegische	ʔeˈleːgɪʃə
elegischem	ʔeˈleːgɪʃəm
elegischen	ʔeˈleːgɪʃən
elegischer	ʔeˈleːgɪʃəʀ
elegischere	ʔeˈleːgɪʃəʀə
elegischerem	ʔeˈleːgɪʃəʀəm
elegischeren	ʔeˈleːgɪʃəʀən
elegischerer	ʔeˈleːgɪʃəʀəʀ
elegischeres	ʔeˈleːgɪʃəʀəs
elegisches	ʔeˈleːgɪʃəs
elegischst	ʔeˈleːgɪʃst
elegischste	ʔeˈleːgɪʃstə
elegischstem	ʔeˈleːgɪʃstəm
elegischsten	ʔeˈleːgɪʃstən
elegischster	ʔeˈleːgɪʃstəʀ
elegischstes	ʔeˈleːgɪʃstəs
elektiv	ʔelɛkˈtiːf
elektive	ʔelɛkˈtiːvə
elektivem	ʔelɛkˈtiːvəm
elektiven	ʔelɛkˈtiːvən
elektiver	ʔelɛkˈtiːvəʀ
elektives	ʔelɛkˈtiːvəs
elektrifiziere	ʔelɛktʀifiˈʦiːʀə
elektrifizieren	ʔelɛktʀifiˈʦiːʀən
elektrifizierend	ʔelɛktʀifiˈʦiːʀənt
elektrifizierest	ʔelɛktʀifiˈʦiːʀəst
elektrifizieret	ʔelɛktʀifiˈʦiːʀət
elektrifizierst	ʔelɛktʀifiˈʦiːʀst
elektrifiziert	ʔelɛktʀifiˈʦiːʀt
elektrifizierte	ʔelɛktʀifiˈʦiːʀtə
elektrifizierten	ʔelɛktʀifiˈʦiːʀtən
elektrifiziertest	ʔelɛktʀifiˈʦiːʀtəst
elektrifiziertet	ʔelɛktʀifiˈʦiːʀtət
elektrisch	ʔeˈlɛktʀɪʃ
elektrische	ʔeˈlɛktʀɪʃə
elektrischem	ʔeˈlɛktʀɪʃəm
elektrischen	ʔeˈlɛktʀɪʃən
elektrischer	ʔeˈlɛktʀɪʃəʀ
elektrisches	ʔeˈlɛktʀɪʃəs
elektrisiere	ʔelɛktʀiˈziːʀə
elektrisieren	ʔelɛktʀiˈziːʀən
elektrisierend	ʔelɛktʀiˈziːʀənt
elektrisierest	ʔelɛktʀiˈziːʀəst
elektrisieret	ʔelɛktʀiˈziːʀət
elektrisierst	ʔelɛktʀiˈziːʀst
elektrisiert	ʔelɛktʀiˈziːʀt
elektrisierte	ʔelɛktʀiˈziːʀtə
elektrisierten	ʔelɛktʀiˈziːʀtən
elektrisiertest	ʔelɛktʀiˈziːʀtəst
elektrisiertet	ʔelɛktʀiˈziːʀtət
elektro	ʔeˈlɛktʀoː
elektroakustisch	ʔeˈlɛktʀoʔaˌkʊstɪʃ
elektrodynamisch	ʔeˈlɛktʀodyˌnaːmɪʃ
elektrodynamische	ʔeˈlɛktʀodyˌnaːmɪʃə
elektrodynamischem	ʔeˈlɛktʀodyˌnaːmɪʃəm
elektrodynamischen	ʔeˈlɛktʀodyˌnaːmɪʃən
elektrodynamischer	ʔeˈlɛktʀodyˌnaːmɪʃəʀ
elektrodynamisches	ʔeˈlɛktʀodyˌnaːmɪʃəs
elektromagnetisch	ʔeˈlɛktʀomaˌgneːtɪʃ
elektromechanisch	ʔeˈlɛktʀomeˌçaːnɪʃ
elektronisch	ʔelɛkˈtʀoːnɪʃ
elektronische	ʔelɛkˈtʀoːnɪʃə
elektronischem	ʔeˈlɛktʀɔnɪʃəm
elektronischen	ʔeˈlɛktʀɔnɪʃən
elektronischer	ʔeˈlɛktʀɔnɪʃəʀ
elektronisches	ʔeˈlɛktʀɔnɪʃəs
elektronographisch	ʔeːlɛktʀonoˈgʀaːfɪʃ
elektrophob	ʔelɛktʀoˈfoːp
elektroschweißen	ʔeˈlɛktʀoʃvaɪsən
elektrostatisch	ʔeˈlɛktʀoˌʃtaːtɪʃ
elektrotechnisch	ʔeˈlɛktʀoˌtɛçnɪʃ
elektrotechnische	ʔeˈlɛktʀoˌtɛçnɪʃə
elektrotechnischem	ʔeˈlɛktʀoˌtɛçnɪʃəm
elektrotechnischen	ʔeˈlɛktʀoˌtɛçnɪʃən
elektrotechnischer	ʔeˈlɛktʀoˌtɛçnɪʃəʀ
elektrotechnisches	ʔeˈlɛktʀoˌtɛçnɪʃəs
elementar	ʔelemɛnˈtaːʀ
elementare	ʔelemɛnˈtaːʀə
elementarem	ʔelemɛnˈtaːʀəm
elementaren	ʔelemɛnˈtaːʀən
elementarer	ʔelemɛnˈtaːʀəʀ
elementarere	ʔelemɛnˈtaːʀəʀə
elementarerem	ʔelemɛnˈtaːʀəʀəm
elementareren	ʔelemɛnˈtaːʀəʀən
elementarerer	ʔelemɛnˈtaːʀəʀəʀ
elementareres	ʔelemɛnˈtaːʀəʀəs
elementares	ʔelemɛnˈtaːʀəs
elementarst	ʔelemɛnˈtaːʀst
elementarste	ʔelemɛnˈtaːʀstə
elementarstem	ʔelemɛnˈtaːʀstəm
elementarsten	ʔelemɛnˈtaːʀstən
elementarster	ʔelemɛnˈtaːʀstəʀ
elementarstes	ʔelemɛnˈtaːʀstəs
elend	ʔeːlɛnt
elende	ʔeːlɛndə
elendem	ʔeːlɛndəm
elenden	ʔeːlɛndən
elender	ʔeːlɛndəʀ
elendere	ʔeːlɛndəʀə
elenderem	ʔeːlɛndəʀəm
elenderen	ʔeːlɛndəʀən
elenderer	ʔeːlɛndəʀəʀ
elenderes	ʔeːlɛndəʀəs
elendes	ʔeːlɛndəs
elendest	ʔeːlɛntəst
elendeste	ʔeːlɛntəstə
elendestem	ʔeːlɛntəstəm
elendesten	ʔeːlɛntəstən
elendester	ʔeːlɛntəstəʀ
elendestes	ʔeːlɛntəstəs
elendig	ʔeːlɛndɪç
elendige	ʔeːlɛndɪgə
elendigem	ʔeːlɛndɪgəm
elendigen	ʔeːlɛndɪgən
elendiger	ʔeːlɛndɪgəʀ
elendigere	ʔeːlɛndɪgəʀə
elendigerem	ʔeːlɛndɪgəʀəm
elendigeren	ʔeːlɛndɪgəʀən
elendigerer	ʔeːlɛndɪgəʀəʀ
elendigeres	ʔeːlɛndɪgəʀəs
elendiges	ʔeːlɛndɪgəs
elendiglich	ʔeːlɛndɪklɪç
elendigliche	ʔeːlɛndɪçlɪçə
elendiglichem	ʔeːlɛndɪçlɪçəm
elendiglichen	ʔeːlɛndɪçlɪçən
elendiglicher	ʔeːlɛndɪçlɪçəʀ
elendiglichere	ʔeːlɛndɪklɪçəʀə
elendiglicherem	ʔeːlɛndɪklɪçəʀəm
elendiglicheren	ʔeːlɛndɪklɪçəʀən
elendiglicherer	ʔeːlɛndɪklɪçəʀəʀ
elendiglicheres	ʔeːlɛndɪklɪçəʀəs
elendigliches	ʔeːlɛndɪçlɪçəs
elendiglichst	ʔeːlɛndɪklɪçst
elendiglichste	ʔeːlɛndɪklɪçstə
elendiglichstem	ʔeːlɛndɪklɪçstəm
elendiglichsten	ʔeːlɛndɪklɪçstən
elendiglichster	ʔeːlɛndɪklɪçstəʀ
elendiglichstes	ʔeːlɛndɪklɪçstəs
elendigst	ʔeːlɛndɪçst
elendigste	ʔeːlɛndɪçstə
elendigstem	ʔeːlɛndɪçstəm
elendigsten	ʔeːlɛndɪçstən
elendigster	ʔeːlɛndɪçstəʀ
elendigstes	ʔeːlɛndɪçstəs
elendst	ʔeːlɛnʦt
elendste	ʔeːlɛnʦtə
elendstem	ʔeːlɛnʦtəm
elendsten	ʔeːlɛnʦtən
elendster	ʔeːlɛnʦtəʀ
elendstes	ʔeːlɛnʦtəs
elf	ʔɛlf
elfeinhalb	ʔɛlfʔaɪnˌhalp
elferlei	ʔɛlfəʀlaɪ
elffach	ʔɛlffax
elfte	ʔɛlftə
elftel	ʔɛlftəl
elfundeinhalb	ʔɛlfʔʊntʔaɪnˌhalp
elidieren	ʔeliˈdiːʀən
eliminieren	ʔelimiˈniːʀən
eliptisch	ʔeˈlɪptɪʃ
elitär	ʔeliˈtɛːʀ
elitäres	ʔeliˈtɛːʀəs
elliptisch	ʔɛˈlɪptɪʃ
elliptische	ʔɛˈlɪptɪʃə
elliptischem	ʔɛˈlɪptɪʃəm
elliptischen	ʔɛˈlɪptɪʃən
elliptischer	ʔɛˈlɪptɪʃəʀ
elliptisches	ʔɛˈlɪptɪʃəs
elomagieren	ʔelomaˈgiːʀən
eloquent	ʔeloˈkvɛnt
eloquente	ʔeloˈkvɛntə
eloquentem	ʔeloˈkvɛntəm
eloquenten	ʔeloˈkvɛntən
eloquenter	ʔeloˈkvɛntəʀ
eloquentere	ʔeloˈkvɛntəʀə
eloquenterem	ʔeloˈkvɛntəʀəm
eloquenteren	ʔeloˈkvɛntəʀən
eloquenterer	ʔeloˈkvɛntəʀəʀ
eloquenteres	ʔeloˈkvɛntəʀəs
eloquentes	ʔeloˈkvɛntəs
eloquentest	ʔeloˈkvɛntəst
eloquenteste	ʔeloˈkvɛntəstə
eloquentestem	ʔeloˈkvɛntəstəm
eloquentesten	ʔeloˈkvɛntəstən
eloquentester	ʔeloˈkvɛntəstəʀ
eloquentestes	ʔeloˈkvɛntəstəs
eloquentst	ʔeloˈkvɛnʦt
eloquentste	ʔeloˈkvɛnʦtə
eloquentstem	ʔeloˈkvɛnʦtəm
eloquentsten	ʔeloˈkvɛnʦtən
eloquentster	ʔeloˈkvɛnʦtəʀ
eloquentstes	ʔeloˈkvɛnʦtəs
eloxiere	ʔelɔkˈsiːʀə
eloxieren	ʔelɔkˈsiːʀən
eloxierend	ʔelɔkˈsiːʀənt
eloxierest	ʔelɔkˈsiːʀəst
eloxieret	ʔelɔkˈsiːʀət
eloxierst	ʔelɔkˈsiːʀst
eloxiert	ʔelɔkˈsiːʀt
eloxierte	ʔelɔkˈsiːʀtə
eloxierten	ʔelɔkˈsiːʀtən
eloxiertest	ʔelɔkˈsiːʀtəst
eloxiertet	ʔelɔkˈsiːʀtət
elsässisch	ʔelzɛsɪʃ
eluieren	ʔeluˈʔiːʀən
elysieren	ʔelyˈziːʀən
emailliere	ʔemalˈjiːʀə
emaillieren	ʔemalˈjiːʀən
emaillierend	ʔemalˈjiːʀənt
emaillierest	ʔemalˈjiːʀəst
emaillieret	ʔemalˈjiːʀət
emaillierst	ʔemalˈjiːʀst
emailliert	ʔemalˈjiːʀt
emaillierte	ʔemalˈjiːʀtə
emaillierten	ʔemalˈjiːʀtən
emailliertest	ʔemalˈjiːʀtəst
emailliertet	ʔemalˈjiːʀtət
emaniere	ʔemaˈniːʀə
emanieren	ʔemaˈniːʀən
emanierend	ʔemaˈniːʀənt
emanierest	ʔemaˈniːʀəst
emanieret	ʔemaˈniːʀət
emanierst	ʔemaˈniːʀst
emaniert	ʔemaˈniːʀt
emanierte	ʔemaˈniːʀtə
emanierten	ʔemaˈniːʀtən
emaniertest	ʔemaˈniːʀtəst
emaniertet	ʔemaˈniːʀtət
emanzipatorisch	ʔemanʦipaˈtoːʀɪʃ
emanzipatorische	ʔemanʦipaˈtoːʀɪʃə
emanzipatorischem	ʔemanʦipaˈtoːʀɪʃəm
emanzipatorischen	ʔemanʦipaˈtoːʀɪʃən
emanzipatorischer	ʔemanʦipaˈtoːʀɪʃəʀ
emanzipatorisches	ʔemanʦipaˈtoːʀɪʃəs
emanzipiere	ʔemanʦiˈpiːʀə
emanzipieren	ʔemanʦiˈpiːʀən
emanzipierend	ʔemanʦiˈpiːʀənt
emanzipierest	ʔemanʦiˈpiːʀəst
emanzipieret	ʔemanʦiˈpiːʀət
emanzipierst	ʔemanʦiˈpiːʀst
emanzipiert	ʔemanʦiˈpiːʀt
emanzipierte	ʔemanʦiˈpiːʀtə
emanzipiertem	ʔemanʦiˈpiːʀtəm
emanzipierten	ʔemanʦiˈpiːʀtən
emanzipierter	ʔemanʦiˈpiːʀtəʀ
emanzipiertes	ʔemanʦiˈpiːʀtəs
emanzipiertest	ʔemanʦiˈpiːʀtəst
emanzipiertet	ʔemanʦiˈpiːʀtət
emballiere	ʔɑ̃baˈliːʀə
emballieren	ʔɑ̃baˈliːʀən
emballierend	ʔɑ̃baˈliːʀənt
emballierest	ʔɑ̃baˈliːʀəst
emballieret	ʔɑ̃baˈliːʀət
emballierst	ʔɑ̃baˈliːʀst
emballiert	ʔɑ̃baˈliːʀt
emballierte	ʔɑ̃baˈliːʀtə
emballierten	ʔɑ̃baˈliːʀtən
emballiertest	ʔɑ̃baˈliːʀtəst
emballiertet	ʔɑ̃baˈliːʀtət
embrassieren	ʔɑ̃bʀaˈsiːʀən
embryonal	ʔɛmbʀyoˌnaːl
emeritieren	ʔemeʀiˈtiːʀən
emers	ʔeˈmɛʀs
emetisch	ʔeˈmeːtɪʃ
emigriere	ʔemiˈgʀiːʀə
emigrieren	ʔemiˈgʀiːʀən
emigrierend	ʔemiˈgʀiːʀənt
emigrierest	ʔemiˈgʀiːʀəst
emigrieret	ʔemiˈgʀiːʀət
emigrierst	ʔemiˈgʀiːʀst
emigriert	ʔemiˈgʀiːʀt
