a	ˈa
incentivadas	inθentiˈβaðas
incentivando	inθentiˈβando
incentivar	inθentiˈβaɾ
incentivará	inθentiβaˈɾa
incentivo	inθenˈtiβo
incentivos	inθenˈtiβos
incentral_internet	inθenˈtɾalinteɾˈneð
incertidumbre	inθeɾtiˈðumbɾe
incertidumbres	inθeɾtiˈðumbɾes
incesante	inθeˈsante
incesantes	inθeˈsantes
incesto	inˈθesto
incestos	inˈθestos
inchauspe	inˈʧawspe
inchon	ˈinʧon
inchorta	inˈʧoɾta
incide	inˈθiðe
inciden	inˈθiðen
incidencia	inθiˈðenθja
incidencias	inθiˈðenθjas
incidental	inθiðenˈtal
incidentales	inθiðenˈtales
incidente	inθiˈðente
incidentes	inθiˈðentes
incidido	inθiˈðiðo
incidiendo	inθiˈðjendo
incidieron	inθiˈðjeɾon
incidió	inθiˈðjo
incidir	inθiˈðiɾ
incienso	inˈθjenso
incierta	inˈθjeɾta
inciertas	inˈθjeɾtas
incierto	inˈθjeɾto
inciertos	inˈθjeɾtos
incineración	inθineɾaˈθjon
incinerado	inθineˈɾaðo
incineradora	inθineɾaˈðoɾa
incineradoras	inθineɾaˈðoɾas
incinerados	inθineˈɾaðos
incinerar	inθineˈɾaɾ
incinillas	inθiˈniʎas
incipiente	inθiˈpjente
incipientes	inθiˈpjentes
incisión	inθiˈsjon
incisiva	inθiˈsiβa
incisivo	inθiˈsiβo
incisivos	inθiˈsiβos
inciso	inˈθiso
incita	inˈθita
incitación	inθitaˈθjon
incitado	inθiˈtaðo
incitan	inˈθitan
incitar	inθiˈtaɾ
incivilizado	inθiβiliˈθaðo
incivilizados	inθiβiliˈθaðos
incivismo	inθiˈβizmo
inclán	iŋˈklan
inclasificable	iŋklasifiˈkaβle
inclasificables	iŋklasifiˈkaβles
inclemencias	iŋkleˈmenθjas
inclemente	ˈiŋkleˈmente
inclina	iŋˈklina
inclinaba	iŋkliˈnaβa
inclinación	iŋklinaˈθjon
inclinaciones	iŋklinaˈθjones
inclinada	iŋkliˈnaða
inclinado	iŋkliˈnaðo
inclinados	iŋkliˈnaðos
inclinan	iŋˈklinan
inclinar	iŋkliˈnaɾ
inclinaron	iŋkliˈnaɾon
inclinarse	iŋkliˈnaɾse
inclino	iŋˈklino
inclinó	iŋkliˈno
ínclito	ˈiŋklito
ínclitos	ˈiŋklitos
incluía	iŋkluˈia
incluían	iŋkluˈian
incluida	iŋˈklwiða
incluidas	iŋˈklwiðas
incluídas	iŋˈklwiðas
incluido	iŋˈklwiðo
incluído	iŋˈklwiðo
incluidos	iŋˈklwiðos
incluídos	iŋˈklwiðos
incluimos	iŋˈklwimos
incluir	iŋˈklwiɾ
incluirá	iŋklwiˈɾa
incluirán	iŋklwiˈɾan
incluiría	iŋklwiˈɾia
incluirla	iŋˈklwiɾla
incluirlas	iŋˈklwiɾlas
incluirlo	iŋˈklwiɾlo
incluirse	iŋˈklwiɾse
inclusión	iŋkluˈsjon
inclusive	iŋkluˈsiβe
inclusivo	iŋkluˈsiβo
incluso	ˈiŋkluso
incluya	iŋˈkluʤa
incluyan	iŋˈkluʤan
incluye	iŋˈkluʤe
incluyen	iŋˈkluʤen
incluyendo	iŋkluˈʤendo
incluyera	iŋkluˈʤeɾa
incluyeron	iŋkluˈʤeɾon
incluyes	iŋˈkluʤes
incluyo	iŋˈkluʤo
incluyó	iŋkluˈʤo
incoación	iŋkoaˈθjon
incoado	iŋkoˈaðo
incobrables	iŋkoˈβɾaβles
incode_consulting	iŋˈkowðkonˈsultin
incógnita	iŋˈkoɣnita
incógnitas	iŋˈkoɣnitas
incógnito	iŋˈkoɣnito
incognoscible	iŋkoɣnosˈθiβle
incoherencia	iŋkoeˈɾenθja
incoherencias	iŋkoeˈɾenθjas
incoherente	iŋkoeˈɾente
incoherentes	iŋkoeˈɾentes
incólume	iŋˈkolume
incombustible	iŋkombusˈtiβle
incombustibles	iŋkombusˈtiβles
incomestible	iŋkomesˈtiβle
incómoda	iŋˈkomoða
incomoda	iŋkoˈmoða
incomodar	iŋkomoˈðaɾ
incomodidad	iŋkomoðiˈðað
incomodidades	iŋkomoðiˈðaðes
incómodo	iŋˈkomoðo
incomodo	iŋkoˈmoðo
incómodos	iŋˈkomoðos
incomparable	iŋkompaˈɾaβle
incomparables	iŋkompaˈɾaβles
incomparecencia	iŋkompaɾeˈθenθja
incompatibilidad	iŋkompatiβiliˈðað
incompatibilidades	iŋkompatiβiliˈðaðes
incompatible	iŋkompaˈtiβle
incompatibles	iŋkompaˈtiβles
incompetencia	iŋkompeˈtenθja
incompetente	iŋkompeˈtente
incompetentes	iŋkompeˈtentes
incompleta	iŋkomˈpleta
incompleto	iŋkomˈpleto
incompletos	iŋkomˈpletos
incomprendida	iŋkompɾenˈdiða
incomprendido	iŋkompɾenˈdiðo
incomprendidos	iŋkompɾenˈdiðos
incomprensible	iŋkompɾenˈsiβle
incomprensiblemente	iŋkompɾenˈsiβleˈmente
incomprensibles	iŋkompɾenˈsiβles
incomprensión	iŋkompɾenˈsjon
incomunicación	iŋkomunikaˈθjon
incomunicado	iŋkomuniˈkaðo
incomunicados	iŋkomuniˈkaðos
inconcebible	iŋkonθeˈβiβle
inconcebibles	iŋkonθeˈβiβles
inconclusa	iŋkoŋˈklusa
inconcluso	iŋkoŋˈkluso
incondicional	iŋkondiθjoˈnal
incondicionales	iŋkondiθjoˈnales
incondicionalmente	iŋkondiθjoˈnalˈmente
inconfesable	iŋkomfeˈsaβle
inconfesables	iŋkomfeˈsaβles
inconformismo	iŋkomfoɾˈmizmo
inconformista	iŋkomfoɾˈmista
inconformistas	iŋkomfoɾˈmistas
inconfundible	iŋkomfunˈdiβle
inconfundibles	iŋkomfunˈdiβles
incongruencia	iŋkoŋˈɡɾwenθja
incongruencias	iŋkoŋˈɡɾwenθjas
incongruente	iŋkoŋˈɡɾwente
incongruentes	iŋkoŋˈɡɾwentes
inconmensurable	iŋkommensuˈɾaβle
inconsciencia	iŋkonsˈθjenθja
inconsciente	iŋkonsˈθjente
inconscientemente	iŋkonsˈθjenteˈmente
inconscientes	iŋkonsˈθjentes
inconsecuente	iŋkonseˈkwente
inconsistencia	iŋkonsisˈtenθja
inconsistente	iŋkonsisˈtente
inconsolable	iŋkonsoˈlaβle
inconstitucional	iŋkonstituθjoˈnal
inconstitucionales	iŋkonstituθjoˈnales
inconstitucionalidad	iŋkonstituθjonaliˈðað
incontables	iŋkonˈtaβles
incontenible	iŋkonteˈniβle
incontestable	iŋkontesˈtaβle
incontestables	iŋkontesˈtaβles
incontinencia	iŋkontiˈnenθja
incontrada	iŋkonˈtɾaða
incontrolable	iŋkontɾoˈlaβle
incontrolables	iŋkontɾoˈlaβles
incontrolada	iŋkontɾoˈlaða
incontroladamente	iŋkontɾoˈlaðaˈmente
incontrolado	iŋkontɾoˈlaðo
incontrolados	iŋkontɾoˈlaðos
inconveniencia	iŋkombeˈnjenθja
inconveniente	iŋkombeˈnjente
inconvenientes	iŋkombeˈnjentes
incordia	iŋˈkoɾðja
incordiar	iŋkoɾˈðjaɾ
incordien	iŋˈkoɾðjen
incordio	iŋˈkoɾðjo
incorpora	iŋkoɾˈpoɾa
incorporaba	iŋkoɾpoˈɾaβa
incorporación	iŋkoɾpoɾaˈθjon
incorporaciones	iŋkoɾpoɾaˈθjones
incorporada	iŋkoɾpoˈɾaða
incorporadas	iŋkoɾpoˈɾaðas
incorporado	iŋkoɾpoˈɾaðo
incorporados	iŋkoɾpoˈɾaðos
incorporan	iŋkoɾˈpoɾan
incorporando	iŋkoɾpoˈɾando
incorporándose	iŋkoɾpoˈɾandose
incorporar	iŋkoɾpoˈɾaɾ
incorporará	iŋkoɾpoɾaˈɾa
incorporarán	iŋkoɾpoɾaˈɾan
incorporarlo	iŋkoɾpoˈɾaɾlo
incorporarlos	iŋkoɾpoˈɾaɾlos
incorporarme	iŋkoɾpoˈɾaɾme
incorporaron	iŋkoɾpoˈɾaɾon
incorporarse	iŋkoɾpoˈɾaɾse
incorpore	iŋkoɾˈpoɾe
incorporen	iŋkoɾˈpoɾen
incorporó	iŋkoɾpoˈɾo
incorrecta	iŋkoˈrekta
incorrectamente	iŋkoˈrektaˈmente
incorrectas	iŋkoˈrektas
incorrecto	iŋkoˈrekto
incorrectos	iŋkoˈrektos
incorrupto	iŋkoˈrupto
incredulidad	iŋkɾeðuliˈðað
incrédulo	iŋˈkɾeðulo
incrédulos	iŋˈkɾeðulos
increíble	iŋkɾeˈiβle
increiblemente	iŋˈkɾejβleˈmente
increíblemente	iŋkɾeˈiβleˈmente
increíbles	iŋkɾeˈiβles
incrementa	iŋkɾeˈmenta
incrementada	iŋkɾemenˈtaða
incrementado	iŋkɾemenˈtaðo
incrementan	iŋkɾeˈmentan
incrementando	iŋkɾemenˈtando
incrementándose	iŋkɾemenˈtandose
incrementar	iŋkɾemenˈtaɾ
incrementara	iŋkɾemenˈtaɾa
incrementará	iŋkɾementaˈɾa
incrementarán	iŋkɾementaˈɾan
incrementaría	iŋkɾementaˈɾia
incrementaron	iŋkɾemenˈtaɾon
incrementarse	iŋkɾemenˈtaɾse
incremente	ˈiŋkɾeˈmente
incrementen	iŋkɾeˈmenten
incremento	iŋkɾeˈmento
incrementó	iŋkɾemenˈto
incrementos	iŋkɾeˈmentos
increpar	iŋkɾeˈpaɾ
increparon	iŋkɾeˈpaɾon
increpó	iŋkɾeˈpo
incriminatorias	iŋkɾiminaˈtoɾjas
incruenta	iŋˈkɾwenta
incrustaciones	iŋkɾustaˈθjones
incrustada	iŋkɾusˈtaða
incrustado	iŋkɾusˈtaðo
incrustados	iŋkɾusˈtaðos
incrustó	iŋkɾusˈto
incubación	iŋkuβaˈθjon
incubadora	iŋkuβaˈðoɾa
incubadoras	iŋkuβaˈðoɾas
incuestionable	iŋkwestjoˈnaβle
incul	iŋˈkul
inculca	iŋˈkulka
inculcado	iŋkulˈkaðo
inculcar	iŋkulˈkaɾ
inculpación	iŋkulpaˈθjon
inculpado	iŋkulˈpaðo
inculpados	iŋkulˈpaðos
inculpar	iŋkulˈpaɾ
inculpatorias	iŋkulpaˈtoɾjas
inculpatorio	iŋkulpaˈtoɾjo
inculquen	iŋˈkulken
inculta	iŋˈkulta
incultas	iŋˈkultas
inculto	iŋˈkulto
incultos	iŋˈkultos
incultura	iŋkulˈtuɾa
incumbe	iŋˈkumbe
incumbencia	iŋkumˈbenθja
incumpla	iŋˈkumpla
incumplan	iŋˈkumplan
incumple	iŋˈkumple
incumplen	iŋˈkumplen
incumplidas	iŋkumˈpliðas
incumplido	iŋkumˈpliðo
incumpliendo	iŋkumˈpljendo
incumplimiento	iŋkumpliˈmjento
incumplimientos	iŋkumpliˈmjentos
incumplió	iŋkumˈpljo
incumplir	iŋkumˈpliɾ
incunables	iŋkuˈnaβles
incurable	iŋkuˈɾaβle
incurables	iŋkuˈɾaβles
incurre	iŋˈkure
incurren	iŋˈkuren
incurrido	iŋkuˈriðo
incurrieron	iŋkuˈrjeɾon
incurrió	iŋkuˈrjo
incurrir	iŋkuˈriɾ
incursión	iŋkuɾˈsjon
incursiones	iŋkuɾˈsjones
incyde	inˈθiðe
ind	ˈindja
ind	iˈeneðe
inda	ˈinda
indaburo	indaˈβuɾo
indaga	inˈdaɣa
indagación	indaɣaˈθjon
indagaciones	indaɣaˈθjones
indagando	indaˈɣando
indagar	indaˈɣaɾ
indagará	indaɣaˈɾa
indagatoria	indaɣaˈtoɾja
indaguen	inˈdaɣen
indalecia	indaˈleθja
indalecio	indaˈleθjo
indalecio_fernández	indaˈleθjofeɾˈnandeθ
indalecio_prieto	indaˈleθjoˈpɾjeto
indas	ˈindas
indave	inˈdaβe
indebida	indeˈβiða
indebidamente	indeˈβiðaˈmente
indebido	indeˈβiðo
indecencia	indeˈθenθja
indecente	indeˈθente
indecentes	indeˈθentes
indecible	indeˈθiβle
indecisa	indeˈθisa
indecisión	indeθiˈsjon
indecisiones	indeθiˈsjones
indeciso	indeˈθiso
indecisos	indeˈθisos
indecorosa	indekoˈɾosa
indefectiblemente	indefekˈtiβleˈmente
indefendible	indefenˈdiβle
indefensa	indeˈfensa
indefensas	indeˈfensas
indefensión	indefenˈsjon
indefenso	indeˈfenso
indefensos	indeˈfensos
indefinible	indefiˈniβle
indefinición	indefiniˈθjon
indefinida	indefiˈniða
indefinidamente	indefiˈniðaˈmente
indefinido	indefiˈniðo
indefinidos	indefiˈniðos
indeleble	indeˈleβle
indemne	inˈdemne
indemnes	inˈdemnes
indemnice	indemˈniθe
indemnicen	indemˈniθen
indemniza	indemˈniθa
indemnización	indemniθaˈθjon
indemnizaciones	indemniθaˈθjones
indemnizar	indemniˈθaɾ
independencia	indepenˈdenθja
independencias	indepenˈdenθjas
independentismo	independenˈtizmo
independentista	independenˈtista
independentistas	independenˈtistas
independice	indepenˈdiθe
independicen	indepenˈdiθen
independiente	indepenˈdjente
independientemente	indepenˈdjenteˈmente
independientes	indepenˈdjentes
independista	indepenˈdista
independistas	indepenˈdistas
independiza	indepenˈdiθa
independizado	independiˈθaðo
independizamos	independiˈθamos
independizar	independiˈθaɾ
independizaran	independiˈθaɾan
independizarme	independiˈθaɾme
independizarse	independiˈθaɾse
indes	ˈindes
indescifrable	indesθiˈfɾaβle
indescriptible	indeskɾipˈtiβle
indescriptibles	indeskɾipˈtiβles
indeseable	indeseˈaβle
indeseables	indeseˈaβles
indeseado	indeseˈaðo
indestructible	indestɾukˈtiβle
indestructibles	indestɾukˈtiβles
indeterminación	indeteɾminaˈθjon
indeterminada	indeteɾmiˈnaða
indeterminado	indeteɾmiˈnaðo
indexa	inˈdeɣsa
indexado	indeɣˈsaðo
indexan	inˈdeɣsan
india	ˈindja
indiana	inˈdjana
indiano	inˈdjano
indias	ˈindjas
indíbil	inˈdiβil
indica	inˈdika
indicaba	indiˈkaβa
indicaban	indiˈkaβan
indicación	indikaˈθjon
indicaciones	indikaˈθjones
indicada	indiˈkaða
indicadas	indiˈkaðas
indicado	indiˈkaðo
indicador	indikaˈðoɾ
indicadores	indikaˈðoɾes
indicados	indiˈkaðos
indican	inˈdikan
indicando	indiˈkando
indicándolo	indiˈkandolo
indicar	indiˈkaɾ
indicará	indikaˈɾa
indicaría	indikaˈɾia
indicarle	indiˈkaɾle
indicarme	indiˈkaɾme
indicaron	indiˈkaɾon
indicas	inˈdikas
indicativo	indikaˈtiβo
índice	ˈindiθe
índice	ˈinðiθe
índice_armonizado_de_precios	ˈindiθeaɾmoniˈθaðoðeˈpɾeθjos
índice_de_precios	ˈindiθeðeˈpɾeθjos
índice_de_precios_de_consumo	ˈindiθeðeˈpɾeθjosdekonˈsumo
índice_de_precios_industriales	ˈindiθeðeˈpɾeθjosindusˈtɾjales
índice_de_producción_industrial	ˈindiθeðepɾoðukˈθjonindusˈtɾjal
índices	ˈindiθes
indicio	inˈdiθjo
indicios	inˈdiθjos
indico	inˈdiko
indicó	indiˈko
indico_de_inversiones	inˈdikoðeimbeɾˈsjones
indiferencia	indifeˈɾenθja
indiferente	indifeˈɾente
indiferentes	indifeˈɾentes
indígena	inˈdixena
indígenas	inˈdixenas
indigencia	indiˈxenθja
indigenismo	indixeˈnizmo
indigente	indiˈxente
indigentes	indiˈxentes
indigesta	indiˈxesta
indigestión	indixesˈtjon
indigna	inˈdiɣna
indignación	indiɣnaˈθjon
indignada	indiɣˈnaða
indignado	indiɣˈnaðo
indignados	indiɣˈnaðos
indignamente	inˈdiɣnaˈmente
indignan	inˈdiɣnan
indignante	indiɣˈnante
indignas	inˈdiɣnas
indignidad	indiɣniˈðað
indigno	inˈdiɣno
indignó	indiɣˈno
indignos	inˈdiɣnos
indio	ˈindjo
indios	ˈindjos
indique	inˈdike
indiqué	indiˈke
indiquen	inˈdiken
indirecta	indiˈɾekta
indirectamente	indiˈɾektaˈmente
indirectas	indiˈɾektas
indirecto	indiˈɾekto
indirectos	indiˈɾektos
indisciplina	indisθiˈplina
indisciplinado	indisθipliˈnaðo
indiscreta	indisˈkɾeta
indiscretas	indisˈkɾetas
indiscriminada	indiskɾimiˈnaða
indiscriminadamente	indiskɾimiˈnaðaˈmente
indiscriminadas	indiskɾimiˈnaðas
indiscriminado	indiskɾimiˈnaðo
indiscriminados	indiskɾimiˈnaðos
indiscutible	indiskuˈtiβle
indiscutiblemente	indiskuˈtiβleˈmente
indiscutibles	indiskuˈtiβles
indiscutida	indiskuˈtiða
indiscutido	indiskuˈtiðo
indisociable	indisoˈθjaβle
indisoluble	indisoˈluβle
indispensable	indispenˈsaβle
indispensables	indispenˈsaβles
indisposición	indisposiˈθjon
indispuesto	indisˈpwesto
indistintamente	indisˈtintaˈmente
inditex	indiˈteɣs
individua	indiˈβiðwa
individual	indiβiˈðwal
individuales	indiβiˈðwales
individualidad	indiβiðwaliˈðað
individualidades	indiβiðwaliˈðaðes
individualismo	indiβiðwaˈlizmo
individualista	indiβiðwaˈlista
individualizada	indiβiðwaliˈθaða
individualmente	indiβiˈðwalˈmente
individuo	indiˈβiðwo
individuos	indiˈβiðwos
indivisa_inversiones	indiˈβisaimbeɾˈsjones
indivisible	indiβiˈsiβle
indizado	indiˈθaðo
indo	ˈindo
indo_internacional	ˈindointeɾnaθjoˈnal
indochina	indoˈʧina
indocumentado	indokumenˈtaðo
indocumentados	indokumenˈtaðos
indoeuropea	indoewɾoˈpea
índole	ˈindole
indolencia	indoˈlenθja
indolente	indoˈlente
indolentes	indoˈlentes
indoloro	indoˈloɾo
indomable	indoˈmaβle
indómita	inˈdomita
indómito	inˈdomito
indonesia	indoˈnesja
indonesias	indoˈnesjas
indonesio	indoˈnesjo
indonesios	indoˈnesjos
indoor	inˈdoɾ
indore	inˈdoɾe
indosa	inˈdosa
indosuez_gestión	indoˈsweθxesˈtjon
indra	ˈindɾa
indra_sistemas	ˈindɾasisˈtemas
indro	ˈindɾo
inducción	indukˈθjon
induce	inˈduθe
inducen	inˈduθen
inducida	induˈθiða
inducidas	induˈθiðas
inducido	induˈθiðo
inducir	induˈθiɾ
inducirá	induθiˈɾa
inductivo	indukˈtiβo
inductor	indukˈtoɾ
inductores	indukˈtoɾes
indudable	induˈðaβle
indudablemente	induˈðaβleˈmente
indudables	induˈðaβles
indujo	inˈduxo
indulgencia	indulˈxenθja
indulgente	indulˈxente
indulta	inˈdulta
indultada	indulˈtaða
indultado	indulˈtaðo
indultados	indulˈtaðos
indultan	inˈdultan
indultar	indulˈtaɾ
indulten	inˈdulten
indulto	inˈdulto
indultó	indulˈto
indultos	inˈdultos
indumentaria	indumenˈtaɾja
indumentarias	indumenˈtaɾjas
indurain	inˈduɾajn
indus_investment	inˈdusimˈbezðmend
industria	inˈdustɾja
industria_de_diseño_textil	inˈdustɾjaðeðiˈseɲotesˈtil
industria_de_turbo_propulsores_sa	inˈdustɾjaðeˈtuɾβopɾopulˈsoɾesˈesea
industrial	indusˈtɾjal
industrial_baymar	indusˈtɾjalβajˈmaɾ
industrial_prices_indices	indusˈtɾjalˈpɾiθesˈindiθes
industriales	indusˈtɾjales
industrialización	industɾjaliθaˈθjon
industrializadas	industɾjaliˈθaðas
industrializado	industɾjaliˈθaðo
industrializados	industɾjaliˈθaðos
industrias	inˈdustɾjas
industrias_del_curtido	inˈdustɾjazðelkuɾˈtiðo
ine	ˈine
inédita	iˈneðita
inéditas	iˈneðitas
inédito	iˈneðito
inéditos	iˈneðitos
inefable	ineˈfaβle
ineficaces	inefiˈkaθes
ineficacia	inefiˈkaθja
ineficaz	inefiˈkaθ
ineficiencia	inefiˈθjenθja
ineficiente	inefiˈθjente
ineludible	ineluˈðiβle
ineludiblemente	ineluˈðiβleˈmente
ineludibles	ineluˈðiβles
inem	iˈnem
inencontrables	ineŋkonˈtɾaβles
inepta	iˈnepta
ineptitud	ineptiˈtuð
inepto	iˈnepto
ineptos	iˈneptos
inequívoca	ineˈkiβoka
inequívocamente	ineˈkiβokaˈmente
inequívocas	ineˈkiβokas
inequívoco	ineˈkiβoko
inequívocos	ineˈkiβokos
inercia	iˈneɾθja
inerte	iˈneɾte
inés	iˈnes
inescrutable	ineskɾuˈtaβle
inescrutables	ineskɾuˈtaβles
inesita	ineˈsita
inespal	inesˈpal
inesperada	inespeˈɾaða
inesperadamente	inespeˈɾaðaˈmente
inesperadas	inespeˈɾaðas
inesperado	inespeˈɾaðo
inesperados	inespeˈɾaðos
inestabilidad	inestaβiliˈðað
inestable	inesˈtaβle
inestables	inesˈtaβles
inestimable	inestiˈmaβle
inestrillas	inesˈtɾiʤas
inestrosa	inesˈtɾosa
ineva	iˈneba
inevitable	ineβiˈtaβle
inevitablemente	ineβiˈtaβleˈmente
inevitables	ineβiˈtaβles
inexacto	ineɣˈsakto
inexcusable	ineskuˈsaβle
inexcusables	ineskuˈsaβles
inexistencia	ineɣsisˈtenθja
inexistente	ineɣsisˈtente
inexistentes	ineɣsisˈtentes
inexorable	ineɣsoˈɾaβle
inexorablemente	ineɣsoˈɾaβleˈmente
inexperiencia	inespeˈɾjenθja
inexperto	inesˈpeɾto
inexpertos	inesˈpeɾtos
inexplicable	inespliˈkaβle
inexplicablemente	inespliˈkaβleˈmente
inexplicables	inespliˈkaβles
inexploradas	inesploˈɾaðas
inexpresiva	inespɾeˈsiβa
inexpresivo	inespɾeˈsiβo
inexpugnable	inespuɣˈnaβle
infalibilidad	imfaliβiliˈðað
infalible	imfaˈliβle
infalibles	imfaˈliβles
infamante	imfaˈmante
infame	imˈfame
infames	imˈfames
infamia	imˈfamja
infamias	imˈfamjas
infancia	imˈfanθja
infancia_sin_fronteras	imˈfanθjasimfɾonˈteɾas
infancias	imˈfanθjas
infanta	imˈfanta
infanta_isabel	imˈfantaisaˈβel
infanta_maría_teresa	imˈfantamaˈɾiateˈɾesa
infanta_mercedes	imˈfantameɾˈθeðes
infantado	imfanˈtaðo
infantas	imˈfantas
infante	imˈfante
infantería	imfanteˈɾia
infantes	imˈfantes
infantil	imfanˈtil
infantiles	imfanˈtiles
infantilismo	imfantiˈlizmo
infantiloide	imfantiˈlojðe
infanzón	imfanˈθon
infar_2000	imˈfaɾðozˈmil
infarto	imˈfaɾto
infartos	imˈfaɾtos
infates	imˈfates
infatigable	imfatiˈɣaβle
infatigables	imfatiˈɣaβles
infección	imfekˈθjon
infecciones	imfekˈθjones
infecciosa	imfekˈθjosa
infecciosas	imfekˈθjosas
infeccioso	imfekˈθjoso
infecciosos	imfekˈθjosos
infecta	imˈfekta
infectada	imfekˈtaða
infectadas	imfekˈtaðas
infectado	imfekˈtaðo
infectados	imfekˈtaðos
infectan	imˈfektan
infectando	imfekˈtando
infectar	imfekˈtaɾ
infectarse	imfekˈtaɾse
infectas	imˈfektas
infegar_ahorro	imfeˈɣaɾaˈoro
infelices	imfeˈliθes
infelicidad	imfeliθiˈðað
infeliz	imfeˈliθ
infelizmente	imfeˈliθˈmente
inferior	imfeˈɾjoɾ
inferiores	imfeˈɾjoɾes
inferioridad	imfeɾjoɾiˈðað
inferiormente	imfeˈɾjoɾˈmente
infernal	imfeɾˈnal
infernales	imfeɾˈnales
infestada	imfesˈtaða
infestado	imfesˈtaðo
infiauto	imˈfjawto
infidelidad	imfiðeliˈðað
infidelidades	imfiðeliˈðaðes
infiel	imˈfjel
infieles	imˈfjeles
infierno	imˈfjeɾno
infiernos	imˈfjeɾnos
infiesto	imˈfjesto
infiltración	imfiltɾaˈθjon
infiltraciones	imfiltɾaˈθjones
infiltrada	imfilˈtɾaða
infiltrado	imfilˈtɾaðo
infiltrados	imfilˈtɾaðos
infiltran	imˈfiltɾan
infiltrando	imfilˈtɾando
infiltrar	imfilˈtɾaɾ
infiltrarse	imfilˈtɾaɾse
infiltró	imfilˈtɾo
ínfima	ˈimfima
ínfimas	ˈimfimas
ínfimo	ˈimfimo
ínfimos	ˈimfimos
infinidad	imfiniˈðað
infinita	imfiˈnita
infinitamente	imfiˈnitaˈmente
infinitas	imfiˈnitas
infinitesimal	imfinitesiˈmal
infinito	imfiˈnito
infinitos	imfiˈnitos
infinitud	imfiniˈtuð
infiper_valores	imfiˈpeɾβaˈloɾes
inflación	imflaˈθjon
inflacionario	imflaθjoˈnaɾjo
inflaciones	imflaˈθjones
inflacionista	imflaθjoˈnista
inflacionistas	imflaθjoˈnistas
inflado	imˈflaðo
inflama	imˈflama
inflamable	imflaˈmaβle
inflamables	imflaˈmaβles
inflamación	imflamaˈθjon
inflamada	imflaˈmaða
inflamado	imflaˈmaðo
inflamados	imflaˈmaðos
inflaman	imˈflaman
inflamatoria	imflamaˈtoɾja
inflamatorio	imflamaˈtoɾjo
inflamatorios	imflamaˈtoɾjos
inflan	ˈimflan
inflar	imˈflaɾ
inflexibilidad	imfleɣsiβiliˈðað
inflexible	imfleɣˈsiβle
inflexibles	imfleɣˈsiβles
inflexión	imfleɣˈsjon
infligir	imfliˈxiɾ
infló	imˈflo
influencia	imˈflwenθja
influenciada	imflwenˈθjaða
influenciadas	imflwenˈθjaðas
influenciado	imflwenˈθjaðo
influenciados	imflwenˈθjaðos
influenciar	imflwenˈθjaɾ
influencias	imˈflwenθjas
influenza	imˈflwenθa
influida	imˈflwiða
influidas	imˈflwiðas
influido	imˈflwiðo
influidos	imˈflwiðos
influir	imˈflwiɾ
influirá	imflwiˈɾa
influjo	imˈfluxo
influjos	imˈfluxos
influya	imˈfluʤa
influye	imˈfluʤe
influyen	imˈfluʤen
influyendo	imfluˈʤendo
influyente	imfluˈʤente
influyentes	imfluˈʤentes
influyeron	imfluˈʤeɾon
influyó	imfluˈʤo
info_technology_supply_ltd	imfoteɣˈnolaʤisaˈplajˈeleteˈðe
infoadex	imfoˈaðeɣs
infodisclm	imfoˈðisklim
infoempleo	imfoemˈpleo
infojobs	imfoˈxoβs
infor	imˈfoɾ
informa	imˈfoɾma
informa_sa	imˈfoɾmaˈeseˈa
informaba	imfoɾˈmaβa
informaban	imfoɾˈmaβan
información	imfoɾmaˈθjon
información_alicante	imfoɾmaˈθjonaliˈkante
información_y_defensa_del_consumidor	imfoɾmaˈθjoniðeˈfensaðelkonsumiˈðoɾ
informaciones	imfoɾmaˈθjones
informada	imfoɾˈmaða
informadas	imfoɾˈmaðas
informado	imfoɾˈmaðo
informador	imfoɾmaˈðoɾ
informadores	imfoɾmaˈðoɾes
informados	imfoɾˈmaðos
informal	imfoɾˈmal
informales	imfoɾˈmales
informalidad	imfoɾmaliˈðað
informamos	imfoɾˈmamos
informan	imˈfoɾman
informando	imfoɾˈmando
informándonos	imfoɾˈmandonos
infórmanos	imˈfoɾmanos
informante	imfoɾˈmante
informantes	imfoɾˈmantes
informar	imfoɾˈmaɾ
informara	imfoɾˈmaɾa
informará	imfoɾmaˈɾa
informarán	imfoɾmaˈɾan
informaré	imfoɾmaˈɾe
informarle	imfoɾˈmaɾle
informarles	imfoɾˈmaɾles
informarme	imfoɾˈmaɾme
informarnos	imfoɾˈmaɾnos
informaron	imfoɾˈmaɾon
informaros	imfoɾˈmaɾos
informarse	imfoɾˈmaɾse
informarte	imfoɾˈmaɾte
informas	imˈfoɾmas
informase	imfoɾˈmase
informasen	imfoɾˈmasen
infórmate	imˈfoɾmate
informate	imfoɾˈmate
informática	imfoɾˈmatika
informática_del_mediterraneo_digitalis_software	imfoɾˈmatikaðelmeðiteˈraneodixiˈtalisˈsofɣweɾ
informáticas	imfoɾˈmatikas
informático	imfoɾˈmatiko
informáticos	imfoɾˈmatikos
informáticos_europeos_expertos	imfoɾˈmatikosewɾoˈpeosesˈpeɾtos
informativa	imfoɾmaˈtiβa
informativas	imfoɾmaˈtiβas
informativo	imfoɾmaˈtiβo
informativos	imfoɾmaˈtiβos
informatiza	imfoɾmaˈtiθa
informatización	imfoɾmatiθaˈθjon
informatizada	imfoɾmatiˈθaða
informatizar	imfoɾmatiˈθaɾ
